p	Actual_length_p
1	1
2	7
3	3
4	5
5	4
6	15
7	16
8	7
9	6
10	2
11	6
12	4
13	5
14	19
15	3
16	5
17	1
18	6
19	9
20	3
21	5
22	2
23	1
24	15
25	3
26	4
27	5
28	4
29	5
30	7
31	17
32	4
33	4
34	3
35	6
36	7
37	12
38	4
39	10
40	4
41	3
42	2
43	3
44	7
45	4
46	2
47	1
48	4
49	6
50	2
51	3
52	4
53	5
54	4
55	4
56	8
57	4
58	11
59	9
60	8
61	4
62	6
63	7
64	5
65	6
66	5
67	5
68	13
69	2
70	13
71	8
72	1
73	6
74	3
75	3
76	4
77	5
78	6
79	12
80	4
81	3
82	3
83	6
84	16
85	3
86	18
87	1
88	4
89	2
90	8
91	3
92	3
93	5
94	4
95	3
96	2
97	5
98	13
99	3
100	3
101	1
102	13
103	3
104	9
105	10
106	3
107	17
108	10
109	7
110	8
111	4
112	5
113	6
114	22
115	22
116	7
117	9
118	6
119	9
120	3
121	2
122	4
123	8
124	9
125	6
126	13
127	18
128	1
129	4
130	10
131	5
132	4
133	7
134	8
135	1
136	4
137	5
138	11
139	3
140	5
141	6
142	7
143	4
144	7
145	6
146	7
147	21
148	4
149	5
150	4
151	14
152	3
153	2
154	14
155	5
156	2
157	2
158	3
159	4
160	2
161	4
162	1
163	12
164	2
165	13
166	19
167	13
168	7
169	9
170	11
171	2
172	3
173	6
174	8
175	3
176	5
177	18
178	4
179	1
180	13
181	7
182	3
183	5
184	7
185	4
186	9
187	5
188	14
189	1
190	3
191	3
192	6
193	2
194	5
195	5
196	7
197	1
198	5
199	5
200	9
201	5
202	1
203	4
204	3
205	9
206	6
207	13
208	3
209	3
210	7
211	3
212	4
213	1
214	1
215	3
216	3
217	18
218	5
219	2
220	12
221	6
222	3
223	4
224	4
225	14
226	4
227	9
228	4
229	2
230	5
231	6
232	14
233	2
234	19
235	6
236	5
237	2
238	2
239	11
240	5
241	6
242	5
243	2
244	6
245	3
246	4
247	3
248	3
249	12
250	11
251	7
252	3
253	6
254	12
255	3
256	15
257	18
258	2
259	1
260	4
261	2
262	2
263	6
264	10
265	9
266	7
267	3
268	6
269	6
270	8
271	15
272	3
273	8
274	4
275	9
276	7
277	16
278	3
279	2
280	5
281	2
282	18
283	20
284	13
285	9
286	2
287	5
288	2
289	5
290	10
291	11
292	10
293	8
294	6
295	22
296	21
297	2
298	2
299	13
300	7
301	2
302	16
303	9
304	2
305	1
306	6
307	10
308	8
309	9
310	7
311	2
312	1
313	5
314	4
315	4
316	3
317	2
318	10
319	3
320	3
321	4
322	5
323	4
324	5
325	3
326	15
327	16
328	9
329	13
330	2
331	5
332	6
333	11
334	2
335	3
336	16
337	3
338	4
339	7
340	3
341	7
342	3
343	6
344	4
345	5
346	3
347	16
348	5
349	2
350	11
351	3
352	9
353	6
354	8
355	6
356	3
357	18
358	4
359	3
360	3
361	1
362	4
363	7
364	23
365	4
366	10
367	4
368	5
369	10
370	14
371	3
372	6
373	7
374	8
375	2
376	16
377	3
378	5
379	8
380	5
381	5
382	12
383	4
384	8
385	14
386	7
387	2
388	6
389	3
390	2
391	1
392	5
393	12
394	24
395	11
396	14
397	8
398	1
399	12
400	6
401	6
402	18
403	18
404	8
405	3
406	8
407	15
408	7
409	10
410	7
411	5
412	5
413	7
414	18
415	1
416	12
417	7
418	11
419	9
420	4
421	3
422	6
423	2
424	14
425	3
426	2
427	5
428	6
429	1
430	11
431	4
432	12
433	13
434	12
435	6
436	5
437	8
438	5
439	1
440	8
441	6
442	3
443	8
444	3
445	1
446	11
447	2
448	2
449	9
450	3
451	2
452	10
453	8
454	2
455	9
456	11
457	8
458	10
459	2
460	3
461	3
462	5
463	12
464	18
465	4
466	19
467	8
468	7
469	4
470	5
471	4
472	7
473	10
474	4
475	4
476	3
477	14
478	9
479	4
480	3
481	5
482	10
483	6
484	4
485	4
486	2
487	3
488	4
489	5
490	8
491	6
492	6
493	2
494	2
495	10
496	6
497	14
498	11
499	5
500	4
501	4
502	20
503	4
504	5
505	2
506	2
507	5
508	3
509	2
510	5
511	7
512	3
513	3
514	5
515	10
516	15
517	3
518	3
519	10
520	6
521	11
522	12
523	5
524	1
525	3
526	10
527	9
528	5
529	4
530	7
531	10
532	2
533	2
534	4
535	8
536	2
537	7
538	4
539	13
540	5
541	4
542	3
543	10
544	11
545	3
546	8
547	2
548	7
549	4
550	3
551	8
552	14
553	2
554	2
555	9
556	7
557	5
558	2
559	7
560	3
561	6
562	1
563	2
564	4
565	5
566	6
567	12
568	10
569	4
570	4
571	4
572	3
573	6
574	10
575	9
576	4
577	8
578	4
579	21
580	2
581	12
582	3
583	1
584	5
585	7
586	1
587	10
588	10
589	12
590	2
591	4
592	2
593	3
594	4
595	3
596	2
597	1
598	6
599	15
600	4
601	16
602	7
603	8
604	4
605	12
606	3
607	2
608	10
609	16
610	19
611	3
612	5
613	1
614	4
615	8
616	4
617	2
618	13
619	8
620	3
621	2
622	4
623	5
624	2
