p	r	C_pr
1	1	80
1	2	50
1	3	70
1	4	50
1	5	50
1	6	70
1	7	60
1	8	70
1	9	60
1	10	70
1	11	70
1	12	60
1	13	50
1	14	50
1	15	60
1	16	50
1	17	60
1	18	50
1	19	50
1	20	60
1	21	70
1	22	80
1	23	60
1	24	60
1	25	50
1	26	60
1	27	100
1	28	100
1	29	50
1	30	80
1	31	60
1	32	60
1	33	60
1	34	70
1	35	60
1	36	60
2	1	70
2	2	70
2	3	70
2	4	70
2	5	50
2	6	70
2	7	50
2	8	50
2	9	50
2	10	50
2	11	50
2	12	50
2	13	50
2	14	50
2	15	50
2	16	50
2	17	50
2	18	50
2	19	50
2	20	70
2	21	50
2	22	70
2	23	50
2	24	70
2	25	50
2	26	50
2	27	50
2	28	70
2	29	50
2	30	50
2	31	50
2	32	50
2	33	70
2	34	50
2	35	50
2	36	50
3	1	80
3	2	50
3	3	70
3	4	50
3	5	50
3	6	50
3	7	80
3	8	50
3	9	80
3	10	70
3	11	70
3	12	60
3	13	50
3	14	70
3	15	60
3	16	70
3	17	80
3	18	70
3	19	50
3	20	60
3	21	70
3	22	60
3	23	80
3	24	80
3	25	50
3	26	60
3	27	100
3	28	100
3	29	50
3	30	60
3	31	80
3	32	60
3	33	60
3	34	50
3	35	80
3	36	80
4	1	60
4	2	50
4	3	50
4	4	50
4	5	70
4	6	90
4	7	80
4	8	50
4	9	80
4	10	50
4	11	50
4	12	60
4	13	50
4	14	70
4	15	60
4	16	50
4	17	60
4	18	50
4	19	90
4	20	60
4	21	50
4	22	100
4	23	80
4	24	60
4	25	50
4	26	80
4	27	60
4	28	60
4	29	50
4	30	80
4	31	60
4	32	60
4	33	60
4	34	50
4	35	80
4	36	80
5	1	60
5	2	50
5	3	50
5	4	50
5	5	50
5	6	50
5	7	80
5	8	50
5	9	60
5	10	50
5	11	50
5	12	60
5	13	50
5	14	70
5	15	60
5	16	50
5	17	80
5	18	70
5	19	70
5	20	60
5	21	50
5	22	60
5	23	80
5	24	80
5	25	50
5	26	60
5	27	60
5	28	60
5	29	50
5	30	60
5	31	80
5	32	60
5	33	80
5	34	50
5	35	60
5	36	80
6	1	70
6	2	50
6	3	70
6	4	50
6	5	50
6	6	70
6	7	50
6	8	70
6	9	70
6	10	50
6	11	50
6	12	70
6	13	50
6	14	50
6	15	70
6	16	50
6	17	50
6	18	50
6	19	50
6	20	50
6	21	50
6	22	70
6	23	50
6	24	50
6	25	50
6	26	50
6	27	70
6	28	70
6	29	50
6	30	70
6	31	50
6	32	70
6	33	50
6	34	90
6	35	50
6	36	70
7	1	50
7	2	50
7	3	50
7	4	50
7	5	50
7	6	50
7	7	50
7	8	50
7	9	50
7	10	50
7	11	50
7	12	50
7	13	50
7	14	50
7	15	50
7	16	50
7	17	50
7	18	50
7	19	50
7	20	50
7	21	50
7	22	50
7	23	50
7	24	50
7	25	50
7	26	50
7	27	50
7	28	50
7	29	50
7	30	50
7	31	50
7	32	50
7	33	50
7	34	50
7	35	50
7	36	50
8	1	50
8	2	50
8	3	50
8	4	50
8	5	70
8	6	70
8	7	70
8	8	50
8	9	70
8	10	50
8	11	50
8	12	50
8	13	50
8	14	70
8	15	50
8	16	50
8	17	50
8	18	50
8	19	70
8	20	50
8	21	50
8	22	70
8	23	70
8	24	50
8	25	50
8	26	50
8	27	50
8	28	50
8	29	50
8	30	70
8	31	50
8	32	50
8	33	50
8	34	50
8	35	70
8	36	70
9	1	80
9	2	70
9	3	70
9	4	70
9	5	50
9	6	70
9	7	60
9	8	50
9	9	60
9	10	50
9	11	50
9	12	60
9	13	50
9	14	50
9	15	60
9	16	50
9	17	60
9	18	50
9	19	50
9	20	80
9	21	50
9	22	80
9	23	60
9	24	80
9	25	50
9	26	60
9	27	60
9	28	80
9	29	50
9	30	60
9	31	60
9	32	60
9	33	80
9	34	50
9	35	60
9	36	60
10	1	60
10	2	50
10	3	50
10	4	50
10	5	50
10	6	50
10	7	80
10	8	50
10	9	60
10	10	50
10	11	50
10	12	60
10	13	50
10	14	70
10	15	60
10	16	50
10	17	80
10	18	70
10	19	70
10	20	60
10	21	50
10	22	60
10	23	80
10	24	80
10	25	50
10	26	60
10	27	60
10	28	60
10	29	50
10	30	60
10	31	80
10	32	60
10	33	80
10	34	50
10	35	60
10	36	80
11	1	70
11	2	50
11	3	70
11	4	50
11	5	50
11	6	50
11	7	70
11	8	50
11	9	70
11	10	70
11	11	70
11	12	50
11	13	50
11	14	70
11	15	50
11	16	70
11	17	70
11	18	70
11	19	50
11	20	50
11	21	70
11	22	50
11	23	70
11	24	70
11	25	50
11	26	50
11	27	90
11	28	90
11	29	50
11	30	50
11	31	70
11	32	50
11	33	50
11	34	50
11	35	70
11	36	70
12	1	70
12	2	70
12	3	70
12	4	70
12	5	50
12	6	70
12	7	50
12	8	50
12	9	50
12	10	70
12	11	70
12	12	50
12	13	50
12	14	50
12	15	50
12	16	50
12	17	50
12	18	50
12	19	50
12	20	70
12	21	70
12	22	70
12	23	50
12	24	70
12	25	50
12	26	50
12	27	70
12	28	90
12	29	50
12	30	50
12	31	50
12	32	50
12	33	70
12	34	50
12	35	50
12	36	50
13	1	70
13	2	50
13	3	70
13	4	50
13	5	50
13	6	70
13	7	50
13	8	70
13	9	50
13	10	50
13	11	50
13	12	50
13	13	50
13	14	50
13	15	50
13	16	50
13	17	50
13	18	50
13	19	50
13	20	50
13	21	50
13	22	70
13	23	50
13	24	50
13	25	50
13	26	50
13	27	70
13	28	70
13	29	50
13	30	70
13	31	50
13	32	50
13	33	50
13	34	70
13	35	50
13	36	50
14	1	80
14	2	50
14	3	70
14	4	50
14	5	50
14	6	70
14	7	60
14	8	70
14	9	60
14	10	50
14	11	50
14	12	60
14	13	50
14	14	50
14	15	60
14	16	50
14	17	60
14	18	50
14	19	50
14	20	60
14	21	50
14	22	80
14	23	60
14	24	60
14	25	50
14	26	60
14	27	80
14	28	80
14	29	50
14	30	80
14	31	60
14	32	60
14	33	60
14	34	70
14	35	60
14	36	60
15	1	60
15	2	50
15	3	50
15	4	50
15	5	70
15	6	90
15	7	80
15	8	50
15	9	80
15	10	50
15	11	50
15	12	60
15	13	50
15	14	70
15	15	60
15	16	50
15	17	60
15	18	50
15	19	90
15	20	60
15	21	50
15	22	100
15	23	80
15	24	60
15	25	50
15	26	80
15	27	60
15	28	60
15	29	50
15	30	80
15	31	60
15	32	60
15	33	60
15	34	50
15	35	80
15	36	80
16	1	70
16	2	50
16	3	70
16	4	50
16	5	50
16	6	70
16	7	50
16	8	70
16	9	50
16	10	50
16	11	50
16	12	50
16	13	50
16	14	50
16	15	50
16	16	50
16	17	50
16	18	50
16	19	50
16	20	50
16	21	50
16	22	70
16	23	50
16	24	50
16	25	50
16	26	50
16	27	70
16	28	70
16	29	50
16	30	70
16	31	50
16	32	50
16	33	50
16	34	70
16	35	50
16	36	50
17	1	70
17	2	70
17	3	70
17	4	70
17	5	50
17	6	70
17	7	50
17	8	50
17	9	50
17	10	50
17	11	50
17	12	50
17	13	50
17	14	50
17	15	50
17	16	50
17	17	50
17	18	50
17	19	50
17	20	70
17	21	50
17	22	70
17	23	50
17	24	70
17	25	50
17	26	50
17	27	50
17	28	70
17	29	50
17	30	50
17	31	50
17	32	50
17	33	70
17	34	50
17	35	50
17	36	50
18	1	80
18	2	50
18	3	70
18	4	50
18	5	50
18	6	50
18	7	80
18	8	50
18	9	80
18	10	50
18	11	50
18	12	60
18	13	50
18	14	70
18	15	60
18	16	70
18	17	80
18	18	70
18	19	50
18	20	60
18	21	50
18	22	60
18	23	80
18	24	80
18	25	50
18	26	60
