p	Fe	Ma
1	1	0
2	1	0
3	1	0
4	1	0
5	0	1
6	1	0
7	0	1
8	0	1
9	1	0
10	0	1
11	1	0
12	1	0
13	0	1
14	0	1
15	0	1
16	0	1
17	1	0
18	1	0
19	1	0
20	1	0
21	1	0
22	0	1
23	1	0
24	1	0
25	0	1
26	0	1
27	0	1
28	1	0
29	1	0
30	0	1
31	0	1
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	0	1
41	1	0
42	0	1
43	0	1
44	1	0
45	1	0
46	0	1
47	0	1
48	1	0
49	1	0
50	0	1
51	0	1
52	0	1
53	1	0
54	1	0
55	1	0
56	1	0
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
63	1	0
64	1	0
65	0	1
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	0	1
76	0	1
77	0	1
78	1	0
79	1	0
80	1	0
81	1	0
82	0	1
83	0	1
84	1	0
85	0	1
86	0	1
87	1	0
88	0	1
89	0	1
90	1	0
91	0	1
92	1	0
93	1	0
94	0	1
95	0	1
96	1	0
97	1	0
98	0	1
99	1	0
100	1	0
101	0	1
102	1	0
103	0	1
104	0	1
105	1	0
106	1	0
107	0	1
108	1	0
109	1	0
110	1	0
111	0	1
112	0	1
113	0	1
114	1	0
115	0	1
116	0	1
117	0	1
118	0	1
119	1	0
120	0	1
121	0	1
122	0	1
123	0	1
124	1	0
125	0	1
126	1	0
127	0	1
128	1	0
129	0	1
130	1	0
131	0	1
132	0	1
133	0	1
134	0	1
135	0	1
136	0	1
137	1	0
138	0	1
139	1	0
140	1	0
141	1	0
142	0	1
143	1	0
144	1	0
145	1	0
146	0	1
147	1	0
148	1	0
149	0	1
150	0	1
151	1	0
152	1	0
153	0	1
154	1	0
155	1	0
156	1	0
157	0	1
158	1	0
159	0	1
160	0	1
161	0	1
162	0	1
163	1	0
164	0	1
165	1	0
166	0	1
167	1	0
168	0	1
169	0	1
170	0	1
171	1	0
172	1	0
173	1	0
174	0	1
175	1	0
176	1	0
177	0	1
178	0	1
179	0	1
180	0	1
181	0	1
182	0	1
183	0	1
184	0	1
185	0	1
186	0	1
187	0	1
188	0	1
189	1	0
190	0	1
191	1	0
192	1	0
193	1	0
194	0	1
195	0	1
196	0	1
197	1	0
198	1	0
199	0	1
200	1	0
201	1	0
202	1	0
