p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	10
5	0	0
6	0	3
7	0	11
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	7
15	0	22
16	0	15
17	0	0
18	0	17
19	0	11
20	0	17
21	0	20
22	0	0
23	0	20
24	0	4
25	0	0
26	0	26
27	0	0
28	0	0
29	0	19
30	0	0
31	0	12
32	27	27
33	18	18
34	6	6
35	18	24
36	10	23
37	20	20
38	28	28
39	15	15
40	28	28
41	2	2
42	16	16
43	21	25
44	0	15
45	26	26
46	15	27
47	21	28
48	24	24
49	11	21
50	23	23
51	6	6
52	28	28
53	2	7
54	14	14
55	26	26
56	23	23
57	2	2
58	13	13
59	2	15
60	2	2
61	26	26
62	24	24
63	18	18
64	25	25
65	24	24
66	21	26
67	10	18
68	17	17
69	25	28
70	10	16
71	14	14
72	16	16
73	26	26
74	9	9
75	7	21
76	18	18
77	13	13
78	3	3
79	14	14
80	17	18
81	28	28
82	7	9
83	7	7
84	3	3
85	7	7
86	8	8
87	1	29
88	16	17
89	2	2
90	24	24
91	1	1
92	5	27
93	20	20
94	17	29
95	19	24
96	29	29
97	4	9
98	17	17
99	2	4
100	23	23
101	27	27
102	6	6
103	9	9
104	19	20
105	22	22
106	28	28
107	15	15
108	21	21
109	10	24
110	22	22
111	23	25
112	25	25
113	13	13
114	1	6
115	8	8
116	24	24
117	3	3
118	11	11
119	14	14
120	9	17
121	29	29
122	0	1
123	1	23
124	5	5
125	27	27
126	2	14
127	0	4
128	29	29
129	28	28
130	0	2
131	26	26
132	27	27
133	17	17
134	10	10
135	12	12
136	29	29
137	3	3
138	11	14
139	27	27
140	21	23
141	20	20
142	24	24
143	3	3
144	20	20
145	20	20
146	17	23
147	9	9
148	29	29
149	28	28
150	28	28
151	18	18
152	16	16
153	5	5
154	12	12
155	19	23
156	4	24
157	16	22
158	0	0
159	23	27
160	26	29
161	20	23
162	29	29
163	11	11
164	0	0
165	0	0
166	13	13
167	10	15
168	18	18
169	8	14
170	19	19
171	21	26
172	29	29
173	15	25
174	25	25
175	28	28
176	9	9
177	2	2
178	0	0
179	28	28
180	8	16
181	5	23
182	14	14
183	13	26
184	7	19
185	16	16
186	12	15
187	19	19
188	0	0
189	17	29
190	13	28
191	18	22
192	17	17
193	22	22
194	5	13
195	6	11
196	22	22
197	13	18
198	18	18
199	26	26
200	0	12
201	25	25
202	29	29
203	21	21
204	28	28
205	21	21
206	1	1
207	1	1
208	7	20
209	13	13
210	13	15
211	29	29
212	7	12
213	7	10
214	11	11
215	21	21
216	27	27
217	10	10
218	20	24
219	7	7
220	12	18
221	16	16
222	18	21
223	10	10
224	7	20
225	18	18
226	19	19
227	24	24
228	27	27
229	15	15
230	15	15
231	8	8
232	1	3
233	21	21
234	4	8
235	16	21
236	14	14
237	22	26
238	23	23
239	17	17
240	21	21
241	5	20
242	7	10
243	10	10
244	10	10
245	8	14
246	17	17
