p	L_p
1	1
2	5
3	3
4	3
5	4
6	12
7	14
8	5
9	6
10	2
11	6
12	1
13	5
14	16
15	2
16	2
17	1
18	3
19	8
20	2
21	4
22	1
23	1
24	12
25	2
26	3
27	3
28	4
29	5
30	6
31	15
32	3
33	4
34	2
35	4
36	4
37	10
38	2
39	10
40	2
41	2
42	2
43	3
44	5
45	4
46	1
47	1
48	2
49	4
50	2
51	1
52	2
53	4
54	4
55	4
56	6
57	1
58	11
59	7
60	5
61	3
62	6
63	4
64	4
65	6
66	3
67	2
68	13
69	2
70	10
71	6
72	1
73	4
74	3
75	3
76	2
77	3
78	3
79	11
80	3
81	1
82	2
83	5
84	16
85	3
86	15
87	1
88	3
89	2
90	6
91	2
92	3
93	2
94	1
95	3
96	1
97	2
98	13
99	2
100	3
101	1
102	12
103	3
104	6
105	8
106	2
107	15
108	9
109	4
110	5
111	4
112	5
113	3
114	21
115	21
116	6
117	6
118	6
119	6
120	3
121	1
122	1
123	6
124	6
125	3
126	10
127	16
128	1
129	2
130	8
131	4
132	3
133	6
134	5
135	1
136	1
137	2
138	9
139	3
140	5
141	3
142	6
143	2
144	4
145	3
146	4
147	18
148	1
149	2
150	2
151	12
152	3
153	2
154	14
155	3
156	2
157	1
158	3
159	3
160	1
161	3
162	1
163	9
164	2
165	12
166	17
167	13
168	5
169	7
170	11
171	2
172	1
173	4
174	5
175	2
176	2
177	18
178	3
179	1
180	13
181	5
182	3
183	4
184	5
185	3
186	6
187	3
188	11
189	1
190	1
191	1
192	6
193	1
194	4
195	3
196	5
197	1
198	2
199	4
200	9
201	5
202	1
203	4
204	2
205	9
206	5
207	13
208	2
209	2
210	6
211	1
212	4
213	1
214	1
215	2
216	3
217	17
218	3
219	2
220	10
221	6
222	3
223	2
224	3
225	12
226	4
227	6
228	3
229	2
230	3
231	5
232	14
233	1
234	19
235	4
236	2
237	1
238	2
239	11
240	4
241	6
242	5
243	2
244	4
245	3
246	3
247	2
248	2
249	12
250	8
251	5
252	3
253	5
254	10
255	3
256	14
257	18
258	2
259	1
260	2
261	2
262	2
263	3
264	10
265	7
266	4
267	2
268	4
269	4
270	7
271	12
272	2
273	7
274	2
275	7
276	7
277	14
278	2
279	2
280	5
281	2
282	15
283	18
284	12
285	8
286	2
287	2
288	2
289	3
290	8
291	10
292	9
293	6
294	4
295	19
296	20
297	1
298	2
299	13
300	6
301	2
302	16
303	7
304	1
305	1
306	3
307	9
308	6
309	8
310	4
311	2
312	1
313	5
314	4
315	1
316	1
317	2
318	9
319	1
320	3
321	2
322	5
323	4
324	2
325	3
326	12
327	13
328	8
329	13
330	1
331	5
332	5
333	9
334	1
335	1
336	14
337	1
338	2
339	7
340	2
341	6
342	2
343	4
344	3
345	2
346	1
347	13
348	5
349	2
350	8
351	2
352	7
353	5
354	8
355	3
356	3
357	15
358	3
359	1
360	1
361	1
362	4
363	7
364	21
365	4
366	9
367	4
368	5
369	8
370	12
371	3
372	6
373	7
374	6
375	2
376	13
377	3
378	4
379	7
380	5
381	5
382	10
383	2
384	8
385	12
386	7
387	2
388	3
389	2
390	1
391	1
392	2
393	9
394	21
395	11
396	11
397	6
398	1
399	11
400	4
401	5
402	15
403	15
404	5
405	1
406	8
407	13
408	6
409	9
410	6
411	3
412	2
413	4
414	18
415	1
416	9
417	5
418	8
419	6
420	3
421	2
422	6
423	2
424	13
425	2
426	2
427	4
428	3
429	1
430	10
431	2
432	10
433	10
434	9
435	3
436	2
437	5
438	2
439	1
440	8
441	5
442	3
443	6
444	2
445	1
446	8
447	2
448	1
449	9
450	3
451	1
452	10
453	8
454	2
455	6
456	10
457	5
458	9
459	1
460	3
461	2
462	4
463	9
464	17
465	4
466	17
467	8
468	4
469	4
470	3
471	4
472	7
473	8
474	2
475	2
476	2
477	11
478	7
479	3
480	2
481	3
482	9
483	6
484	2
485	4
486	1
487	3
488	2
489	2
490	6
491	6
492	6
493	2
494	1
495	10
496	6
497	12
498	9
499	2
500	4
501	1
502	18
503	3
504	3
505	2
506	1
507	4
508	3
509	2
510	4
511	5
512	3
513	3
514	2
515	9
516	12
517	3
518	2
519	8
520	3
521	10
522	10
523	4
524	1
525	2
526	8
527	7
528	2
529	1
530	5
531	9
532	2
533	2
534	3
535	7
536	1
537	6
538	3
539	11
540	3
541	1
542	3
543	8
544	8
545	1
546	8
547	1
548	6
549	3
550	3
551	5
552	11
553	2
554	2
555	7
556	6
557	4
558	2
559	5
560	3
561	6
562	1
563	2
564	2
565	3
566	5
567	10
568	9
569	2
570	3
571	2
572	2
573	6
574	8
575	7
576	4
577	8
578	1
579	19
580	2
581	11
582	2
583	1
584	5
585	7
586	1
587	7
588	10
589	10
590	2
591	4
592	2
593	1
594	4
595	2
596	1
597	1
598	3
599	15
600	1
601	13
602	6
603	5
604	4
605	12
606	2
607	2
608	10
609	16
610	18
611	2
612	4
613	1
614	2
615	6
616	2
617	2
618	12
619	6
620	2
621	1
622	2
623	5
624	2
