p	r	R_p
1	1	1
1	2	0
1	3	1
1	4	0
1	5	1
1	6	0
1	7	1
1	8	1
1	9	0
1	10	1
1	11	1
1	12	0
1	13	1
1	14	1
1	15	0
1	16	1
1	17	1
1	18	1
1	19	0
1	20	1
1	21	1
1	22	0
1	23	0
1	24	1
1	25	0
1	26	0
1	27	1
1	28	1
1	29	0
1	30	1
1	31	0
1	32	0
1	33	0
1	34	0
1	35	0
1	36	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	1
2	13	0
2	14	0
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	0
2	28	0
2	29	0
2	30	0
2	31	0
2	32	1
2	33	0
2	34	1
2	35	0
2	36	1
3	1	1
3	2	0
3	3	1
3	4	0
3	5	1
3	6	0
3	7	1
3	8	1
3	9	0
3	10	1
3	11	1
3	12	0
3	13	1
3	14	1
3	15	0
3	16	1
3	17	1
3	18	1
3	19	0
3	20	1
3	21	1
3	22	0
3	23	0
3	24	1
3	25	0
3	26	0
3	27	1
3	28	1
3	29	0
3	30	1
3	31	0
3	32	0
3	33	0
3	34	0
3	35	0
3	36	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	0
4	9	1
4	10	0
4	11	0
4	12	1
4	13	0
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	1
4	20	0
4	21	0
4	22	1
4	23	0
4	24	0
4	25	0
4	26	1
4	27	0
4	28	0
4	29	0
4	30	0
4	31	0
4	32	1
4	33	0
4	34	1
4	35	0
4	36	1
5	1	1
5	2	0
5	3	1
5	4	0
5	5	1
5	6	0
5	7	1
5	8	1
5	9	0
5	10	0
5	11	0
5	12	0
5	13	1
5	14	1
5	15	0
5	16	1
5	17	1
5	18	1
5	19	0
5	20	1
5	21	0
5	22	0
5	23	0
5	24	1
5	25	0
5	26	0
5	27	0
5	28	0
5	29	0
5	30	1
5	31	0
5	32	0
5	33	0
5	34	0
5	35	0
5	36	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	1
6	10	0
6	11	0
6	12	1
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
6	25	0
6	26	1
6	27	0
6	28	0
6	29	0
6	30	0
6	31	0
6	32	1
6	33	0
6	34	1
6	35	0
6	36	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
