p	L_p
1	2
2	1
3	1
4	4
5	1
6	2
7	1
8	1
9	5
10	1
11	5
12	4
13	5
14	2
15	1
16	1
17	2
18	3
19	1
20	1
21	2
22	4
23	5
24	2
25	4
26	2
27	2
28	3
29	8
30	3
31	4
32	4
33	3
34	3
35	3
36	1
37	9
38	1
39	7
40	5
41	2
42	1
43	2
44	1
45	1
46	9
47	5
48	1
49	8
50	1
51	1
52	1
53	1
54	6
55	1
56	2
57	4
58	7
59	5
60	6
61	1
62	8
63	2
64	4
65	6
66	6
67	2
68	8
69	4
70	3
71	2
72	7
73	2
74	2
75	5
76	9
77	7
78	7
79	5
80	5
81	6
82	3
83	7
84	5
85	6
86	2
87	1
88	1
89	10
90	2
91	3
92	7
93	4
94	2
95	10
96	8
97	2
98	2
99	3
100	3
101	8
102	7
103	10
104	4
105	7
106	6
107	2
108	8
109	2
110	2
111	7
112	3
113	2
114	3
115	2
116	3
117	5
118	3
119	5
120	9
121	3
122	3
123	10
124	3
125	4
126	4
127	2
128	2
129	2
130	5
131	9
132	4
133	3
134	3
135	3
136	1
137	2
138	4
139	1
140	2
141	4
142	4
143	5
144	3
145	4
146	3
147	2
148	1
149	4
150	5
151	6
152	1
153	9
154	4
155	2
156	2
157	2
158	8
159	7
160	8
161	1
162	1
163	8
164	3
165	4
166	1
167	7
168	4
169	3
170	7
171	6
172	8
173	3
174	3
175	5
176	3
177	2
178	3
179	7
180	2
181	4
182	4
183	4
184	2
185	1
186	3
187	7
188	3
189	7
190	3
191	3
192	1
193	7
194	5
195	2
196	4
197	3
198	9
199	1
200	2
201	1
202	2
203	3
204	2
205	6
206	2
207	8
208	1
209	3
210	8
211	2
212	2
213	3
214	2
215	9
216	2
217	5
218	4
219	3
220	3
221	2
222	1
223	3
224	3
225	1
226	2
227	3
228	1
229	9
230	2
231	1
232	7
233	7
234	3
235	4
236	10
237	3
238	3
239	4
240	8
241	9
242	3
243	6
244	2
245	4
246	5
247	3
248	9
249	9
250	1
251	9
252	1
253	3
254	2
255	3
256	3
257	2
258	7
259	3
260	1
261	7
262	1
263	3
264	2
265	1
266	4
267	2
268	3
269	2
270	2
271	9
272	5
273	3
274	6
275	3
276	7
277	7
278	4
279	4
280	3
281	6
282	10
283	7
284	9
285	5
286	4
287	3
288	6
289	6
290	3
291	1
292	1
293	2
294	4
295	2
296	3
297	2
298	2
299	8
300	5
301	1
302	8
303	5
304	6
305	7
306	1
307	7
308	2
309	2
310	3
311	2
312	8
313	3
314	4
315	1
316	6
317	2
318	7
319	10
320	1
321	2
322	5
323	3
324	2
325	3
326	4
327	1
328	1
329	5
330	4
331	5
332	3
333	7
334	1
335	1
336	1
337	6
338	2
339	1
340	9
341	9
342	2
343	1
344	8
345	1
346	2
347	3
348	6
349	9
350	8
351	2
352	4
353	1
354	6
355	5
356	2
357	3
358	6
359	2
360	10
361	3
362	1
363	5
364	3
365	1
366	4
367	4
368	3
369	8
370	7
371	2
372	3
373	4
374	3
375	1
376	7
377	5
378	3
379	7
380	7
381	1
382	2
383	2
384	6
385	3
386	5
387	4
388	1
389	4
390	10
391	3
392	7
393	8
394	6
395	1
396	3
397	4
398	5
399	2
400	4
401	1
402	3
403	1
404	2
405	6
406	4
407	9
408	1
409	8
410	3
411	1
412	3
413	7
414	3
415	1
416	4
417	9
418	1
419	7
420	1
421	4
422	1
423	3
424	3
425	8
426	1
427	1
428	7
429	3
430	4
431	9
432	2
433	8
434	1
435	6
436	2
437	6
438	3
439	7
440	3
441	2
442	8
443	6
444	2
445	5
446	2
447	3
448	4
449	6
450	2
451	3
452	8
453	3
454	2
455	5
456	5
457	2
458	7
459	3
460	8
461	6
462	3
463	2
464	10
465	9
466	7
467	7
468	3
469	3
470	2
471	8
472	5
473	2
474	4
475	4
476	2
477	7
478	9
479	9
480	1
481	5
482	2
483	7
484	5
485	8
486	6
487	6
488	4
489	4
490	3
491	1
492	2
493	1
494	4
495	2
496	3
497	3
498	1
499	3
500	3
