p	ad_min	ad_max
1	0	0
2	0	6
3	0	0
4	0	3
5	0	3
6	0	0
7	0	1
8	0	12
9	0	22
10	0	13
11	0	0
12	0	0
13	0	11
14	0	17
15	0	2
16	0	22
17	0	0
18	0	23
19	0	0
20	0	0
21	0	0
22	0	10
23	0	12
24	0	0
25	0	6
26	21	22
27	21	21
28	1	1
29	17	20
30	14	14
31	27	27
32	8	22
33	15	18
34	9	13
35	21	21
36	13	15
37	16	16
38	18	19
39	24	24
40	24	24
41	13	15
42	23	23
43	3	3
44	21	21
45	20	26
46	13	13
47	16	16
48	18	22
49	26	26
50	7	24
51	24	24
52	18	18
53	6	16
54	8	8
55	0	20
56	14	14
57	1	1
58	5	5
59	27	27
60	20	20
61	23	23
62	4	8
63	2	2
64	16	20
65	3	3
66	15	15
67	10	15
68	3	3
69	21	21
70	6	6
71	13	13
72	12	12
73	16	17
74	5	5
75	5	5
76	4	9
77	18	21
78	21	23
79	21	26
80	6	9
81	3	3
82	24	24
83	16	16
84	9	9
85	6	6
86	7	7
87	20	20
88	6	18
89	15	16
90	27	27
91	3	6
92	15	15
93	4	4
94	20	20
95	19	19
96	4	5
97	26	26
98	10	10
99	9	10
100	7	22
101	6	6
102	15	15
103	21	21
104	23	23
105	18	18
106	2	22
107	2	2
108	13	25
109	21	21
110	5	13
111	20	20
112	14	14
113	10	10
114	23	23
115	9	9
116	15	15
117	19	19
118	10	10
119	8	8
120	11	11
121	3	3
122	19	19
123	7	12
124	12	12
125	0	13
126	2	20
127	2	24
128	11	11
129	20	20
130	14	20
131	23	23
132	16	16
133	2	2
134	18	18
135	20	20
136	20	20
137	26	26
138	26	26
139	4	4
140	5	5
141	4	13
142	26	26
143	17	23
144	16	24
145	24	24
146	6	16
147	9	9
148	17	17
149	26	26
150	0	0
151	13	15
152	9	9
153	26	26
154	3	11
155	26	26
156	20	20
157	9	9
158	23	23
159	4	4
160	4	21
161	22	24
162	18	18
163	4	4
164	27	27
165	20	22
166	8	8
167	18	19
168	7	7
169	14	14
170	15	24
171	25	26
172	17	17
173	11	16
174	10	16
175	22	22
176	25	25
177	9	9
178	27	27
179	18	18
180	22	22
181	8	9
182	6	8
