p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.51
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.46
3	1	1.00
3	2	0.91
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.22
5	1	1.00
5	2	0.54
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	0.99
7	1	1.00
7	2	1.00
7	3	0.71
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.92
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.01
10	1	1.00
10	2	0.15
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.72
12	1	1.00
12	2	0.15
13	1	1.00
13	2	0.69
14	1	1.00
14	2	1.00
14	3	0.23
15	1	1.00
15	2	0.27
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.27
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	0.48
18	1	1.00
18	2	1.00
18	3	0.86
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	0.58
20	1	1.00
20	2	0.18
21	1	1.00
21	2	1.00
21	3	0.48
22	1	1.00
22	2	1.00
22	3	0.18
23	1	1.00
23	2	1.00
23	3	0.67
24	1	1.00
24	2	1.00
24	3	0.86
25	1	1.00
25	2	0.44
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.67
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	1.00
27	7	1.00
27	8	0.44
28	1	1.00
28	2	1.00
28	3	1.00
28	4	0.86
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	1.00
29	7	0.06
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	1.00
30	7	1.00
30	8	1.00
30	9	1.00
30	10	1.00
30	11	0.77
31	1	1.00
31	2	0.88
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	1.00
32	6	0.89
