p	Fe	Ma
1	0	1
2	1	0
3	1	0
4	1	0
5	0	1
6	0	1
7	0	1
8	1	0
9	1	0
10	1	0
11	1	0
12	0	1
13	1	0
14	1	0
15	0	1
16	1	0
17	1	0
18	1	0
19	1	0
20	0	1
21	0	1
22	0	1
23	1	0
24	0	1
25	0	1
26	1	0
27	0	1
28	0	1
29	1	0
30	1	0
31	0	1
32	0	1
33	1	0
34	1	0
35	0	1
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	0	1
42	0	1
43	1	0
44	0	1
45	0	1
46	1	0
47	0	1
48	0	1
49	0	1
50	1	0
51	1	0
52	1	0
53	0	1
54	1	0
55	0	1
56	0	1
57	1	0
58	0	1
59	1	0
60	0	1
61	0	1
62	0	1
63	1	0
64	1	0
65	0	1
66	1	0
67	0	1
68	0	1
69	0	1
70	0	1
71	1	0
72	1	0
73	0	1
74	0	1
75	0	1
76	1	0
77	0	1
78	1	0
79	0	1
80	0	1
81	0	1
82	0	1
83	0	1
84	0	1
85	1	0
86	0	1
87	1	0
88	1	0
89	1	0
90	0	1
91	0	1
92	0	1
93	0	1
94	0	1
95	1	0
96	1	0
97	1	0
98	1	0
99	1	0
100	0	1
101	0	1
102	1	0
103	1	0
104	1	0
105	0	1
106	1	0
107	0	1
108	0	1
109	1	0
110	0	1
111	1	0
112	0	1
113	0	1
114	1	0
115	1	0
116	0	1
117	0	1
118	0	1
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	0	1
125	0	1
126	0	1
127	0	1
128	1	0
129	1	0
130	0	1
131	0	1
132	1	0
133	0	1
134	0	1
135	0	1
136	0	1
137	0	1
138	0	1
139	0	1
140	0	1
141	1	0
142	1	0
143	0	1
144	0	1
145	0	1
146	0	1
147	0	1
148	0	1
149	1	0
150	0	1
151	0	1
152	0	1
153	0	1
154	1	0
155	0	1
156	1	0
157	0	1
158	1	0
159	0	1
160	0	1
161	0	1
162	1	0
163	1	0
164	0	1
165	0	1
166	0	1
167	1	0
168	1	0
169	0	1
170	0	1
171	1	0
172	1	0
173	0	1
174	0	1
175	0	1
176	0	1
177	1	0
178	1	0
179	1	0
180	1	0
181	1	0
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	0	1
190	0	1
191	0	1
192	1	0
193	0	1
194	0	1
195	0	1
196	1	0
197	1	0
198	0	1
199	0	1
200	1	0
201	1	0
202	1	0
203	1	0
204	1	0
205	0	1
206	0	1
207	1	0
208	1	0
209	1	0
210	1	0
211	1	0
212	0	1
213	0	1
214	0	1
215	0	1
216	0	1
217	1	0
218	0	1
219	1	0
220	1	0
221	1	0
222	0	1
223	1	0
224	0	1
225	0	1
226	1	0
227	0	1
228	0	1
229	0	1
230	1	0
231	1	0
232	1	0
233	0	1
234	1	0
235	1	0
236	1	0
237	0	1
238	1	0
239	0	1
240	0	1
241	0	1
242	0	1
243	0	1
244	0	1
245	0	1
246	0	1
247	1	0
248	0	1
249	1	0
250	0	1
251	0	1
252	0	1
253	1	0
254	1	0
255	0	1
256	0	1
257	0	1
258	0	1
259	0	1
260	1	0
261	0	1
262	0	1
263	0	1
264	0	1
265	1	0
266	1	0
267	1	0
268	0	1
269	0	1
270	0	1
271	1	0
272	1	0
273	0	1
274	0	1
275	1	0
276	1	0
277	1	0
278	0	1
279	0	1
280	1	0
281	0	1
282	0	1
283	1	0
284	1	0
285	1	0
286	1	0
287	0	1
288	1	0
289	0	1
290	1	0
291	1	0
292	1	0
293	1	0
294	0	1
295	0	1
296	0	1
297	1	0
298	0	1
299	0	1
300	1	0
301	0	1
302	1	0
303	1	0
304	0	1
305	1	0
306	0	1
307	0	1
308	1	0
309	1	0
310	1	0
311	1	0
312	0	1
313	1	0
314	1	0
315	1	0
316	1	0
317	1	0
318	0	1
319	1	0
320	1	0
321	1	0
322	1	0
323	1	0
324	1	0
325	0	1
326	0	1
327	1	0
328	1	0
329	1	0
330	1	0
331	1	0
332	0	1
333	1	0
334	1	0
335	0	1
336	0	1
337	1	0
338	1	0
339	0	1
340	1	0
341	0	1
342	1	0
343	0	1
344	1	0
345	0	1
346	1	0
347	0	1
348	0	1
349	0	1
350	0	1
351	1	0
352	1	0
353	1	0
354	0	1
355	0	1
356	1	0
357	0	1
358	1	0
359	1	0
360	0	1
361	1	0
362	0	1
363	1	0
364	0	1
365	1	0
366	1	0
367	1	0
368	1	0
369	0	1
370	1	0
371	0	1
372	1	0
373	0	1
374	1	0
375	0	1
376	1	0
377	1	0
378	0	1
379	1	0
380	1	0
381	0	1
382	0	1
383	0	1
384	0	1
385	0	1
386	1	0
387	0	1
388	0	1
389	0	1
390	1	0
391	1	0
392	0	1
393	0	1
394	0	1
395	0	1
396	0	1
397	0	1
398	1	0
399	1	0
400	1	0
401	0	1
402	0	1
403	1	0
404	1	0
405	1	0
406	0	1
407	0	1
408	1	0
409	0	1
410	1	0
411	1	0
412	0	1
413	0	1
414	1	0
415	0	1
416	1	0
417	1	0
418	1	0
419	0	1
420	0	1
421	1	0
422	0	1
423	0	1
424	1	0
425	0	1
426	0	1
427	1	0
428	0	1
429	0	1
430	0	1
431	0	1
432	1	0
433	0	1
434	1	0
435	0	1
436	0	1
437	0	1
438	1	0
439	0	1
440	0	1
441	0	1
442	1	0
443	0	1
444	0	1
445	0	1
446	1	0
447	1	0
448	1	0
449	1	0
450	1	0
451	0	1
452	1	0
453	0	1
454	0	1
455	1	0
456	0	1
457	1	0
458	1	0
459	1	0
460	1	0
461	0	1
462	0	1
463	1	0
464	1	0
465	0	1
466	0	1
467	1	0
468	1	0
469	0	1
470	0	1
471	0	1
472	1	0
473	1	0
474	0	1
475	1	0
476	1	0
477	1	0
478	0	1
479	1	0
480	0	1
481	0	1
482	1	0
483	1	0
484	1	0
485	1	0
486	1	0
487	1	0
488	0	1
489	1	0
490	1	0
491	1	0
492	1	0
493	1	0
494	1	0
495	1	0
496	1	0
497	0	1
498	0	1
499	0	1
500	1	0
