p	d	Pr(p,d)
1	1	1.00
1	2	0.64
2	1	1.00
2	2	1.00
2	3	0.50
3	1	1.00
3	2	1.00
3	3	0.12
4	1	1.00
4	2	1.00
4	3	0.68
5	1	1.00
5	2	0.69
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	0.64
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	0.36
8	1	1.00
8	2	1.00
8	3	0.97
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	0.90
10	1	1.00
10	2	0.15
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.45
12	1	1.00
12	2	0.65
13	1	1.00
13	2	1.00
13	3	1.00
13	4	0.29
14	1	1.00
14	2	1.00
14	3	0.50
15	1	1.00
15	2	0.07
16	1	1.00
16	2	1.00
16	3	0.91
17	1	1.00
17	2	0.53
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	1.00
18	8	0.88
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.43
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	1.00
20	7	0.88
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	0.26
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.45
23	1	1.00
23	2	1.00
23	3	0.80
24	1	1.00
24	2	1.00
24	3	0.93
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	0.26
26	1	1.00
26	2	1.00
26	3	0.07
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	0.22
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.24
29	1	1.00
29	2	1.00
29	3	1.00
29	4	0.87
30	1	1.00
30	2	1.00
30	3	0.20
31	1	1.00
31	2	0.45
32	1	1.00
32	2	1.00
32	3	0.20
33	1	1.00
33	2	1.00
34	1	1.00
34	2	1.00
34	3	0.86
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
35	7	1.00
35	8	1.00
35	9	1.00
35	10	0.21
36	1	1.00
36	2	0.10
37	1	1.00
37	2	0.65
38	1	1.00
38	2	1.00
38	3	0.31
39	1	1.00
39	2	1.00
39	3	1.00
39	4	1.00
39	5	1.00
39	6	0.05
40	1	1.00
40	2	1.00
40	3	1.00
40	4	1.00
40	5	1.00
40	6	1.00
40	7	0.58
41	1	1.00
41	2	1.00
41	3	1.00
41	4	1.00
41	5	0.20
42	1	1.00
42	2	1.00
42	3	1.00
42	4	1.00
42	5	1.00
42	6	1.00
42	7	0.96
43	1	1.00
43	2	1.00
43	3	0.19
44	1	1.00
44	2	1.00
44	3	1.00
44	4	1.00
44	5	1.00
44	6	1.00
44	7	1.00
44	8	0.98
45	1	1.00
45	2	1.00
45	3	1.00
45	4	1.00
45	5	1.00
45	6	1.00
45	7	0.03
46	1	1.00
46	2	1.00
46	3	1.00
46	4	0.21
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	1.00
47	6	1.00
48	1	1.00
48	2	1.00
48	3	0.04
49	1	1.00
49	2	1.00
49	3	1.00
49	4	1.00
49	5	1.00
49	6	1.00
49	7	1.00
49	8	0.66
50	1	1.00
50	2	1.00
50	3	0.62
51	1	1.00
51	2	1.00
51	3	1.00
51	4	1.00
51	5	1.00
51	6	1.00
51	7	1.00
51	8	1.00
51	9	1.00
51	10	0.21
52	1	1.00
52	2	1.00
52	3	1.00
52	4	0.11
53	1	1.00
53	2	1.00
53	3	1.00
53	4	0.70
54	1	1.00
54	2	1.00
54	3	1.00
54	4	1.00
54	5	0.63
55	1	1.00
55	2	1.00
55	3	1.00
55	4	1.00
55	5	0.31
56	1	1.00
56	2	1.00
56	3	0.42
57	1	1.00
57	2	1.00
57	3	0.60
58	1	1.00
58	2	0.01
59	1	1.00
59	2	1.00
59	3	1.00
59	4	0.93
60	1	1.00
60	2	1.00
60	3	1.00
60	4	1.00
60	5	1.00
60	6	1.00
60	7	0.31
61	1	1.00
61	2	1.00
61	3	1.00
61	4	1.00
61	5	1.00
61	6	1.00
61	7	1.00
61	8	0.99
62	1	1.00
62	2	1.00
62	3	1.00
62	4	1.00
62	5	1.00
62	6	1.00
62	7	0.67
63	1	1.00
63	2	1.00
63	3	1.00
63	4	1.00
63	5	1.00
63	6	1.00
63	7	1.00
63	8	1.00
63	9	1.00
63	10	1.00
63	11	0.23
64	1	1.00
64	2	1.00
64	3	1.00
64	4	1.00
64	5	0.36
65	1	1.00
65	2	0.63
66	1	1.00
66	2	1.00
66	3	1.00
66	4	1.00
66	5	1.00
66	6	0.85
67	1	1.00
67	2	1.00
67	3	1.00
67	4	1.00
67	5	0.79
68	1	1.00
68	2	1.00
68	3	0.43
69	1	1.00
69	2	1.00
69	3	1.00
69	4	1.00
69	5	1.00
69	6	0.82
70	1	1.00
70	2	1.00
70	3	1.00
70	4	0.92
71	1	1.00
71	2	1.00
71	3	1.00
71	4	1.00
71	5	1.00
71	6	1.00
71	7	0.20
72	1	1.00
72	2	1.00
72	3	0.89
73	1	1.00
73	2	1.00
73	3	0.37
74	1	1.00
74	2	1.00
74	3	1.00
74	4	0.33
75	1	1.00
75	2	1.00
75	3	1.00
75	4	0.00
76	1	1.00
76	2	1.00
76	3	1.00
76	4	0.71
77	1	1.00
77	2	1.00
77	3	0.29
78	1	1.00
78	2	1.00
78	3	1.00
78	4	1.00
78	5	1.00
78	6	0.29
79	1	1.00
79	2	0.03
80	1	1.00
80	2	1.00
80	3	0.62
81	1	1.00
81	2	1.00
81	3	1.00
81	4	0.15
82	1	1.00
82	2	1.00
82	3	1.00
82	4	1.00
82	5	1.00
82	6	1.00
82	7	1.00
82	8	1.00
82	9	1.00
82	10	0.61
83	1	1.00
83	2	1.00
83	3	1.00
83	4	1.00
83	5	1.00
83	6	1.00
83	7	1.00
83	8	1.00
83	9	1.00
83	10	0.17
84	1	1.00
84	2	0.17
85	1	1.00
85	2	0.84
86	1	1.00
86	2	1.00
86	3	1.00
86	4	0.82
87	1	1.00
87	2	1.00
87	3	1.00
87	4	0.30
88	1	1.00
88	2	1.00
88	3	1.00
88	4	1.00
88	5	1.00
88	6	0.92
89	1	1.00
89	2	1.00
89	3	1.00
89	4	1.00
89	5	1.00
89	6	1.00
89	7	1.00
89	8	0.84
90	1	1.00
90	2	1.00
90	3	0.83
91	1	1.00
91	2	1.00
91	3	1.00
91	4	0.42
92	1	1.00
92	2	1.00
92	3	1.00
92	4	0.70
93	1	1.00
93	2	1.00
93	3	1.00
93	4	1.00
93	5	1.00
93	6	1.00
93	7	1.00
93	8	1.00
93	9	0.56
94	1	1.00
94	2	1.00
94	3	1.00
94	4	1.00
94	5	1.00
94	6	1.00
94	7	0.39
95	1	1.00
95	2	1.00
95	3	1.00
95	4	1.00
95	5	1.00
95	6	1.00
95	7	1.00
95	8	1.00
95	9	1.00
95	10	1.00
95	11	0.33
96	1	1.00
96	2	1.00
96	3	0.24
97	1	1.00
97	2	1.00
97	3	1.00
97	4	1.00
97	5	1.00
97	6	1.00
97	7	1.00
97	8	0.32
98	1	1.00
98	2	0.90
99	1	1.00
99	2	1.00
99	3	0.25
100	1	1.00
100	2	1.00
100	3	0.73
101	1	1.00
101	2	1.00
101	3	1.00
101	4	1.00
101	5	0.91
102	1	1.00
102	2	1.00
102	3	0.68
103	1	1.00
103	2	1.00
103	3	1.00
103	4	0.97
104	1	1.00
104	2	0.64
105	1	1.00
105	2	1.00
105	3	1.00
105	4	1.00
105	5	1.00
105	6	1.00
105	7	1.00
105	8	1.00
105	9	1.00
105	10	1.00
105	11	0.37
106	1	1.00
106	2	1.00
106	3	1.00
106	4	1.00
106	5	1.00
106	6	0.53
107	1	1.00
107	2	1.00
107	3	0.34
108	1	1.00
108	2	1.00
108	3	1.00
108	4	1.00
108	5	1.00
108	6	0.77
109	1	1.00
109	2	0.80
