p	Fe	Ma
1	1	0
2	1	0
3	0	1
4	1	0
5	0	1
6	0	1
7	1	0
8	1	0
9	1	0
10	1	0
11	0	1
12	1	0
13	0	1
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	0	1
20	1	0
21	0	1
22	0	1
23	1	0
24	0	1
25	0	1
26	1	0
27	1	0
28	0	1
29	1	0
30	0	1
31	1	0
32	1	0
33	0	1
34	0	1
35	1	0
36	1	0
37	0	1
38	1	0
39	1	0
40	1	0
41	1	0
42	0	1
43	0	1
44	0	1
45	0	1
46	1	0
47	0	1
48	1	0
49	1	0
50	0	1
51	0	1
52	0	1
53	0	1
54	1	0
55	1	0
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	1	0
62	0	1
63	0	1
64	0	1
65	0	1
66	0	1
67	1	0
68	0	1
69	1	0
70	0	1
71	1	0
72	0	1
73	0	1
74	1	0
75	1	0
76	0	1
77	0	1
78	1	0
79	0	1
80	1	0
81	0	1
82	1	0
83	1	0
84	1	0
85	1	0
86	0	1
87	1	0
88	1	0
89	1	0
90	0	1
91	1	0
92	0	1
93	0	1
94	1	0
95	1	0
96	0	1
97	1	0
98	1	0
99	0	1
100	0	1
101	0	1
102	0	1
103	1	0
104	1	0
105	1	0
106	1	0
107	1	0
108	1	0
109	0	1
110	0	1
111	1	0
112	0	1
113	1	0
114	0	1
115	0	1
116	1	0
117	1	0
118	1	0
119	0	1
120	0	1
121	0	1
122	1	0
123	1	0
124	1	0
125	0	1
126	1	0
127	1	0
128	0	1
129	1	0
130	0	1
131	0	1
132	0	1
133	1	0
134	1	0
135	1	0
136	0	1
137	0	1
138	0	1
139	1	0
140	0	1
141	1	0
142	0	1
143	0	1
144	1	0
145	1	0
146	0	1
147	0	1
148	1	0
149	0	1
150	1	0
151	1	0
152	0	1
153	1	0
154	1	0
155	1	0
156	0	1
157	1	0
158	1	0
159	1	0
160	1	0
161	1	0
162	1	0
163	1	0
164	1	0
165	0	1
166	1	0
167	0	1
168	0	1
169	1	0
170	1	0
171	1	0
172	0	1
173	0	1
174	1	0
175	1	0
176	0	1
177	0	1
178	1	0
179	1	0
180	0	1
181	1	0
182	1	0
183	0	1
184	0	1
185	1	0
186	1	0
187	0	1
188	0	1
189	0	1
190	0	1
191	0	1
192	1	0
193	0	1
194	1	0
195	0	1
196	1	0
197	1	0
198	1	0
199	0	1
200	0	1
201	1	0
202	0	1
203	1	0
204	1	0
205	1	0
206	0	1
207	0	1
208	1	0
209	0	1
210	1	0
211	1	0
212	0	1
213	1	0
214	1	0
215	1	0
216	0	1
217	1	0
218	1	0
219	0	1
220	0	1
221	0	1
222	0	1
223	1	0
224	1	0
225	1	0
226	1	0
227	1	0
228	0	1
229	1	0
230	1	0
231	1	0
232	1	0
233	0	1
234	1	0
235	0	1
236	1	0
237	1	0
238	1	0
239	0	1
240	1	0
241	1	0
242	0	1
243	0	1
244	1	0
245	0	1
246	0	1
247	1	0
248	0	1
249	1	0
250	1	0
