p	ad_min	ad_max
1	0	33
2	0	0
3	0	0
4	0	34
5	0	0
6	0	6
7	0	0
8	0	14
9	0	0
10	0	0
11	51	51
12	39	39
13	16	43
14	28	49
15	20	34
16	33	46
17	49	52
18	28	28
19	32	32
20	12	31
21	38	38
22	25	25
23	0	50
24	37	37
25	21	32
26	13	19
27	41	41
28	29	45
29	21	21
30	10	24
31	2	29
32	3	52
33	46	51
34	52	52
35	2	22
36	33	35
37	33	40
38	47	47
39	28	28
40	13	43
41	25	48
42	10	10
43	43	43
44	45	45
45	53	53
46	5	42
47	14	43
48	45	50
49	37	45
50	10	39
51	32	42
52	53	53
53	32	32
54	22	41
55	46	46
56	54	54
57	34	34
58	5	15
59	53	53
60	42	50
61	53	53
62	22	22
63	11	49
64	48	53
65	31	36
66	16	36
67	16	16
68	31	43
69	25	45
70	38	38
71	55	55
72	44	44
73	21	34
74	19	45
75	23	36
76	38	38
77	37	42
78	27	27
79	6	48
80	37	49
81	12	12
82	47	47
83	22	22
84	26	26
85	11	11
86	51	53
87	16	16
88	41	41
89	20	20
90	29	29
91	16	16
92	16	16
93	39	39
94	45	45
95	38	38
96	20	51
97	20	39
98	27	27
99	26	52
100	18	44
101	30	49
102	34	53
103	49	49
104	35	44
105	19	19
106	22	22
107	20	37
108	5	5
109	48	48
110	21	35
111	2	2
112	2	2
113	2	34
114	17	31
115	34	34
116	16	16
117	33	33
118	30	32
119	1	1
120	6	38
121	44	44
122	55	55
123	21	42
124	11	11
125	2	19
126	15	15
127	44	52
128	7	7
129	3	3
130	41	44
131	47	48
132	0	47
133	9	40
134	49	49
135	54	54
136	15	15
137	46	46
138	45	45
139	21	21
140	42	50
141	52	52
142	37	42
143	19	46
144	45	45
145	5	5
146	2	2
147	26	27
148	5	46
149	31	37
150	17	33
151	21	21
152	42	48
153	8	45
154	8	36
155	30	35
156	17	28
157	4	37
158	14	40
159	15	36
160	53	53
161	54	54
162	54	54
163	40	51
164	30	30
165	26	26
166	39	51
167	31	39
168	6	6
169	11	11
170	45	45
171	5	5
172	30	44
173	29	29
174	8	46
175	20	20
176	30	30
177	38	38
178	45	45
179	12	12
180	30	41
181	28	33
182	53	53
183	23	23
184	44	48
185	52	52
186	19	19
187	32	32
188	44	44
189	47	47
190	50	50
191	33	36
192	42	42
193	6	6
194	21	21
195	0	0
196	38	38
197	47	48
198	16	16
199	40	44
200	7	12
