p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	0.99
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.36
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.07
4	1	1.00
4	2	1.00
4	3	0.25
5	1	1.00
5	2	1.00
5	3	1.00
5	4	0.28
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	0.13
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	0.73
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.70
9	1	1.00
9	2	1.00
9	3	0.32
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.65
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	1.00
11	7	1.00
11	8	1.00
11	9	1.00
11	10	1.00
11	11	0.36
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	1.00
12	9	1.00
12	10	1.00
12	11	0.61
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	1.00
13	8	1.00
13	9	0.52
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	1.00
14	9	1.00
14	10	1.00
14	11	0.91
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	1.00
15	8	1.00
15	9	1.00
15	10	0.57
16	1	1.00
16	2	1.00
16	3	0.87
17	1	1.00
17	2	0.46
18	1	1.00
18	2	1.00
18	3	0.93
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	1.00
19	9	0.16
20	1	1.00
20	2	1.00
20	3	1.00
20	4	0.76
21	1	1.00
21	2	0.82
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	1.00
22	6	1.00
22	7	0.76
23	1	1.00
