p	r	R_p
1	1	1
1	2	1
1	3	0
1	4	1
1	5	0
1	6	1
1	7	1
1	8	0
2	1	1
2	2	1
2	3	0
2	4	1
2	5	1
2	6	1
2	7	0
2	8	1
3	1	1
3	2	1
3	3	0
3	4	1
3	5	0
3	6	1
3	7	1
3	8	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	1
4	6	0
4	7	0
4	8	1
5	1	1
5	2	1
5	3	0
5	4	1
5	5	0
5	6	1
5	7	1
5	8	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
7	1	0
7	2	0
7	3	1
7	4	0
7	5	1
7	6	0
7	7	0
7	8	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
9	1	0
9	2	0
9	3	0
9	4	1
9	5	0
9	6	0
9	7	0
9	8	0
10	1	1
10	2	1
10	3	0
10	4	1
10	5	0
10	6	1
10	7	1
10	8	0
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
12	1	0
12	2	0
12	3	1
12	4	0
12	5	1
12	6	0
12	7	0
12	8	1
13	1	1
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	1
14	1	1
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	1
15	1	1
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	1
16	1	1
16	2	1
16	3	0
16	4	1
16	5	0
16	6	1
16	7	1
16	8	0
17	1	1
17	2	1
17	3	0
17	4	1
17	5	0
17	6	1
17	7	1
17	8	0
18	1	1
18	2	1
18	3	1
18	4	1
18	5	1
18	6	1
18	7	1
18	8	1
19	1	1
19	2	1
19	3	0
19	4	1
19	5	0
19	6	1
19	7	0
19	8	0
20	1	0
20	2	0
20	3	1
20	4	0
20	5	0
20	6	0
20	7	0
20	8	1
21	1	1
21	2	1
21	3	1
21	4	1
21	5	1
21	6	1
21	7	1
21	8	1
22	1	1
22	2	1
22	3	0
22	4	1
22	5	0
22	6	1
22	7	1
22	8	0
23	1	0
23	2	0
23	3	1
23	4	0
23	5	1
23	6	0
23	7	0
23	8	1
24	1	1
24	2	1
24	3	0
24	4	1
24	5	0
24	6	1
24	7	1
24	8	0
25	1	0
25	2	0
25	3	0
25	4	0
25	5	0
25	6	0
25	7	0
25	8	1
26	1	1
26	2	1
26	3	0
26	4	1
26	5	0
26	6	1
26	7	1
26	8	0
27	1	1
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	1
28	1	1
28	2	1
28	3	1
28	4	1
28	5	1
28	6	1
28	7	1
28	8	1
29	1	0
29	2	0
29	3	1
29	4	0
29	5	1
29	6	0
29	7	0
29	8	1
30	1	1
30	2	1
30	3	0
30	4	1
30	5	0
30	6	1
30	7	1
30	8	0
31	1	1
31	2	1
31	3	1
31	4	1
31	5	1
31	6	1
31	7	1
31	8	1
32	1	1
32	2	1
32	3	0
32	4	1
32	5	0
32	6	1
32	7	1
32	8	0
33	1	0
33	2	0
33	3	1
33	4	0
33	5	0
33	6	0
33	7	0
33	8	1
34	1	0
34	2	0
34	3	1
34	4	0
34	5	0
34	6	0
34	7	0
34	8	1
35	1	0
35	2	0
35	3	1
35	4	0
35	5	1
35	6	0
35	7	0
35	8	1
36	1	1
36	2	1
36	3	0
36	4	1
36	5	0
36	6	1
36	7	0
36	8	0
37	1	1
37	2	1
37	3	0
37	4	1
37	5	0
37	6	1
37	7	1
37	8	0
38	1	1
38	2	1
