p	Fe	Ma
1	1	0
2	0	1
3	1	0
4	0	1
5	0	1
6	1	0
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	1	0
14	1	0
15	1	0
16	1	0
17	0	1
18	1	0
19	0	1
20	1	0
21	0	1
22	1	0
23	0	1
24	0	1
25	1	0
26	0	1
27	1	0
28	0	1
29	1	0
30	1	0
31	0	1
32	1	0
33	1	0
34	1	0
35	0	1
36	0	1
37	0	1
38	1	0
39	1	0
40	1	0
41	0	1
42	0	1
43	1	0
44	0	1
45	0	1
46	1	0
47	1	0
48	0	1
49	1	0
50	0	1
51	0	1
52	1	0
53	0	1
54	0	1
55	1	0
56	0	1
57	1	0
58	1	0
59	0	1
60	1	0
61	0	1
62	0	1
63	0	1
64	1	0
65	0	1
66	0	1
67	1	0
68	0	1
69	0	1
70	1	0
71	0	1
72	0	1
73	1	0
74	1	0
75	0	1
76	0	1
77	1	0
78	1	0
79	0	1
80	0	1
81	0	1
82	0	1
83	1	0
84	1	0
85	0	1
86	1	0
87	0	1
88	0	1
89	1	0
90	0	1
91	0	1
92	0	1
93	0	1
94	0	1
95	0	1
96	0	1
97	0	1
98	0	1
99	0	1
100	1	0
101	0	1
102	0	1
103	1	0
104	0	1
105	0	1
106	0	1
107	1	0
108	1	0
109	0	1
110	0	1
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	0	1
117	1	0
118	0	1
119	0	1
120	1	0
121	0	1
122	1	0
123	0	1
124	0	1
125	0	1
126	0	1
127	1	0
128	0	1
129	0	1
130	1	0
131	1	0
132	1	0
133	1	0
134	0	1
135	1	0
136	0	1
137	1	0
138	1	0
139	0	1
140	0	1
141	1	0
142	0	1
143	1	0
144	1	0
145	1	0
146	0	1
147	0	1
148	1	0
149	0	1
150	0	1
151	1	0
152	1	0
153	1	0
154	0	1
155	0	1
156	0	1
157	1	0
158	1	0
159	1	0
160	0	1
161	0	1
162	0	1
163	0	1
164	1	0
165	0	1
166	0	1
167	0	1
168	0	1
169	1	0
170	1	0
171	1	0
172	1	0
173	1	0
174	0	1
175	1	0
176	0	1
177	0	1
178	1	0
179	0	1
180	1	0
181	1	0
182	0	1
183	0	1
184	0	1
185	1	0
186	0	1
187	0	1
188	0	1
189	0	1
190	1	0
191	0	1
192	0	1
193	1	0
194	1	0
195	0	1
196	0	1
197	1	0
198	1	0
199	0	1
200	0	1
