p	Fe	Ma
1	0	1
2	0	1
3	0	1
4	1	0
5	1	0
6	1	0
7	0	1
8	0	1
9	0	1
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	0	1
16	0	1
17	0	1
18	0	1
19	1	0
20	0	1
21	0	1
22	0	1
23	1	0
24	0	1
25	1	0
26	1	0
27	1	0
28	0	1
29	1	0
30	0	1
31	1	0
32	1	0
33	0	1
34	1	0
35	0	1
36	1	0
37	0	1
38	0	1
39	1	0
40	0	1
41	1	0
42	1	0
43	0	1
44	0	1
45	0	1
46	1	0
47	1	0
48	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	1	0
54	1	0
55	1	0
56	0	1
57	0	1
58	0	1
59	1	0
60	1	0
61	0	1
62	0	1
63	0	1
64	1	0
65	0	1
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	0	1
72	0	1
73	1	0
74	0	1
75	1	0
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	1	0
83	1	0
84	1	0
85	0	1
86	0	1
87	1	0
88	0	1
89	1	0
90	0	1
91	1	0
92	0	1
93	1	0
94	1	0
95	0	1
96	1	0
97	0	1
98	0	1
99	1	0
100	0	1
