p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	0
1	6	1
1	7	0
1	8	0
2	1	1
2	2	1
2	3	1
2	4	1
2	5	0
2	6	1
2	7	1
2	8	0
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	1
3	7	1
3	8	0
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
6	1	1
6	2	1
6	3	1
6	4	1
6	5	0
6	6	1
6	7	1
6	8	0
7	1	1
7	2	1
7	3	1
7	4	1
7	5	0
7	6	1
7	7	1
7	8	0
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
9	1	0
9	2	1
9	3	0
9	4	0
9	5	1
9	6	1
9	7	1
9	8	1
10	1	1
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	0
11	8	1
12	1	0
12	2	0
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	0
13	1	1
13	2	1
13	3	1
13	4	1
13	5	0
13	6	1
13	7	1
13	8	0
14	1	0
14	2	1
14	3	0
14	4	0
14	5	0
14	6	1
14	7	1
14	8	0
15	1	1
15	2	1
15	3	1
15	4	1
15	5	0
15	6	1
15	7	1
15	8	0
16	1	0
16	2	1
16	3	0
16	4	0
16	5	1
16	6	1
16	7	1
16	8	1
17	1	0
17	2	1
17	3	0
17	4	0
17	5	0
17	6	1
17	7	1
17	8	0
18	1	1
18	2	1
18	3	1
18	4	1
18	5	0
18	6	1
18	7	1
18	8	0
19	1	1
19	2	1
19	3	1
19	4	1
19	5	0
19	6	1
19	7	1
19	8	0
20	1	0
20	2	1
20	3	0
20	4	0
20	5	0
20	6	1
20	7	1
20	8	0
21	1	1
21	2	1
21	3	1
21	4	1
21	5	0
21	6	1
21	7	1
21	8	0
22	1	1
22	2	1
22	3	1
22	4	1
22	5	0
22	6	1
22	7	1
22	8	0
23	1	1
23	2	1
23	3	1
23	4	1
23	5	0
23	6	1
23	7	1
23	8	0
24	1	1
24	2	1
24	3	1
24	4	1
24	5	0
24	6	1
24	7	1
24	8	0
25	1	0
25	2	1
25	3	0
25	4	0
25	5	1
25	6	1
25	7	1
25	8	1
26	1	1
26	2	1
26	3	1
26	4	1
26	5	0
26	6	1
26	7	1
26	8	0
27	1	1
27	2	1
27	3	1
27	4	1
27	5	0
27	6	1
27	7	0
27	8	0
28	1	1
28	2	1
28	3	1
28	4	1
28	5	0
28	6	1
28	7	1
28	8	0
29	1	0
29	2	1
29	3	1
29	4	1
29	5	0
29	6	1
29	7	1
29	8	0
30	1	1
30	2	1
30	3	1
30	4	1
30	5	1
30	6	1
30	7	1
30	8	1
31	1	1
31	2	1
31	3	1
31	4	1
31	5	0
31	6	1
31	7	1
31	8	0
32	1	0
32	2	1
32	3	0
32	4	0
32	5	0
32	6	1
32	7	1
32	8	0
33	1	1
33	2	1
33	3	1
33	4	1
33	5	1
33	6	1
33	7	1
33	8	1
34	1	1
34	2	1
34	3	1
34	4	1
34	5	1
34	6	1
34	7	1
34	8	1
35	1	0
35	2	1
35	3	0
35	4	0
35	5	0
35	6	1
35	7	1
35	8	0
36	1	0
36	2	1
36	3	0
36	4	0
36	5	0
36	6	1
36	7	1
36	8	0
37	1	1
37	2	1
37	3	1
37	4	1
37	5	0
37	6	1
37	7	1
37	8	0
38	1	1
38	2	1
