p	L_p
1	3
2	5
3	1
4	2
5	5
6	8
7	2
8	2
9	7
10	7
11	5
12	3
13	3
14	3
15	2
16	7
17	7
18	2
19	5
20	3
21	1
22	3
23	2
24	2
25	2
26	2
27	3
28	3
29	4
30	9
31	6
32	6
33	1
34	7
35	2
36	4
37	1
38	1
39	2
40	3
41	3
42	2
43	6
44	8
45	9
46	3
47	2
48	2
49	5
50	3
51	2
52	2
53	1
54	8
55	5
56	3
57	2
58	2
59	3
60	3
61	4
62	9
63	3
64	3
65	4
66	2
67	2
68	2
69	4
70	1
71	4
72	3
73	2
74	3
75	2
76	3
77	3
78	5
79	2
80	4
81	8
82	1
83	5
84	1
85	3
86	3
87	1
88	3
89	2
90	9
91	10
92	8
93	10
94	10
95	6
96	1
97	4
98	9
99	6
100	3
