p	r	C_pr
1	1	70
1	2	70
1	3	70
1	4	20
1	5	70
1	6	0
1	7	50
1	8	90
2	1	60
2	2	80
2	3	60
2	4	10
2	5	60
2	6	30
2	7	70
2	8	60
3	1	90
3	2	90
3	3	60
3	4	50
3	5	60
3	6	70
3	7	20
3	8	110
4	1	60
4	2	80
4	3	60
4	4	60
4	5	60
4	6	80
4	7	20
4	8	60
5	1	90
5	2	110
5	3	50
5	4	20
5	5	50
5	6	60
5	7	110
5	8	90
6	1	60
6	2	100
6	3	80
6	4	30
6	5	80
6	6	30
6	7	70
6	8	80
7	1	90
7	2	70
7	3	70
7	4	90
7	5	70
7	6	90
7	7	40
7	8	70
8	1	80
8	2	80
8	3	60
8	4	10
8	5	60
8	6	30
8	7	70
8	8	80
9	1	70
9	2	70
9	3	50
9	4	70
9	5	50
9	6	90
9	7	40
9	8	50
10	1	120
10	2	100
10	3	60
10	4	80
10	5	60
10	6	120
10	7	60
10	8	100
11	1	90
11	2	70
11	3	50
11	4	20
11	5	50
11	6	20
11	7	70
11	8	90
12	1	50
12	2	70
12	3	50
12	4	50
12	5	50
12	6	70
12	7	20
12	8	50
13	1	70
13	2	70
13	3	60
13	4	20
13	5	60
13	6	20
13	7	70
13	8	70
14	1	80
14	2	80
14	3	60
14	4	10
14	5	60
14	6	30
14	7	70
14	8	80
15	1	90
15	2	50
15	3	50
15	4	20
15	5	50
15	6	20
15	7	70
15	8	70
16	1	70
16	2	110
16	3	50
16	4	50
16	5	50
16	6	90
16	7	40
16	8	90
17	1	50
17	2	50
17	3	50
17	4	50
17	5	50
17	6	50
17	7	0
17	8	50
18	1	70
18	2	70
18	3	70
18	4	70
18	5	70
18	6	50
18	7	0
18	8	90
19	1	70
19	2	70
19	3	50
19	4	50
19	5	50
19	6	50
19	7	0
19	8	90
20	1	70
20	2	90
20	3	50
20	4	0
20	5	50
20	6	40
20	7	90
20	8	70
21	1	80
21	2	100
21	3	80
21	4	50
21	5	80
21	6	50
21	7	90
21	8	80
22	1	70
