p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.81
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.77
3	1	1.00
3	2	0.49
4	1	1.00
4	2	1.00
4	3	0.35
5	1	1.00
5	2	1.00
5	3	0.35
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	0.68
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	0.56
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	1.00
8	7	1.00
8	8	1.00
8	9	1.00
8	10	1.00
8	11	0.06
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.76
10	1	1.00
10	2	1.00
10	3	0.88
11	1	1.00
11	2	0.77
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	1.00
12	9	1.00
12	10	1.00
12	11	0.71
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.82
14	1	1.00
14	2	1.00
14	3	0.90
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.37
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.07
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.09
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	0.41
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.39
20	1	1.00
20	2	1.00
20	3	0.38
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	0.08
22	1	1.00
22	2	0.30
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.48
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	0.70
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	0.12
26	1	1.00
