p	r	C_pr
1	1	50
1	2	0
1	3	50
1	4	70
1	5	20
1	6	0
1	7	50
1	8	50
2	1	60
2	2	20
2	3	90
2	4	60
2	5	20
2	6	30
2	7	80
2	8	80
3	1	80
3	2	20
3	3	70
3	4	50
3	5	0
3	6	50
3	7	60
3	8	70
4	1	80
4	2	60
4	3	70
4	4	60
4	5	20
4	6	50
4	7	60
4	8	60
5	1	80
5	2	40
5	3	90
5	4	60
5	5	20
5	6	70
5	7	60
5	8	80
6	1	60
6	2	50
6	3	70
6	4	50
6	5	50
6	6	50
6	7	80
6	8	20
7	1	80
7	2	90
7	3	70
7	4	60
7	5	50
7	6	100
7	7	60
7	8	30
8	1	60
8	2	50
8	3	70
8	4	60
8	5	50
8	6	60
8	7	80
8	8	30
9	1	80
9	2	20
9	3	70
9	4	60
9	5	0
9	6	50
9	7	60
9	8	80
10	1	60
10	2	0
10	3	70
10	4	50
10	5	0
10	6	10
10	7	80
10	8	70
11	1	80
11	2	40
11	3	70
11	4	60
11	5	0
11	6	50
11	7	60
11	8	80
12	1	60
12	2	20
12	3	70
12	4	70
12	5	20
12	6	20
12	7	60
12	8	70
13	1	60
13	2	0
13	3	90
13	4	50
13	5	0
13	6	20
13	7	80
13	8	90
14	1	60
14	2	90
14	3	90
14	4	50
14	5	70
14	6	70
14	7	80
14	8	20
15	1	60
15	2	0
15	3	70
15	4	50
15	5	0
15	6	0
15	7	80
15	8	70
16	1	60
16	2	70
16	3	90
16	4	50
16	5	70
16	6	80
16	7	80
16	8	20
17	1	80
17	2	90
17	3	90
17	4	60
17	5	70
17	6	120
17	7	60
17	8	30
18	1	60
18	2	70
18	3	90
18	4	60
18	5	50
18	6	80
18	7	80
18	8	50
19	1	50
19	2	70
19	3	70
19	4	70
19	5	70
19	6	70
19	7	50
19	8	20
20	1	60
20	2	0
20	3	50
20	4	70
20	5	20
20	6	0
20	7	60
20	8	50
21	1	50
21	2	50
21	3	70
21	4	50
21	5	50
21	6	50
21	7	70
21	8	20
22	1	80
22	2	90
22	3	70
22	4	60
22	5	70
22	6	100
22	7	60
22	8	10
23	1	60
23	2	0
23	3	90
23	4	60
23	5	0
23	6	30
23	7	80
23	8	100
24	1	60
24	2	90
24	3	70
24	4	80
24	5	90
24	6	80
24	7	60
24	8	10
25	1	80
25	2	20
25	3	50
25	4	60
25	5	0
25	6	30
25	7	60
25	8	60
26	1	60
26	2	70
26	3	50
26	4	80
26	5	70
26	6	60
26	7	60
26	8	10
27	1	50
27	2	20
27	3	70
27	4	70
27	5	20
27	6	20
27	7	50
27	8	70
28	1	80
28	2	90
28	3	70
28	4	60
28	5	70
28	6	100
28	7	60
28	8	10
29	1	60
29	2	40
29	3	90
29	4	50
29	5	20
29	6	20
29	7	80
29	8	70
30	1	60
30	2	90
30	3	90
30	4	50
30	5	70
30	6	80
30	7	80
30	8	20
31	1	50
31	2	70
31	3	70
31	4	70
31	5	90
31	6	70
31	7	50
31	8	0
32	1	50
32	2	0
32	3	90
32	4	50
32	5	0
32	6	20
32	7	70
32	8	90
33	1	80
33	2	90
33	3	50
33	4	50
33	5	50
33	6	70
33	7	60
33	8	0
34	1	60
34	2	20
34	3	70
34	4	50
34	5	0
34	6	10
34	7	80
34	8	70
35	1	60
35	2	70
35	3	110
35	4	50
35	5	70
35	6	100
35	7	80
35	8	40
36	1	70
36	2	90
36	3	70
36	4	50
36	5	50
36	6	90
36	7	50
36	8	20
37	1	80
37	2	60
37	3	70
37	4	60
37	5	20
37	6	50
37	7	60
37	8	60
38	1	50
38	2	0
38	3	70
38	4	50
38	5	0
38	6	0
38	7	70
38	8	70
39	1	50
39	2	50
39	3	90
39	4	50
39	5	50
39	6	70
39	7	70
39	8	40
40	1	70
40	2	40
40	3	70
40	4	50
40	5	20
40	6	40
40	7	50
40	8	50
41	1	70
41	2	90
41	3	70
41	4	50
41	5	70
41	6	90
41	7	50
41	8	0
42	1	60
42	2	70
42	3	90
42	4	70
42	5	90
42	6	100
42	7	60
42	8	20
43	1	50
43	2	20
43	3	110
43	4	50
43	5	20
43	6	40
43	7	70
43	8	90
44	1	80
44	2	20
44	3	50
44	4	60
44	5	0
44	6	30
44	7	60
44	8	60
45	1	60
45	2	70
45	3	70
45	4	70
45	5	90
45	6	80
45	7	60
45	8	0
46	1	60
46	2	20
46	3	50
46	4	80
46	5	20
46	6	10
46	7	60
46	8	60
47	1	60
47	2	70
47	3	90
47	4	70
47	5	90
47	6	90
47	7	60
47	8	20
48	1	60
48	2	20
48	3	90
48	4	70
48	5	40
48	6	40
48	7	60
48	8	70
49	1	50
49	2	20
49	3	70
49	4	50
49	5	0
49	6	0
49	7	70
49	8	70
50	1	60
50	2	90
50	3	70
50	4	70
50	5	90
50	6	80
50	7	60
50	8	0
