p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.96
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.65
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.79
4	1	1.00
4	2	1.00
4	3	0.59
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	1.00
5	7	0.12
6	1	1.00
6	2	0.12
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	1.00
7	7	1.00
7	8	1.00
7	9	0.02
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.03
9	1	1.00
9	2	0.77
10	1	1.00
10	2	1.00
10	3	0.00
11	1	1.00
11	2	0.18
12	1	1.00
12	2	0.92
13	1	1.00
13	2	1.00
13	3	0.73
14	1	1.00
14	2	0.11
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.05
16	1	1.00
16	2	0.28
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
18	1	1.00
18	2	1.00
18	3	0.16
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	0.26
20	1	1.00
20	2	1.00
20	3	0.48
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	1.00
21	7	0.59
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.72
23	1	1.00
23	2	1.00
23	3	0.82
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	0.49
25	1	1.00
25	2	1.00
25	3	0.98
26	1	1.00
26	2	1.00
26	3	0.93
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	1.00
27	7	1.00
27	8	1.00
27	9	0.18
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	1.00
28	7	1.00
28	8	1.00
28	9	0.01
29	1	1.00
29	2	1.00
29	3	0.48
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.73
31	1	1.00
31	2	1.00
31	3	0.52
32	1	1.00
32	2	0.52
33	1	1.00
33	2	1.00
33	3	1.00
33	4	0.04
34	1	1.00
34	2	1.00
34	3	0.01
35	1	1.00
35	2	1.00
35	3	0.57
36	1	1.00
36	2	1.00
36	3	1.00
36	4	0.36
37	1	1.00
37	2	1.00
37	3	1.00
37	4	1.00
37	5	1.00
37	6	1.00
37	7	1.00
37	8	0.44
38	1	1.00
38	2	1.00
38	3	1.00
38	4	1.00
38	5	1.00
38	6	1.00
38	7	1.00
38	8	1.00
38	9	0.33
39	1	1.00
39	2	1.00
39	3	1.00
39	4	0.07
40	1	1.00
40	2	1.00
40	3	1.00
40	4	0.62
41	1	1.00
41	2	1.00
41	3	1.00
41	4	0.55
42	1	1.00
42	2	1.00
42	3	0.53
43	1	1.00
43	2	0.05
44	1	1.00
44	2	1.00
44	3	1.00
44	4	0.05
45	1	1.00
45	2	1.00
45	3	1.00
45	4	1.00
45	5	0.92
46	1	1.00
46	2	1.00
46	3	1.00
46	4	0.92
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	0.39
48	1	1.00
48	2	1.00
48	3	1.00
48	4	0.40
49	1	1.00
49	2	1.00
49	3	1.00
49	4	1.00
49	5	0.54
50	1	1.00
50	2	1.00
50	3	1.00
50	4	1.00
50	5	1.00
50	6	1.00
50	7	1.00
50	8	0.01
