p	ad_min	ad_max
1	0	17
2	0	0
3	0	0
4	0	5
5	0	0
6	0	0
7	0	10
8	0	0
9	0	2
10	0	0
11	0	9
12	0	0
13	0	0
14	0	12
15	0	25
16	0	21
17	0	8
18	0	9
19	0	0
20	0	0
21	0	7
22	0	0
23	0	0
24	0	17
25	0	0
26	12	21
27	9	24
28	14	22
29	15	15
30	19	19
31	16	20
32	4	4
33	25	25
34	1	19
35	3	3
36	27	27
37	7	7
38	10	15
39	16	16
40	23	23
41	14	25
42	22	22
43	4	4
44	14	17
45	27	27
46	3	3
47	1	1
48	23	27
49	6	6
50	27	27
51	26	26
52	0	0
53	23	25
54	16	16
55	9	9
56	2	23
57	15	16
58	13	13
59	0	1
60	22	22
61	14	14
62	14	14
63	4	20
64	4	23
65	12	18
66	22	22
67	18	22
68	10	11
69	17	17
70	11	25
71	22	22
72	17	19
73	11	11
74	26	26
75	17	21
76	18	19
77	11	14
78	6	6
79	3	3
80	17	17
81	20	21
82	1	1
83	21	21
84	16	16
85	22	22
86	19	24
87	27	27
88	27	27
89	11	11
90	10	10
91	8	8
92	12	12
93	9	12
94	9	16
95	0	0
96	12	12
97	7	7
98	5	5
99	13	13
100	14	14
101	0	11
102	11	11
103	8	12
104	21	21
105	9	9
106	6	16
107	26	26
108	4	7
109	14	14
110	10	10
111	7	18
112	19	19
113	16	23
114	25	25
115	5	5
116	3	3
117	10	21
118	15	16
119	16	18
120	1	3
121	16	16
122	11	11
123	17	18
124	20	22
125	2	10
126	6	16
127	15	20
128	18	18
129	22	24
130	23	23
131	19	19
132	22	22
133	16	16
134	20	20
135	6	6
136	27	27
137	15	15
138	20	20
139	16	16
140	0	15
141	24	24
142	24	24
143	2	2
144	14	16
145	17	20
146	1	20
147	24	24
148	12	12
149	23	23
150	23	23
151	18	22
152	27	27
153	5	19
154	0	0
155	21	22
156	26	26
157	14	14
158	20	20
159	21	21
160	14	19
161	1	1
162	27	27
163	11	19
164	18	18
165	24	24
166	26	26
167	20	20
168	4	4
169	3	3
170	4	6
171	22	22
172	0	0
173	25	25
174	2	2
175	2	11
176	21	21
177	26	26
178	0	1
179	21	21
180	8	8
181	16	16
182	2	2
183	21	24
184	20	20
185	25	26
186	19	19
187	11	15
188	10	25
189	7	20
190	18	23
191	25	25
192	27	27
193	21	21
194	13	13
195	9	9
196	24	24
197	0	0
198	4	4
199	27	27
200	21	21
201	27	27
202	7	7
203	19	19
204	12	12
205	0	12
206	12	12
207	2	5
208	24	27
209	25	25
210	3	3
211	26	26
212	10	10
213	6	11
214	26	26
215	10	10
216	26	26
217	12	18
218	22	22
219	6	6
220	25	25
221	3	13
222	4	14
223	1	10
224	6	22
225	0	0
226	13	13
227	25	25
228	23	26
229	8	8
230	16	16
231	11	11
232	21	21
233	13	20
234	18	18
235	6	6
236	17	18
237	22	22
