p	Fe	Ma
1	0	1
2	0	1
3	1	0
4	1	0
5	1	0
6	0	1
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	0	1
15	0	1
16	1	0
17	1	0
18	0	1
19	1	0
20	1	0
21	0	1
22	0	1
23	1	0
24	1	0
25	1	0
26	1	0
27	0	1
28	0	1
29	0	1
30	1	0
31	1	0
32	0	1
33	0	1
34	0	1
35	1	0
36	1	0
37	1	0
38	0	1
39	0	1
40	1	0
41	0	1
42	0	1
43	1	0
44	0	1
45	1	0
46	1	0
47	0	1
48	1	0
49	0	1
50	1	0
51	1	0
52	1	0
53	0	1
54	0	1
55	0	1
56	0	1
57	1	0
58	0	1
59	1	0
60	1	0
61	1	0
62	1	0
63	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	1	0
70	1	0
71	0	1
72	1	0
73	0	1
74	1	0
75	1	0
76	1	0
77	0	1
78	0	1
79	0	1
80	1	0
81	1	0
82	0	1
83	0	1
84	1	0
85	0	1
86	0	1
87	1	0
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	0	1
94	1	0
95	0	1
96	1	0
97	0	1
98	1	0
99	1	0
100	0	1
101	0	1
102	1	0
103	0	1
104	1	0
105	1	0
106	1	0
107	0	1
108	0	1
109	0	1
110	0	1
111	1	0
112	0	1
113	0	1
114	1	0
115	1	0
116	0	1
117	0	1
118	1	0
119	0	1
120	1	0
121	1	0
122	0	1
123	1	0
124	1	0
125	0	1
126	0	1
127	1	0
128	1	0
129	0	1
130	0	1
131	1	0
132	0	1
133	0	1
134	1	0
135	1	0
136	0	1
137	0	1
138	0	1
139	0	1
140	1	0
141	0	1
142	0	1
143	0	1
144	0	1
145	1	0
146	0	1
147	1	0
148	1	0
149	0	1
150	0	1
151	1	0
152	0	1
153	1	0
154	0	1
155	0	1
156	1	0
157	0	1
158	0	1
159	0	1
160	1	0
161	0	1
162	1	0
163	0	1
164	1	0
165	0	1
166	0	1
167	0	1
168	0	1
169	1	0
170	0	1
171	1	0
172	1	0
173	0	1
174	0	1
175	0	1
176	1	0
177	1	0
178	0	1
179	0	1
180	1	0
181	0	1
182	1	0
183	0	1
184	0	1
185	0	1
186	0	1
187	1	0
188	0	1
189	0	1
190	1	0
191	1	0
192	1	0
193	0	1
194	0	1
195	1	0
196	0	1
197	0	1
198	1	0
199	0	1
200	1	0
201	1	0
202	1	0
203	0	1
204	1	0
205	1	0
206	1	0
207	1	0
208	0	1
209	1	0
210	0	1
211	1	0
212	0	1
213	0	1
214	1	0
215	0	1
216	1	0
217	1	0
218	0	1
219	1	0
220	1	0
221	1	0
222	0	1
223	1	0
224	0	1
225	0	1
226	0	1
227	1	0
228	0	1
229	0	1
230	0	1
231	0	1
232	1	0
233	1	0
234	0	1
235	0	1
236	0	1
237	1	0
238	1	0
239	1	0
240	1	0
241	0	1
242	0	1
243	1	0
244	0	1
245	0	1
246	0	1
247	0	1
248	0	1
249	1	0
250	0	1
251	0	1
252	0	1
253	0	1
254	1	0
255	0	1
256	1	0
257	0	1
258	0	1
259	1	0
260	1	0
261	0	1
262	0	1
263	1	0
264	1	0
265	0	1
266	1	0
267	1	0
268	1	0
269	0	1
270	0	1
271	1	0
272	1	0
273	1	0
274	1	0
275	0	1
276	1	0
277	0	1
278	1	0
279	1	0
280	1	0
281	0	1
282	1	0
283	0	1
284	0	1
285	0	1
286	0	1
287	0	1
288	0	1
289	1	0
290	0	1
291	0	1
292	1	0
293	1	0
294	1	0
295	1	0
296	0	1
297	1	0
298	1	0
299	1	0
300	0	1
301	0	1
302	0	1
303	1	0
304	1	0
305	1	0
306	1	0
307	0	1
308	1	0
309	1	0
310	0	1
311	0	1
312	0	1
313	0	1
314	1	0
315	1	0
316	1	0
317	1	0
318	1	0
319	1	0
320	0	1
321	0	1
322	0	1
323	0	1
324	1	0
325	1	0
326	1	0
327	0	1
328	1	0
329	0	1
330	1	0
331	1	0
332	1	0
333	1	0
334	0	1
335	1	0
336	1	0
337	0	1
338	0	1
339	1	0
340	1	0
341	1	0
342	0	1
343	1	0
344	1	0
345	0	1
346	1	0
347	0	1
348	1	0
349	1	0
350	1	0
351	0	1
352	0	1
353	1	0
354	0	1
355	1	0
356	1	0
357	0	1
358	0	1
359	1	0
360	1	0
361	0	1
362	1	0
363	0	1
364	1	0
365	0	1
366	0	1
367	1	0
368	0	1
369	0	1
370	1	0
371	1	0
372	1	0
373	1	0
374	1	0
375	1	0
376	1	0
377	0	1
378	0	1
379	0	1
380	0	1
381	0	1
382	0	1
383	0	1
384	1	0
385	0	1
386	0	1
387	0	1
388	0	1
389	0	1
390	0	1
391	1	0
392	1	0
393	0	1
394	1	0
395	1	0
396	1	0
397	0	1
398	0	1
399	1	0
400	1	0
401	0	1
402	0	1
403	0	1
404	0	1
405	1	0
406	1	0
407	0	1
408	0	1
409	1	0
410	1	0
411	0	1
412	0	1
413	0	1
414	0	1
415	1	0
416	1	0
417	1	0
418	0	1
419	0	1
420	1	0
421	1	0
422	0	1
423	0	1
424	1	0
425	1	0
426	0	1
427	0	1
428	1	0
429	0	1
430	1	0
431	0	1
432	1	0
433	0	1
434	0	1
435	1	0
436	0	1
437	1	0
438	1	0
439	0	1
440	1	0
441	1	0
442	1	0
443	1	0
444	1	0
445	0	1
446	0	1
447	0	1
448	1	0
449	1	0
450	1	0
451	1	0
452	1	0
453	1	0
454	0	1
455	0	1
456	0	1
457	0	1
458	0	1
459	0	1
460	1	0
461	0	1
462	0	1
463	0	1
464	0	1
465	1	0
466	0	1
467	1	0
468	1	0
469	1	0
470	1	0
471	0	1
472	0	1
473	0	1
474	0	1
475	1	0
476	1	0
477	0	1
478	0	1
479	1	0
480	0	1
481	0	1
482	0	1
483	0	1
484	1	0
485	0	1
486	1	0
487	0	1
488	0	1
489	0	1
490	0	1
491	0	1
492	1	0
493	0	1
494	0	1
495	1	0
496	1	0
497	0	1
498	0	1
499	1	0
500	1	0
