p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.85
1	4	0.69
2	1	1.00
2	2	0.98
2	3	0.65
3	1	1.00
3	2	0.11
3	3	0.10
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.97
4	7	0.43
5	1	1.00
5	2	0.42
5	3	0.32
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	0.17
6	6	0.06
7	1	1.00
7	2	0.95
7	3	0.63
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	0.68
8	6	0.44
9	1	1.00
9	2	0.73
9	3	0.27
10	1	1.00
10	2	1.00
10	3	0.86
10	4	0.53
11	1	1.00
11	2	1.00
11	3	0.27
11	4	0.03
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	0.82
12	6	0.66
13	1	1.00
13	2	1.00
13	3	1.00
13	4	0.59
13	5	0.21
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	0.24
14	7	0.04
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	0.81
15	7	0.17
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.70
16	7	0.06
17	1	1.00
17	2	1.00
17	3	0.92
17	4	0.77
18	1	1.00
18	2	0.36
18	3	0.15
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.43
19	5	0.37
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	0.06
20	7	0.06
21	1	1.00
21	2	1.00
21	3	0.35
21	4	0.22
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	0.59
22	6	0.25
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.19
23	7	0.19
24	1	1.00
24	2	1.00
24	3	0.15
24	4	0.14
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.61
25	5	0.37
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.81
26	5	0.25
