p	r	C_pr
1	1	70
1	2	70
1	3	110
1	4	90
1	5	70
1	6	40
1	7	70
1	8	50
1	9	70
1	10	110
1	11	70
1	12	0
1	13	110
1	14	70
1	15	50
1	16	110
1	17	70
1	18	90
1	19	50
1	20	50
1	21	90
1	22	90
1	23	20
1	24	70
1	25	50
1	26	70
1	27	90
1	28	70
1	29	90
1	30	70
1	31	70
1	32	20
1	33	60
1	34	110
1	35	70
1	36	50
1	37	90
1	38	70
1	39	60
1	40	90
2	1	60
2	2	70
2	3	120
2	4	120
2	5	100
2	6	50
2	7	80
2	8	80
2	9	70
2	10	120
2	11	90
2	12	30
2	13	120
2	14	60
2	15	60
2	16	100
2	17	60
2	18	80
2	19	80
2	20	60
2	21	100
2	22	90
2	23	30
2	24	80
2	25	60
2	26	90
2	27	80
2	28	100
2	29	90
2	30	80
2	31	60
2	32	20
2	33	70
2	34	120
2	35	80
2	36	60
2	37	70
2	38	100
2	39	50
2	40	100
3	1	60
3	2	70
3	3	80
3	4	100
3	5	60
3	6	60
3	7	60
3	8	10
3	9	70
3	10	100
3	11	50
3	12	60
3	13	100
3	14	60
3	15	60
3	16	80
3	17	10
3	18	60
3	19	60
3	20	80
3	21	80
3	22	50
3	23	60
3	24	80
3	25	60
3	26	50
3	27	60
3	28	80
3	29	0
3	30	80
3	31	10
3	32	70
3	33	80
3	34	30
3	35	80
3	36	60
3	37	20
3	38	30
3	39	80
3	40	80
4	1	50
4	2	70
4	3	110
4	4	110
4	5	80
4	6	80
4	7	80
4	8	10
4	9	90
4	10	120
4	11	70
4	12	60
4	13	110
4	14	50
4	15	50
4	16	100
4	17	10
4	18	80
4	19	60
4	20	70
4	21	100
4	22	70
4	23	80
4	24	80
4	25	50
4	26	70
4	27	80
4	28	80
4	29	40
4	30	80
4	31	0
4	32	90
4	33	120
4	34	50
4	35	80
4	36	60
4	37	20
4	38	30
4	39	100
4	40	90
5	1	70
5	2	70
5	3	90
5	4	70
5	5	90
5	6	40
5	7	70
5	8	70
5	9	70
