p	ad_min	ad_max
1	0	0
2	0	10
3	0	8
4	0	6
5	0	0
6	0	2
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	12
13	10	10
14	1	1
15	1	2
16	1	1
17	4	6
18	10	10
19	1	1
20	5	6
21	6	7
22	11	11
23	6	6
24	12	12
25	6	6
26	11	12
27	8	8
28	12	12
29	6	6
30	2	2
31	4	4
32	5	5
33	13	13
34	9	9
35	12	12
36	12	12
37	6	6
38	9	9
39	8	9
40	5	5
41	9	9
42	1	10
43	3	3
44	13	13
45	1	1
46	1	1
47	4	11
48	10	10
49	4	4
50	9	9
51	3	3
52	12	12
53	10	10
54	4	4
55	11	11
56	8	8
57	7	7
58	10	10
59	6	6
60	1	8
61	6	6
62	4	4
63	3	3
64	7	7
65	2	2
66	9	10
67	6	8
68	8	8
69	1	2
70	10	10
71	0	3
72	1	1
73	5	5
74	12	12
75	11	11
76	9	9
77	11	11
78	11	11
79	8	8
80	10	10
81	13	13
82	9	9
83	12	12
84	10	10
85	2	3
86	3	10
87	5	5
88	12	12
89	3	3
90	13	13
91	8	8
92	13	13
93	9	9
94	10	10
95	11	12
96	11	11
97	4	5
98	1	11
99	10	10
100	2	2
101	6	6
102	1	2
103	4	4
104	8	8
105	8	8
106	7	8
107	8	8
108	10	10
109	4	4
110	1	1
111	8	10
112	11	11
113	6	6
114	6	6
115	0	2
116	5	5
117	9	10
118	8	12
119	5	5
120	1	9
121	1	4
122	2	4
123	12	12
124	6	6
125	5	5
126	9	13
127	9	9
128	12	12
129	10	12
130	9	10
131	1	6
132	10	10
133	10	11
134	2	2
135	12	12
136	3	7
137	13	13
138	1	1
139	8	8
140	13	13
141	9	9
142	1	1
143	9	9
144	13	13
145	1	6
146	7	7
147	10	10
148	3	3
149	6	6
150	4	4
151	5	5
152	5	12
153	2	6
154	10	11
155	6	6
156	10	11
157	1	8
158	8	11
159	7	7
160	8	8
161	0	0
162	1	1
163	5	5
164	9	9
165	13	13
166	0	0
167	0	9
168	12	12
169	9	9
170	2	2
171	12	12
172	8	8
173	12	12
174	5	5
175	0	9
176	0	4
177	1	1
178	1	5
179	11	11
180	11	12
181	6	9
182	6	6
183	6	7
184	9	9
185	10	10
186	4	4
187	7	12
188	2	2
189	13	13
190	2	2
191	3	9
192	13	13
193	13	13
194	5	5
195	2	9
196	4	4
197	3	3
198	13	13
199	11	11
200	9	9
201	4	4
202	6	6
203	3	3
204	10	10
205	11	12
206	0	0
207	12	12
208	10	11
209	7	7
210	13	13
211	11	11
212	6	6
213	10	10
214	1	2
215	2	4
216	8	9
217	10	10
218	7	7
219	10	10
220	6	6
221	11	11
222	1	1
223	2	9
224	2	2
225	3	9
226	5	5
227	4	4
228	9	9
229	4	4
230	5	10
231	13	13
232	7	7
233	13	13
234	8	8
235	13	13
236	1	1
237	1	1
238	7	7
239	2	5
240	1	1
241	7	12
242	5	10
243	0	0
244	12	12
245	7	7
246	6	6
247	4	4
248	0	8
249	6	9
250	12	12
