p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.03
1	7	0.03
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.19
2	6	0.02
3	1	1.00
3	2	0.43
3	3	0.25
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.24
4	7	0.21
5	1	1.00
5	2	0.59
5	3	0.14
6	1	1.00
6	2	1.00
6	3	0.85
6	4	0.06
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	0.03
7	7	0.01
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.14
8	5	0.11
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.15
10	1	1.00
10	2	0.29
10	3	0.15
11	1	1.00
11	2	0.03
11	3	0.00
12	1	1.00
12	2	1.00
12	3	0.69
12	4	0.45
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	1.00
13	8	0.25
13	9	0.15
14	1	1.00
14	2	1.00
14	3	0.52
14	4	0.51
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.91
15	5	0.56
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	1.00
16	8	1.00
16	9	0.11
16	10	0.07
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.19
17	6	0.14
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	0.48
18	8	0.39
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	1.00
19	9	1.00
19	10	1.00
19	11	0.81
19	12	0.52
20	1	1.00
20	2	1.00
20	3	0.56
20	4	0.47
21	1	1.00
21	2	1.00
21	3	1.00
21	4	0.59
21	5	0.54
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.20
22	5	0.18
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.84
