p	L_p
1	1
2	1
3	4
4	2
5	5
6	4
7	2
8	5
9	4
10	4
11	4
12	7
13	6
14	3
15	6
16	6
17	2
18	2
19	6
20	7
21	10
22	3
23	5
24	4
25	9
26	4
27	5
28	2
29	2
30	7
31	1
32	3
33	3
34	4
35	3
36	1
37	4
38	5
39	4
40	9
41	2
42	2
43	3
44	9
45	3
46	1
47	1
48	5
49	5
50	3
51	5
52	3
53	1
54	10
55	3
56	2
57	9
58	2
59	1
60	2
61	3
62	2
63	6
64	3
65	1
66	10
67	8
68	2
69	3
70	1
71	1
72	2
73	3
74	1
75	2
76	5
77	4
78	2
79	3
80	1
81	7
82	4
83	3
84	9
85	10
86	2
87	3
88	2
89	8
90	3
91	4
92	4
93	1
94	4
95	3
96	4
97	4
98	2
99	3
100	1
101	6
102	2
103	4
104	5
105	2
106	2
107	8
108	6
109	5
110	2
111	10
112	9
113	3
114	10
115	5
116	7
117	5
118	3
119	5
120	2
121	3
122	1
123	7
124	4
125	2
126	7
127	3
128	1
129	1
130	5
131	3
132	4
133	7
134	3
135	2
136	3
137	8
138	3
139	9
140	3
141	1
142	1
143	2
144	10
145	1
146	7
147	1
148	2
149	9
150	1
151	8
152	5
153	1
154	10
155	8
156	3
157	3
158	1
159	6
160	3
161	2
162	2
163	3
164	1
165	2
166	2
167	2
168	1
169	5
170	3
171	4
172	1
173	6
174	3
175	9
176	3
177	6
178	5
179	9
180	9
181	8
182	3
183	8
184	8
185	4
186	3
187	3
188	3
189	3
190	6
191	5
192	5
193	6
194	3
195	3
196	2
197	4
198	4
199	10
200	1
