p	d	Pr(p,d)
1	1	1.00
1	2	0.53
1	3	0.09
2	1	1.00
2	2	0.89
2	3	0.72
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.68
3	6	0.44
4	1	1.00
4	2	1.00
4	3	0.71
4	4	0.42
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.35
5	7	0.27
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	0.37
6	6	0.34
7	1	1.00
7	2	1.00
7	3	0.03
7	4	0.00
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	0.55
8	7	0.18
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.89
9	6	0.76
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.53
10	6	0.07
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.82
11	6	0.35
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	0.21
12	9	0.17
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	0.92
13	8	0.87
14	1	1.00
14	2	1.00
14	3	1.00
14	4	0.33
14	5	0.28
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	0.12
15	8	0.05
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	0.85
16	8	0.66
17	1	1.00
17	2	1.00
17	3	0.83
17	4	0.71
18	1	1.00
18	2	1.00
18	3	0.88
18	4	0.85
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.32
19	8	0.28
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	1.00
20	7	1.00
20	8	0.92
20	9	0.68
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	1.00
21	7	1.00
21	8	1.00
21	9	1.00
21	10	1.00
21	11	0.43
21	12	0.24
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.56
22	5	0.08
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.07
23	7	0.01
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.68
24	6	0.44
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	1.00
25	7	1.00
25	8	1.00
25	9	1.00
25	10	0.84
25	11	0.04
26	1	1.00
26	2	1.00
26	3	1.00
26	4	1.00
26	5	0.38
26	6	0.13
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	0.43
27	7	0.00
28	1	1.00
28	2	1.00
28	3	0.56
28	4	0.50
29	1	1.00
29	2	1.00
29	3	0.15
29	4	0.06
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	1.00
