p	r	C_pr
1	1	100
1	2	60
1	3	100
1	4	100
1	5	60
1	6	10
1	7	50
1	8	80
2	1	60
2	2	60
2	3	80
2	4	80
2	5	70
2	6	0
2	7	50
2	8	60
3	1	70
3	2	50
3	3	90
3	4	40
3	5	70
3	6	50
3	7	50
3	8	50
4	1	70
4	2	60
4	3	80
4	4	20
4	5	50
4	6	50
4	7	50
4	8	70
5	1	50
5	2	60
5	3	80
5	4	70
5	5	70
5	6	0
5	7	50
5	8	50
6	1	60
6	2	60
6	3	80
6	4	30
6	5	70
6	6	50
6	7	50
6	8	60
7	1	70
7	2	50
7	3	50
7	4	0
7	5	50
7	6	50
7	7	50
7	8	70
8	1	50
8	2	70
8	3	90
8	4	40
8	5	50
8	6	70
8	7	70
8	8	50
9	1	80
9	2	60
9	3	80
9	4	80
9	5	80
9	6	10
9	7	50
9	8	60
10	1	100
10	2	60
10	3	100
10	4	50
10	5	60
10	6	60
10	7	50
10	8	80
11	1	80
11	2	80
11	3	120
11	4	120
11	5	60
11	6	30
11	7	70
11	8	60
12	1	80
12	2	60
12	3	80
12	4	80
12	5	80
12	6	10
12	7	50
12	8	60
13	1	70
13	2	50
13	3	70
13	4	20
13	5	50
13	6	50
13	7	50
13	8	70
14	1	60
14	2	80
14	3	100
14	4	100
14	5	50
14	6	20
14	7	70
14	8	60
15	1	70
15	2	50
15	3	90
15	4	40
15	5	70
15	6	50
15	7	50
15	8	50
16	1	70
16	2	50
16	3	50
16	4	0
16	5	50
16	6	50
16	7	50
16	8	70
17	1	50
17	2	70
17	3	90
17	4	40
17	5	50
17	6	70
17	7	70
17	8	50
18	1	70
18	2	60
18	3	100
18	4	40
18	5	70
18	6	50
18	7	50
18	8	50
19	1	60
19	2	80
19	3	100
19	4	100
19	5	60
19	6	30
19	7	70
19	8	60
20	1	70
20	2	80
20	3	100
20	4	40
20	5	50
20	6	70
20	7	70
20	8	50
21	1	60
21	2	80
21	3	80
21	4	30
21	5	50
21	6	70
21	7	70
21	8	60
22	1	80
22	2	60
22	3	80
22	4	30
22	5	70
22	6	50
22	7	50
22	8	60
23	1	80
23	2	80
23	3	120
23	4	120
23	5	50
23	6	20
23	7	70
23	8	60
24	1	80
24	2	60
24	3	100
24	4	100
24	5	70
24	6	0
24	7	50
24	8	60
25	1	60
25	2	80
25	3	100
25	4	100
25	5	50
25	6	20
25	7	70
25	8	60
26	1	60
26	2	60
26	3	60
26	4	60
26	5	70
26	6	0
26	7	50
26	8	60
27	1	60
27	2	60
27	3	80
27	4	30
27	5	70
27	6	50
27	7	50
27	8	60
28	1	80
28	2	80
28	3	100
28	4	100
28	5	60
28	6	30
28	7	70
28	8	60
29	1	50
29	2	80
29	3	100
29	4	40
29	5	50
29	6	70
29	7	70
29	8	50
30	1	100
30	2	60
30	3	100
30	4	100
30	5	60
30	6	10
30	7	50
30	8	80
31	1	60
31	2	80
31	3	80
31	4	30
31	5	50
31	6	70
31	7	70
31	8	60
32	1	70
32	2	60
32	3	80
32	4	70
32	5	50
32	6	0
32	7	50
32	8	70
33	1	90
33	2	50
33	3	90
33	4	90
33	5	50
33	6	0
33	7	50
33	8	70
34	1	70
34	2	50
34	3	90
34	4	90
34	5	70
34	6	0
34	7	50
34	8	50
35	1	50
35	2	80
35	3	100
35	4	90
35	5	50
35	6	20
35	7	70
35	8	50
36	1	100
36	2	60
36	3	100
36	4	100
36	5	50
36	6	0
36	7	50
36	8	80
37	1	50
37	2	80
37	3	80
37	4	70
37	5	50
37	6	20
37	7	70
37	8	50
38	1	60
38	2	60
38	3	60
38	4	10
38	5	80
38	6	60
38	7	50
38	8	60
39	1	60
39	2	80
39	3	80
39	4	30
39	5	60
39	6	80
39	7	70
39	8	60
40	1	90
40	2	50
40	3	70
40	4	70
40	5	50
40	6	0
40	7	50
40	8	70
41	1	50
41	2	70
41	3	70
41	4	70
41	5	50
41	6	20
41	7	70
41	8	50
42	1	80
42	2	80
42	3	120
42	4	120
42	5	50
42	6	20
42	7	70
42	8	60
43	1	60
43	2	60
43	3	80
43	4	30
43	5	80
43	6	60
43	7	50
43	8	60
44	1	80
44	2	60
44	3	100
44	4	100
44	5	70
44	6	0
44	7	50
44	8	60
45	1	60
45	2	60
45	3	60
45	4	10
45	5	70
45	6	50
45	7	50
45	8	60
46	1	70
46	2	50
46	3	70
46	4	70
46	5	70
46	6	0
46	7	50
46	8	50
47	1	90
47	2	60
47	3	80
47	4	20
47	5	50
47	6	50
47	7	50
47	8	70
48	1	80
48	2	60
48	3	100
48	4	100
48	5	70
48	6	0
48	7	50
48	8	60
49	1	100
49	2	60
49	3	80
49	4	30
49	5	50
49	6	50
49	7	50
49	8	80
50	1	70
50	2	80
50	3	120
50	4	110
50	5	50
50	6	20
50	7	70
50	8	50
51	1	50
51	2	80
51	3	100
51	4	40
51	5	50
51	6	70
51	7	70
51	8	50
52	1	80
52	2	60
52	3	80
52	4	30
52	5	70
52	6	50
52	7	50
52	8	60
53	1	70
53	2	80
53	3	120
53	4	60
53	5	50
53	6	70
53	7	70
53	8	50
54	1	80
54	2	80
54	3	100
54	4	50
54	5	50
54	6	70
54	7	70
54	8	60
55	1	80
55	2	60
55	3	80
55	4	30
55	5	60
55	6	60
55	7	50
55	8	80
56	1	60
56	2	60
56	3	80
56	4	30
