p	Fe	Ma
1	1	0
2	1	0
3	0	1
4	0	1
5	1	0
6	1	0
7	1	0
8	1	0
9	0	1
10	1	0
11	0	1
12	1	0
13	0	1
14	0	1
15	1	0
16	1	0
17	0	1
18	1	0
19	1	0
20	0	1
21	0	1
22	1	0
23	0	1
24	1	0
25	1	0
26	1	0
27	0	1
28	1	0
29	1	0
30	0	1
31	0	1
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	0	1
40	1	0
41	0	1
42	1	0
43	0	1
44	0	1
45	0	1
46	1	0
47	0	1
48	0	1
49	0	1
50	1	0
51	0	1
52	1	0
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	1	0
59	0	1
60	0	1
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	0	1
67	0	1
68	1	0
69	1	0
70	1	0
71	1	0
72	0	1
73	0	1
74	1	0
75	0	1
76	0	1
77	0	1
78	1	0
79	0	1
80	1	0
81	0	1
82	1	0
83	1	0
84	0	1
85	0	1
86	0	1
87	0	1
88	1	0
89	1	0
90	0	1
91	1	0
92	0	1
93	1	0
94	1	0
95	1	0
96	0	1
97	0	1
98	0	1
99	0	1
100	0	1
101	0	1
102	0	1
103	1	0
104	1	0
105	0	1
106	1	0
107	1	0
108	0	1
109	1	0
110	0	1
111	1	0
112	0	1
113	1	0
114	1	0
115	1	0
116	1	0
117	0	1
118	0	1
119	1	0
120	1	0
121	0	1
122	0	1
123	1	0
124	0	1
125	1	0
126	0	1
127	0	1
128	1	0
129	1	0
130	0	1
131	1	0
132	1	0
133	0	1
134	1	0
135	1	0
136	1	0
137	0	1
138	1	0
139	0	1
140	1	0
141	0	1
142	1	0
143	1	0
144	0	1
145	1	0
146	0	1
147	0	1
148	1	0
149	1	0
150	0	1
151	0	1
152	1	0
153	0	1
154	0	1
155	0	1
156	1	0
157	1	0
158	0	1
159	1	0
160	1	0
161	0	1
162	1	0
163	0	1
164	1	0
165	1	0
166	1	0
167	0	1
168	1	0
169	0	1
170	0	1
171	1	0
172	1	0
173	1	0
174	1	0
175	0	1
176	1	0
177	1	0
178	1	0
179	1	0
180	0	1
181	1	0
182	1	0
183	0	1
184	0	1
185	0	1
186	0	1
187	0	1
188	0	1
189	0	1
190	0	1
191	1	0
192	0	1
193	1	0
194	1	0
195	0	1
196	1	0
197	1	0
198	1	0
199	0	1
200	0	1
