p	L_p
1	5
2	5
3	1
4	2
5	2
6	6
7	5
8	10
9	3
10	2
11	1
12	10
13	5
14	2
15	3
16	3
17	4
18	5
19	6
20	2
21	4
22	1
23	3
24	8
25	4
26	2
27	5
28	6
29	1
30	2
31	1
32	6
33	3
34	4
35	1
36	10
37	2
38	6
39	3
40	2
41	2
42	2
43	3
44	3
45	2
46	9
47	8
48	6
49	1
50	2
51	4
52	2
53	2
54	2
55	2
56	1
57	3
58	9
59	7
60	5
61	8
62	5
63	8
64	2
65	10
66	4
67	2
68	6
69	2
70	3
71	2
72	5
73	1
74	3
75	1
76	5
77	5
78	4
79	3
80	7
81	2
82	3
83	9
84	2
85	4
86	5
87	4
88	1
89	10
90	6
91	3
92	5
93	4
94	2
95	6
96	9
97	1
98	2
99	1
100	6
