p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.81
1	7	0.37
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.77
2	7	0.24
3	1	1.00
3	2	0.49
3	3	0.41
4	1	1.00
4	2	1.00
4	3	0.35
4	4	0.11
5	1	1.00
5	2	1.00
5	3	0.35
5	4	0.30
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	0.68
6	8	0.56
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	0.56
7	7	0.06
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	1.00
8	7	1.00
8	8	1.00
8	9	1.00
8	10	1.00
8	11	0.06
8	12	0.04
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.76
9	5	0.58
10	1	1.00
10	2	1.00
10	3	0.88
10	4	0.86
11	1	1.00
11	2	0.77
11	3	0.16
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	1.00
12	9	1.00
12	10	1.00
12	11	0.71
12	12	0.35
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.82
13	7	0.10
14	1	1.00
14	2	1.00
14	3	0.90
14	4	0.64
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.37
15	5	0.27
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.07
16	5	0.02
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.09
17	6	0.05
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	0.41
18	7	0.38
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.39
19	8	0.06
20	1	1.00
20	2	1.00
20	3	0.38
20	4	0.28
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	0.08
21	6	0.04
