p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.06
2	1	1.00
2	2	0.27
3	1	1.00
3	2	1.00
3	3	0.09
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.06
5	1	1.00
5	2	0.26
6	1	1.00
6	2	1.00
6	3	0.44
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.36
8	1	1.00
8	2	0.87
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.17
10	1	1.00
10	2	1.00
10	3	0.38
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.19
12	1	1.00
12	2	1.00
12	3	0.65
13	1	1.00
13	2	0.24
14	1	1.00
14	2	1.00
14	3	1.00
14	4	0.29
15	1	1.00
15	2	1.00
15	3	0.41
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.24
17	1	1.00
17	2	1.00
17	3	0.15
18	1	1.00
18	2	1.00
18	3	0.48
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.85
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	0.78
21	1	1.00
21	2	0.05
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.28
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.96
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.33
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.09
26	1	1.00
26	2	1.00
26	3	0.74
27	1	1.00
27	2	1.00
27	3	0.62
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.56
29	1	1.00
29	2	1.00
29	3	1.00
29	4	0.09
30	1	1.00
30	2	1.00
30	3	0.22
31	1	1.00
31	2	1.00
31	3	1.00
31	4	0.54
32	1	1.00
32	2	1.00
32	3	1.00
32	4	0.02
33	1	1.00
33	2	0.44
34	1	1.00
34	2	1.00
34	3	1.00
34	4	0.23
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
