p	r	C_pr
1	1	120
1	2	90
1	3	50
1	4	110
1	5	60
1	6	0
1	7	70
1	8	90
1	9	110
1	10	80
1	11	110
1	12	0
1	13	70
1	14	110
1	15	50
1	16	50
1	17	50
1	18	0
1	19	70
1	20	110
1	21	90
1	22	60
1	23	70
1	24	110
1	25	70
1	26	50
1	27	120
1	28	70
1	29	110
1	30	70
1	31	100
1	32	70
1	33	30
1	34	70
1	35	90
1	36	90
1	37	70
1	38	80
1	39	70
1	40	110
2	1	80
2	2	60
2	3	80
2	4	80
2	5	60
2	6	10
2	7	50
2	8	120
2	9	90
2	10	80
2	11	90
2	12	10
2	13	100
2	14	120
2	15	60
2	16	60
2	17	70
2	18	0
2	19	80
2	20	100
2	21	80
2	22	80
2	23	80
2	24	70
2	25	60
2	26	50
2	27	80
2	28	80
2	29	90
2	30	60
2	31	100
2	32	60
2	33	10
2	34	50
2	35	80
2	36	80
2	37	80
2	38	80
2	39	50
2	40	100
3	1	60
3	2	60
3	3	30
3	4	80
3	5	60
3	6	60
3	7	70
3	8	80
3	9	50
3	10	80
3	11	70
3	12	60
3	13	80
3	14	80
3	15	60
3	16	60
3	17	70
3	18	50
3	19	80
3	20	80
3	21	80
3	22	80
3	23	80
3	24	70
3	25	80
3	26	50
3	27	60
3	28	100
3	29	50
3	30	80
3	31	100
3	32	10
3	33	80
3	34	80
3	35	60
3	36	100
3	37	80
3	38	80
3	39	50
3	40	60
4	1	70
4	2	70
4	3	70
4	4	90
4	5	70
4	6	0
4	7	70
4	8	110
4	9	70
4	10	70
4	11	70
4	12	0
4	13	90
4	14	110
4	15	50
4	16	50
4	17	70
4	18	0
4	19	70
4	20	90
4	21	70
4	22	70
4	23	70
4	24	90
4	25	70
4	26	70
4	27	90
4	28	90
4	29	70
4	30	70
4	31	90
4	32	70
4	33	20
4	34	40
4	35	90
4	36	110
4	37	70
4	38	70
4	39	50
4	40	70
5	1	50
5	2	50
5	3	50
5	4	70
5	5	50
5	6	0
5	7	50
5	8	70
5	9	70
5	10	50
5	11	70
5	12	0
5	13	70
5	14	70
5	15	50
5	16	70
5	17	50
5	18	0
5	19	70
5	20	90
5	21	50
5	22	50
5	23	50
5	24	70
5	25	70
5	26	50
5	27	50
5	28	50
5	29	70
5	30	70
5	31	90
5	32	50
5	33	0
5	34	20
5	35	50
5	36	50
5	37	70
5	38	50
5	39	50
5	40	70
6	1	100
6	2	60
6	3	80
6	4	120
6	5	60
6	6	10
6	7	70
6	8	120
6	9	110
6	10	80
6	11	110
6	12	10
6	13	120
6	14	120
6	15	60
6	16	80
6	17	70
6	18	0
6	19	100
6	20	140
6	21	100
6	22	80
6	23	80
6	24	90
6	25	100
6	26	50
6	27	80
6	28	100
6	29	90
6	30	100
6	31	140
6	32	60
6	33	30
6	34	70
6	35	80
6	36	100
6	37	100
6	38	80
6	39	70
6	40	100
7	1	100
7	2	70
7	3	50
7	4	110
7	5	60
7	6	0
7	7	70
7	8	70
7	9	70
7	10	80
7	11	70
7	12	0
7	13	70
7	14	70
7	15	50
7	16	50
7	17	50
7	18	0
7	19	70
7	20	90
7	21	70
7	22	60
7	23	70
7	24	70
7	25	70
7	26	50
7	27	100
7	28	70
7	29	90
7	30	70
7	31	80
7	32	50
7	33	30
7	34	50
7	35	70
7	36	90
7	37	70
7	38	80
7	39	50
7	40	90
8	1	80
8	2	80
8	3	100
8	4	80
8	5	80
8	6	30
8	7	90
8	8	120
8	9	90
8	10	80
8	11	110
8	12	10
8	13	80
8	14	120
8	15	80
8	16	60
8	17	70
8	18	0
8	19	80
8	20	100
8	21	100
8	22	80
8	23	100
8	24	110
8	25	80
8	26	70
8	27	80
8	28	120
8	29	90
8	30	80
8	31	120
8	32	80
8	33	50
8	34	50
8	35	80
8	36	120
8	37	80
8	38	80
8	39	70
8	40	80
9	1	70
9	2	50
9	3	20
9	4	90
9	5	50
9	6	50
9	7	70
9	8	90
9	9	70
9	10	70
9	11	70
9	12	50
9	13	90
9	14	90
9	15	50
9	16	50
9	17	70
9	18	50
9	19	70
9	20	90
9	21	70
9	22	70
9	23	70
9	24	70
9	25	70
9	26	50
9	27	70
9	28	90
9	29	70
9	30	70
9	31	90
9	32	0
9	33	70
9	34	90
9	35	70
9	36	90
9	37	70
9	38	70
9	39	50
9	40	70
10	1	100
10	2	70
10	3	70
10	4	130
10	5	60
10	6	0
10	7	70
10	8	90
10	9	70
10	10	100
10	11	90
10	12	0
10	13	110
10	14	90
10	15	50
10	16	70
10	17	70
10	18	0
10	19	110
10	20	110
10	21	90
10	22	80
10	23	90
10	24	70
10	25	90
10	26	50
10	27	100
10	28	90
10	29	90
10	30	90
10	31	120
10	32	50
10	33	30
10	34	50
10	35	70
10	36	110
10	37	110
10	38	100
10	39	50
10	40	90
11	1	80
11	2	50
11	3	0
11	4	90
11	5	60
11	6	50
11	7	70
11	8	70
11	9	90
11	10	60
11	11	90
11	12	60
11	13	70
11	14	80
11	15	50
11	16	80
11	17	50
11	18	50
11	19	70
11	20	110
11	21	70
11	22	60
11	23	50
11	24	90
11	25	90
11	26	50
11	27	60
11	28	70
11	29	70
11	30	90
11	31	120
11	32	10
11	33	80
11	34	100
11	35	60
11	36	70
11	37	80
11	38	60
11	39	70
11	40	80
12	1	120
12	2	70
12	3	0
12	4	90
12	5	60
12	6	50
12	7	50
12	8	90
12	9	110
12	10	80
12	11	110
12	12	60
12	13	70
12	14	100
12	15	50
12	16	60
12	17	50
12	18	50
12	19	70
12	20	90
12	21	90
12	22	60
12	23	70
12	24	70
12	25	50
12	26	50
12	27	100
12	28	50
12	29	110
12	30	50
12	31	80
12	32	10
12	33	60
12	34	100
12	35	80
12	36	70
12	37	80
12	38	80
12	39	70
12	40	120
13	1	100
13	2	70
13	3	40
13	4	70
13	5	80
13	6	70
13	7	70
13	8	110
13	9	90
13	10	80
13	11	90
13	12	50
13	13	90
13	14	110
13	15	70
13	16	50
13	17	70
13	18	50
13	19	70
13	20	70
13	21	90
13	22	80
13	23	90
13	24	70
13	25	50
13	26	70
13	27	100
13	28	90
13	29	90
13	30	50
13	31	80
13	32	20
13	33	80
13	34	80
13	35	90
13	36	90
13	37	70
13	38	80
13	39	70
13	40	70
14	1	100
14	2	90
14	3	70
14	4	110
14	5	80
14	6	0
14	7	70
14	8	110
14	9	70
14	10	100
14	11	90
14	12	0
14	13	90
14	14	110
14	15	50
14	16	50
14	17	70
14	18	0
14	19	90
14	20	90
14	21	90
14	22	80
14	23	90
14	24	90
14	25	70
14	26	70
14	27	120
14	28	90
14	29	90
14	30	70
14	31	100
14	32	70
14	33	30
14	34	50
14	35	90
14	36	130
14	37	90
14	38	100
14	39	50
14	40	90
15	1	70
15	2	50
15	3	0
15	4	90
15	5	50
15	6	50
15	7	70
15	8	70
15	9	70
15	10	50
15	11	50
15	12	50
15	13	70
15	14	70
15	15	50
15	16	50
15	17	50
15	18	50
15	19	50
15	20	90
15	21	50
15	22	50
15	23	50
15	24	70
15	25	70
15	26	50
15	27	70
15	28	70
15	29	70
15	30	70
15	31	70
15	32	0
15	33	70
15	34	90
15	35	70
15	36	70
15	37	50
15	38	50
15	39	50
15	40	70
16	1	100
16	2	70
16	3	40
16	4	90
16	5	60
16	6	70
16	7	70
16	8	90
16	9	70
16	10	120
16	11	90
16	12	80
16	13	90
16	14	100
16	15	70
16	16	60
16	17	90
16	18	70
16	19	90
16	20	70
16	21	90
16	22	100
16	23	110
16	24	50
16	25	50
16	26	50
16	27	100
16	28	90
16	29	110
16	30	50
16	31	80
16	32	10
16	33	80
16	34	100
16	35	80
16	36	90
16	37	100
16	38	120
16	39	50
16	40	120
17	1	60
17	2	60
17	3	60
17	4	60
17	5	60
17	6	10
17	7	50
17	8	80
17	9	70
17	10	60
17	11	70
17	12	10
17	13	60
17	14	80
17	15	60
17	16	60
17	17	50
17	18	0
17	19	60
17	20	80
17	21	60
17	22	60
17	23	60
17	24	70
17	25	60
17	26	50
17	27	60
17	28	60
17	29	70
17	30	60
17	31	80
17	32	60
17	33	10
17	34	30
17	35	60
17	36	60
17	37	60
17	38	60
17	39	50
17	40	80
18	1	80
18	2	70
18	3	70
18	4	90
18	5	60
18	6	0
