p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	0.24
2	1	1.00
2	2	1.00
2	3	0.44
3	1	1.00
3	2	0.16
4	1	1.00
4	2	1.00
4	3	0.44
5	1	1.00
5	2	0.75
6	1	1.00
6	2	1.00
6	3	1.00
6	4	0.83
7	1	1.00
7	2	1.00
7	3	0.99
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.48
9	1	1.00
9	2	1.00
9	3	0.68
10	1	1.00
10	2	0.16
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.99
12	1	1.00
12	2	0.17
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	0.73
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	1.00
14	9	1.00
14	10	1.00
14	11	0.02
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	1.00
15	8	1.00
15	9	0.31
16	1	1.00
16	2	0.69
17	1	1.00
17	2	0.38
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	0.38
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.19
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	1.00
20	7	0.13
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	0.97
22	1	1.00
22	2	1.00
22	3	0.46
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.14
24	1	1.00
24	2	1.00
24	3	0.01
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	1.00
25	7	1.00
25	8	1.00
25	9	0.77
26	1	1.00
26	2	0.33
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	1.00
27	7	0.33
28	1	1.00
28	2	1.00
28	3	0.03
29	1	1.00
29	2	1.00
29	3	1.00
29	4	0.36
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
