p	Fe	Ma
1	1	0
2	1	0
3	0	1
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	0	1
10	1	0
11	0	1
12	0	1
13	0	1
14	1	0
15	0	1
16	0	1
17	1	0
18	1	0
19	1	0
20	0	1
21	1	0
22	1	0
23	0	1
24	0	1
25	1	0
26	0	1
27	0	1
28	0	1
29	0	1
30	1	0
31	1	0
32	0	1
33	0	1
34	0	1
35	1	0
36	1	0
37	0	1
38	0	1
39	0	1
40	0	1
41	0	1
42	0	1
43	1	0
44	0	1
45	1	0
46	1	0
47	1	0
48	1	0
49	0	1
50	0	1
51	0	1
52	1	0
53	0	1
54	1	0
55	0	1
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	0	1
64	1	0
65	1	0
66	0	1
67	0	1
68	1	0
69	1	0
70	0	1
71	1	0
72	1	0
73	0	1
74	1	0
75	0	1
76	1	0
77	0	1
78	1	0
79	0	1
80	1	0
81	1	0
82	0	1
83	0	1
84	0	1
85	0	1
86	1	0
87	1	0
88	0	1
89	0	1
90	0	1
91	1	0
92	1	0
93	1	0
94	1	0
95	1	0
96	1	0
97	1	0
98	0	1
99	0	1
100	0	1
101	0	1
102	0	1
103	1	0
104	0	1
105	0	1
106	0	1
107	1	0
108	1	0
109	1	0
110	1	0
111	1	0
112	0	1
113	0	1
114	1	0
115	1	0
116	0	1
117	0	1
118	1	0
119	0	1
120	1	0
121	0	1
122	1	0
123	0	1
124	0	1
125	1	0
126	1	0
127	0	1
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	0	1
135	1	0
136	1	0
137	0	1
138	1	0
139	0	1
140	0	1
141	1	0
142	1	0
143	0	1
144	0	1
145	1	0
146	0	1
147	1	0
148	0	1
149	1	0
150	1	0
151	1	0
152	0	1
153	0	1
154	1	0
155	1	0
156	1	0
157	0	1
158	1	0
159	0	1
160	0	1
161	0	1
162	0	1
163	0	1
164	1	0
165	1	0
166	1	0
167	1	0
168	1	0
169	0	1
170	1	0
171	0	1
172	1	0
173	1	0
174	0	1
175	0	1
176	1	0
177	1	0
178	1	0
179	0	1
180	1	0
181	1	0
182	0	1
183	0	1
184	1	0
185	0	1
186	0	1
187	1	0
188	0	1
189	0	1
190	0	1
191	0	1
192	0	1
193	1	0
194	0	1
195	0	1
196	1	0
197	0	1
198	1	0
199	0	1
200	1	0
201	1	0
202	0	1
203	0	1
204	0	1
205	0	1
206	0	1
207	0	1
208	1	0
209	1	0
210	1	0
211	1	0
212	1	0
213	1	0
214	1	0
215	0	1
216	0	1
217	0	1
218	0	1
219	1	0
220	0	1
221	0	1
222	0	1
223	1	0
224	0	1
225	1	0
226	0	1
227	1	0
228	1	0
229	0	1
230	0	1
231	0	1
232	0	1
233	0	1
234	1	0
235	1	0
236	0	1
237	1	0
238	0	1
239	0	1
240	0	1
241	1	0
242	0	1
243	0	1
244	1	0
245	0	1
246	1	0
247	0	1
248	1	0
249	0	1
250	0	1
