p	L_p
1	2
2	5
3	2
4	2
5	5
6	1
7	3
8	3
9	5
10	2
11	1
12	1
13	5
14	8
15	8
16	3
17	3
18	2
19	7
20	2
21	1
22	7
23	3
24	3
25	3
26	1
27	3
28	8
29	2
30	4
31	3
32	6
33	1
34	2
35	10
36	5
37	6
38	1
39	3
40	9
41	3
42	7
43	1
44	6
45	2
46	1
47	3
48	8
49	2
50	7
51	2
52	7
53	2
54	1
55	1
56	2
57	2
58	3
59	2
60	2
61	1
62	6
63	3
64	3
65	1
66	3
67	3
68	5
69	4
70	8
71	2
72	2
73	4
74	1
75	2
76	2
77	3
78	2
79	3
80	5
81	7
82	5
83	4
84	5
85	8
86	1
87	5
88	6
89	3
90	1
91	4
92	2
93	2
94	1
95	10
96	3
97	5
98	6
99	2
100	7
101	4
102	1
103	2
104	6
105	3
106	10
107	5
108	2
109	4
110	4
111	10
112	2
113	5
114	3
115	2
116	7
117	9
118	7
119	9
120	1
121	5
122	2
123	1
124	8
125	2
126	3
127	3
128	2
129	7
130	1
131	2
132	1
133	3
134	2
135	1
136	1
137	2
138	7
139	4
140	7
141	4
142	5
143	6
144	5
145	3
146	3
147	3
148	1
149	6
150	3
151	2
152	3
153	6
154	2
155	2
156	1
157	4
158	3
159	4
160	8
161	5
162	8
163	3
164	3
165	1
166	7
167	5
168	1
169	4
170	2
171	6
172	4
173	3
174	3
175	8
176	1
177	2
178	5
179	3
180	2
181	5
182	2
183	6
184	8
185	9
186	3
187	4
188	3
189	2
190	4
191	4
192	3
193	3
194	2
195	3
196	2
197	1
198	1
199	2
200	2
201	2
202	2
203	2
204	3
205	3
206	7
207	1
208	4
209	3
210	3
211	3
212	1
213	2
214	5
215	8
216	3
217	1
218	4
219	3
220	1
221	4
222	1
223	5
224	3
225	5
226	1
227	2
228	2
229	1
230	4
231	3
232	3
233	4
234	1
235	7
236	8
237	4
238	1
239	10
240	6
241	2
242	1
243	1
244	2
245	5
246	7
247	2
248	3
249	8
250	8
