p	r	C_pr
1	1	80
1	2	70
1	3	80
1	4	80
1	5	100
1	6	70
1	7	80
1	8	50
2	1	90
2	2	90
2	3	100
2	4	50
2	5	90
2	6	90
2	7	100
2	8	70
3	1	60
3	2	50
3	3	60
3	4	70
3	5	70
3	6	50
3	7	60
3	8	50
4	1	50
4	2	50
4	3	80
4	4	50
4	5	50
4	6	50
4	7	80
4	8	50
5	1	80
5	2	70
5	3	80
5	4	80
5	5	100
5	6	70
5	7	80
5	8	50
6	1	50
6	2	50
6	3	80
6	4	70
6	5	70
6	6	50
6	7	80
6	8	50
7	1	80
7	2	70
7	3	100
7	4	60
7	5	100
7	6	70
7	7	100
7	8	50
8	1	70
8	2	70
8	3	80
8	4	50
8	5	70
8	6	70
8	7	80
8	8	70
9	1	60
9	2	50
9	3	80
9	4	80
9	5	80
9	6	50
9	7	80
9	8	50
10	1	60
10	2	50
10	3	60
10	4	70
10	5	70
10	6	50
10	7	60
10	8	50
11	1	90
11	2	90
11	3	100
11	4	50
11	5	90
11	6	90
11	7	100
11	8	70
12	1	50
12	2	50
12	3	80
12	4	50
12	5	70
12	6	50
12	7	80
12	8	50
13	1	80
13	2	70
13	3	100
13	4	60
13	5	100
13	6	70
13	7	100
13	8	70
14	1	70
14	2	70
14	3	100
14	4	50
14	5	90
14	6	70
14	7	100
14	8	70
15	1	70
15	2	70
15	3	90
15	4	50
15	5	90
15	6	70
15	7	90
15	8	70
16	1	70
16	2	70
16	3	80
16	4	70
16	5	70
16	6	70
16	7	80
16	8	50
17	1	80
17	2	70
17	3	80
17	4	80
17	5	100
17	6	70
17	7	80
17	8	50
18	1	90
18	2	90
18	3	100
18	4	50
18	5	110
18	6	90
18	7	100
18	8	70
19	1	80
19	2	70
19	3	80
19	4	70
19	5	90
19	6	70
19	7	80
19	8	50
20	1	70
20	2	70
20	3	90
20	4	50
20	5	70
20	6	70
20	7	90
20	8	50
21	1	80
21	2	70
21	3	100
21	4	50
21	5	70
21	6	70
21	7	100
21	8	70
22	1	50
22	2	50
22	3	60
22	4	70
22	5	50
22	6	50
22	7	60
22	8	50
23	1	80
23	2	70
23	3	80
23	4	60
23	5	80
23	6	70
23	7	80
23	8	50
24	1	70
24	2	70
24	3	70
24	4	70
24	5	90
24	6	70
24	7	70
24	8	50
25	1	60
25	2	50
25	3	60
25	4	50
25	5	70
25	6	50
25	7	60
25	8	50
26	1	70
26	2	70
26	3	90
26	4	70
26	5	70
26	6	70
26	7	90
26	8	50
27	1	90
27	2	90
27	3	90
27	4	50
27	5	110
27	6	90
27	7	90
27	8	70
28	1	70
28	2	70
28	3	80
28	4	50
28	5	90
28	6	70
28	7	80
28	8	70
29	1	80
29	2	70
29	3	100
29	4	50
29	5	70
29	6	70
29	7	100
29	8	50
30	1	60
30	2	50
30	3	60
30	4	80
30	5	80
30	6	50
30	7	60
30	8	50
31	1	70
31	2	70
31	3	100
31	4	50
31	5	70
31	6	70
31	7	100
31	8	70
32	1	80
32	2	70
32	3	80
32	4	80
32	5	100
32	6	70
32	7	80
32	8	50
33	1	70
33	2	70
33	3	90
33	4	50
33	5	70
33	6	70
33	7	90
33	8	50
34	1	80
34	2	70
34	3	80
34	4	60
34	5	80
34	6	70
34	7	80
34	8	50
35	1	60
35	2	50
35	3	80
35	4	60
35	5	60
35	6	50
35	7	80
35	8	50
36	1	50
36	2	50
36	3	60
36	4	70
36	5	70
36	6	50
36	7	60
36	8	50
37	1	80
37	2	70
37	3	100
37	4	70
37	5	90
37	6	70
37	7	100
37	8	50
38	1	80
38	2	70
38	3	80
38	4	70
38	5	70
38	6	70
38	7	80
38	8	50
39	1	50
39	2	50
39	3	70
39	4	70
39	5	70
39	6	50
39	7	70
39	8	50
40	1	50
40	2	50
40	3	50
40	4	70
40	5	70
40	6	50
40	7	50
40	8	50
41	1	50
41	2	50
41	3	60
41	4	70
41	5	70
41	6	50
41	7	60
41	8	50
42	1	50
42	2	50
42	3	60
42	4	70
42	5	50
42	6	50
42	7	60
42	8	50
43	1	80
43	2	70
43	3	100
43	4	50
43	5	70
43	6	70
43	7	100
43	8	70
44	1	60
44	2	50
44	3	80
44	4	60
44	5	80
44	6	50
44	7	80
44	8	50
45	1	60
45	2	50
45	3	60
45	4	80
45	5	60
45	6	50
45	7	60
45	8	50
46	1	70
46	2	70
46	3	90
46	4	50
46	5	90
46	6	70
46	7	90
46	8	50
47	1	60
47	2	50
47	3	60
47	4	60
47	5	80
47	6	50
47	7	60
47	8	50
48	1	60
48	2	50
48	3	60
48	4	80
48	5	80
48	6	50
48	7	60
48	8	50
49	1	80
49	2	70
49	3	80
49	4	50
49	5	90
49	6	70
49	7	80
49	8	70
50	1	70
50	2	70
50	3	100
50	4	50
50	5	90
50	6	70
50	7	100
50	8	70
51	1	80
51	2	70
51	3	100
51	4	50
51	5	90
51	6	70
51	7	100
51	8	70
52	1	80
52	2	70
52	3	100
52	4	80
52	5	100
52	6	70
52	7	100
52	8	50
53	1	70
53	2	70
53	3	90
53	4	50
53	5	90
53	6	70
53	7	90
53	8	50
54	1	70
54	2	70
54	3	100
54	4	50
54	5	90
54	6	70
54	7	100
54	8	50
