p	r	C_pr
1	1	100
1	2	70
1	3	60
1	4	50
1	5	50
1	6	0
1	7	0
1	8	90
2	1	90
2	2	70
2	3	50
2	4	50
2	5	50
2	6	0
2	7	20
2	8	90
3	1	70
3	2	70
3	3	50
3	4	50
3	5	70
3	6	0
3	7	20
3	8	90
4	1	100
4	2	40
4	3	30
4	4	70
4	5	50
4	6	70
4	7	90
4	8	70
5	1	100
5	2	20
5	3	10
5	4	50
5	5	70
5	6	50
5	7	70
5	8	110
6	1	120
6	2	40
6	3	30
6	4	70
6	5	50
6	6	70
6	7	110
6	8	90
7	1	60
7	2	60
7	3	60
7	4	50
7	5	60
7	6	0
7	7	10
7	8	60
8	1	70
8	2	50
8	3	50
8	4	50
8	5	50
8	6	0
8	7	40
8	8	70
9	1	80
9	2	60
9	3	60
9	4	60
9	5	80
9	6	0
9	7	30
9	8	100
10	1	120
10	2	50
10	3	30
10	4	70
10	5	60
10	6	70
10	7	120
10	8	100
11	1	70
11	2	20
11	3	20
11	4	70
11	5	50
11	6	70
11	7	90
11	8	50
12	1	80
12	2	0
12	3	10
12	4	50
12	5	50
12	6	50
12	7	70
12	8	70
13	1	80
13	2	30
13	3	10
13	4	60
13	5	60
13	6	50
13	7	60
13	8	80
14	1	80
14	2	0
14	3	10
14	4	50
14	5	70
14	6	50
14	7	70
14	8	90
15	1	100
15	2	70
15	3	60
15	4	50
15	5	50
15	6	0
15	7	20
15	8	90
16	1	80
16	2	80
16	3	60
16	4	60
16	5	80
16	6	0
16	7	50
16	8	100
17	1	100
17	2	70
17	3	60
17	4	50
17	5	70
17	6	0
17	7	40
17	8	110
18	1	120
18	2	100
18	3	80
18	4	70
18	5	60
18	6	20
18	7	50
18	8	100
19	1	100
19	2	50
19	3	30
19	4	80
19	5	60
19	6	70
19	7	100
19	8	80
20	1	80
20	2	60
20	3	60
20	4	60
20	5	80
20	6	0
20	7	50
20	8	100
21	1	90
21	2	70
21	3	70
21	4	70
21	5	50
21	6	20
21	7	60
21	8	70
22	1	90
22	2	70
22	3	50
22	4	50
22	5	50
22	6	0
22	7	40
22	8	90
23	1	80
23	2	0
23	3	10
23	4	50
23	5	50
23	6	50
23	7	90
23	8	70
24	1	120
24	2	90
24	3	80
24	4	70
24	5	50
24	6	20
24	7	60
24	8	90
25	1	80
25	2	10
25	3	10
25	4	50
25	5	80
25	6	50
25	7	100
25	8	100
26	1	80
26	2	10
26	3	10
26	4	50
26	5	60
26	6	50
26	7	100
26	8	80
27	1	80
27	2	10
27	3	10
27	4	60
27	5	60
27	6	50
27	7	60
27	8	80
28	1	80
28	2	80
28	3	80
28	4	80
28	5	60
28	6	20
28	7	70
28	8	60
29	1	100
29	2	50
29	3	30
29	4	70
29	5	60
29	6	70
29	7	80
29	8	80
30	1	110
30	2	90
30	3	70
30	4	70
30	5	50
30	6	20
30	7	40
30	8	90
31	1	80
31	2	0
31	3	10
31	4	50
31	5	50
31	6	50
31	7	90
31	8	70
32	1	80
32	2	10
32	3	10
32	4	60
32	5	80
32	6	50
32	7	60
32	8	100
33	1	100
33	2	90
33	3	80
33	4	70
33	5	50
33	6	20
33	7	40
33	8	70
34	1	90
34	2	20
34	3	0
34	4	50
34	5	50
34	6	50
34	7	70
34	8	90
35	1	100
35	2	70
35	3	60
35	4	50
35	5	70
35	6	0
35	7	20
35	8	110
36	1	100
36	2	30
36	3	10
36	4	50
36	5	80
36	6	50
36	7	80
36	8	120
37	1	80
37	2	70
37	3	60
37	4	50
37	5	50
37	6	0
37	7	0
37	8	70
38	1	100
38	2	100
38	3	80
38	4	80
38	5	60
38	6	20
38	7	30
38	8	80
39	1	80
39	2	30
39	3	10
39	4	60
39	5	60
39	6	50
39	7	100
39	8	80
40	1	80
40	2	80
40	3	60
40	4	50
40	5	80
40	6	0
40	7	30
40	8	100
41	1	100
41	2	20
41	3	10
41	4	50
41	5	50
41	6	50
41	7	90
41	8	90
42	1	70
42	2	0
42	3	0
42	4	50
42	5	50
42	6	50
42	7	50
42	8	70
43	1	100
43	2	70
43	3	60
43	4	50
43	5	70
43	6	0
43	7	20
43	8	110
44	1	80
44	2	70
44	3	60
44	4	50
44	5	50
44	6	0
44	7	40
44	8	70
45	1	80
45	2	80
45	3	60
45	4	60
45	5	60
45	6	0
45	7	50
45	8	80
46	1	80
46	2	20
46	3	10
46	4	50
46	5	50
46	6	50
46	7	90
46	8	70
47	1	100
47	2	20
47	3	10
47	4	50
47	5	50
47	6	50
47	7	90
47	8	90
48	1	60
48	2	60
48	3	60
48	4	50
48	5	80
48	6	0
48	7	50
48	8	80
49	1	100
49	2	70
49	3	60
49	4	50
49	5	70
49	6	0
49	7	20
49	8	110
50	1	120
50	2	90
50	3	80
50	4	70
50	5	50
50	6	20
50	7	60
50	8	90
51	1	80
51	2	80
51	3	60
51	4	50
51	5	60
51	6	0
51	7	10
51	8	80
52	1	70
52	2	70
52	3	70
52	4	70
52	5	50
52	6	20
52	7	40
52	8	50
53	1	60
53	2	10
53	3	10
53	4	60
53	5	80
53	6	50
53	7	100
53	8	80
54	1	120
54	2	50
54	3	30
54	4	80
54	5	60
54	6	70
54	7	100
54	8	100
55	1	100
55	2	30
55	3	10
55	4	60
55	5	80
55	6	50
55	7	80
55	8	120
56	1	80
56	2	60
56	3	60
56	4	60
56	5	80
56	6	0
56	7	50
56	8	100
57	1	100
57	2	70
57	3	60
57	4	50
57	5	50
57	6	0
57	7	20
57	8	90
58	1	80
58	2	80
58	3	80
58	4	70
58	5	60
58	6	20
58	7	50
58	8	60
59	1	80
59	2	20
