p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	10
5	0	0
6	10	10
7	23	23
8	13	13
9	4	14
10	13	13
11	2	2
12	18	18
13	23	23
14	6	6
15	7	7
16	25	25
17	24	24
18	4	4
19	19	21
20	1	17
21	12	22
22	12	12
23	19	24
24	0	0
25	6	6
26	13	13
27	4	4
28	4	17
29	5	23
30	9	11
31	22	22
32	5	21
33	11	11
34	0	17
35	16	27
36	5	12
37	18	18
38	10	12
39	22	23
40	8	26
41	15	15
42	18	22
43	21	21
44	25	25
45	2	2
46	8	8
47	11	11
48	15	15
49	18	18
50	3	3
51	20	20
52	16	16
53	7	7
54	4	4
55	17	20
56	27	27
57	22	22
58	16	16
59	13	13
60	9	9
61	10	14
62	22	22
63	1	1
64	13	16
65	9	9
66	16	16
67	7	7
68	18	18
69	5	5
70	0	13
71	26	26
72	23	23
73	27	27
74	3	3
75	9	26
76	10	10
77	4	4
78	8	8
79	5	5
80	6	6
81	0	0
82	12	12
83	12	19
84	9	9
85	24	24
86	22	22
87	20	20
88	27	27
89	17	18
90	3	4
91	15	15
92	7	9
93	24	24
94	11	24
95	7	7
96	0	0
97	11	11
98	19	19
99	27	27
100	18	18
