p	r	R_p
1	1	1
1	2	0
1	3	1
1	4	0
1	5	0
1	6	1
1	7	1
1	8	1
1	9	1
1	10	0
1	11	1
1	12	0
1	13	1
1	14	0
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	0
1	25	1
1	26	1
1	27	1
1	28	0
1	29	1
1	30	1
1	31	1
1	32	0
1	33	0
1	34	1
1	35	1
1	36	0
1	37	0
1	38	1
1	39	1
1	40	0
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	1
2	8	0
2	9	0
2	10	0
2	11	1
2	12	0
2	13	1
2	14	0
2	15	1
2	16	0
2	17	0
2	18	1
2	19	1
2	20	1
2	21	1
2	22	0
2	23	1
2	24	0
2	25	1
2	26	1
2	27	1
2	28	0
2	29	1
2	30	1
2	31	1
2	32	0
2	33	0
2	34	1
2	35	0
2	36	0
2	37	0
2	38	1
2	39	1
2	40	0
3	1	1
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	1
3	10	0
3	11	1
3	12	0
3	13	1
3	14	0
3	15	1
3	16	1
3	17	1
3	18	0
3	19	1
3	20	0
3	21	0
3	22	1
3	23	1
3	24	0
3	25	0
3	26	1
3	27	1
3	28	0
3	29	1
3	30	1
3	31	1
3	32	0
3	33	0
3	34	0
3	35	1
3	36	0
3	37	0
3	38	1
3	39	1
3	40	0
4	1	1
4	2	0
4	3	1
4	4	0
4	5	0
4	6	1
4	7	1
4	8	1
4	9	0
4	10	0
4	11	1
4	12	0
4	13	1
4	14	0
4	15	1
4	16	0
4	17	0
4	18	1
4	19	0
4	20	1
4	21	1
4	22	0
4	23	1
4	24	0
4	25	1
4	26	1
4	27	1
4	28	0
4	29	1
4	30	1
4	31	1
4	32	0
4	33	0
4	34	1
4	35	0
4	36	0
4	37	0
4	38	1
4	39	0
4	40	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	0
5	9	0
5	10	0
5	11	1
5	12	0
5	13	1
5	14	0
5	15	1
5	16	0
5	17	0
5	18	1
5	19	1
5	20	1
5	21	1
5	22	0
5	23	1
5	24	0
5	25	1
5	26	1
5	27	1
5	28	0
5	29	1
5	30	1
5	31	1
5	32	0
5	33	0
5	34	1
5	35	0
5	36	0
5	37	0
5	38	1
5	39	1
5	40	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	1
6	8	0
6	9	0
6	10	0
6	11	1
6	12	0
6	13	1
6	14	0
6	15	1
6	16	0
6	17	0
6	18	1
6	19	0
6	20	1
6	21	1
6	22	0
6	23	0
6	24	0
6	25	1
6	26	1
6	27	1
6	28	0
6	29	1
6	30	1
