p	L_p
1	5
2	1
3	2
4	3
5	1
6	2
7	3
8	1
9	4
10	2
11	4
12	2
13	1
14	3
15	2
16	3
17	2
18	2
19	3
20	4
21	1
22	3
23	3
24	4
25	3
26	2
27	2
28	5
29	3
30	2
31	3
32	3
33	1
34	3
35	10
36	1
37	8
38	1
39	10
40	3
41	3
42	3
43	3
44	7
45	6
46	4
47	3
48	7
49	2
50	2
51	4
52	1
53	5
54	4
55	1
56	5
57	1
58	2
59	9
60	3
61	2
62	4
63	1
64	2
65	2
66	2
67	2
68	1
69	7
70	3
71	4
72	4
73	3
74	6
75	3
76	2
77	4
78	2
79	7
80	7
81	4
82	1
83	9
84	3
85	6
86	8
87	3
88	2
89	4
90	2
91	6
92	6
93	2
94	3
95	1
96	7
97	6
98	8
99	3
100	1
101	2
102	8
103	7
104	8
105	10
106	10
107	1
108	8
109	8
110	8
111	8
112	5
113	2
114	2
115	1
116	4
117	5
118	3
119	1
120	3
121	2
122	2
123	2
124	2
125	7
126	9
127	6
128	8
129	2
130	3
131	1
132	3
133	6
134	9
135	3
136	6
137	5
138	4
139	3
140	5
141	2
142	1
143	7
144	1
145	9
146	6
147	2
148	9
149	5
150	3
151	10
152	4
153	4
154	10
155	3
156	3
157	2
158	3
159	5
160	3
161	8
162	2
163	6
164	7
165	8
166	1
167	3
168	5
169	1
170	2
171	4
172	5
173	5
174	5
175	7
176	2
177	3
178	2
179	3
180	3
181	4
182	3
183	6
184	5
185	7
186	2
187	4
188	10
189	3
190	2
191	3
192	5
193	3
194	3
195	4
196	2
197	4
198	2
199	1
200	3
201	9
202	2
203	3
204	3
205	8
206	8
207	5
208	2
209	3
210	2
211	9
212	2
213	1
214	1
215	7
216	6
217	2
218	2
219	4
220	1
221	3
222	2
223	2
224	2
225	2
226	4
227	3
228	2
229	1
230	2
231	7
232	2
233	4
234	1
235	3
236	4
237	1
238	6
239	2
240	6
241	4
242	3
243	1
244	2
245	6
246	3
247	2
248	3
249	8
250	3
251	1
252	1
253	3
254	2
255	3
256	4
257	7
258	9
259	6
260	4
261	3
262	7
263	3
264	9
265	5
266	2
267	3
268	4
269	1
270	2
271	8
272	4
273	8
274	3
275	3
276	2
277	10
278	4
279	5
280	3
281	3
282	2
283	6
284	1
285	6
286	5
287	7
288	1
289	3
290	4
291	7
292	10
293	2
294	6
295	3
296	4
297	2
298	10
299	1
300	1
301	3
302	2
303	3
304	2
305	10
306	3
307	5
308	10
309	9
310	3
311	2
312	3
313	5
314	8
315	3
316	2
317	2
318	3
319	8
320	5
321	7
322	1
323	4
324	7
325	6
326	2
327	2
328	2
329	3
330	4
331	2
332	5
333	6
334	6
335	2
336	2
337	3
338	2
339	4
340	3
341	9
342	2
343	10
344	5
345	7
346	9
347	1
348	3
349	2
350	1
351	4
352	9
353	2
354	6
355	2
356	1
357	6
358	3
359	2
360	5
361	2
362	8
363	9
364	2
365	2
366	2
367	10
368	8
369	9
370	4
371	2
372	1
373	2
374	1
375	1
376	3
377	3
378	2
379	9
380	10
381	8
382	6
383	6
384	1
385	3
386	8
387	2
388	7
389	9
390	8
391	6
392	3
393	3
394	2
395	4
396	5
397	5
398	5
399	3
400	3
401	4
402	2
403	8
404	4
405	8
406	7
407	1
408	4
409	2
410	4
411	2
412	5
413	1
414	4
415	5
416	8
417	3
418	8
419	1
420	8
421	5
422	9
423	2
424	6
425	4
426	2
427	3
428	1
429	2
430	4
431	2
432	3
433	3
434	5
435	1
436	2
437	6
438	3
439	7
440	5
441	3
442	5
443	3
444	7
445	2
446	2
447	6
448	2
449	10
450	4
451	2
452	2
453	7
454	6
455	7
456	1
457	4
458	8
459	2
460	3
461	2
462	8
463	4
464	2
465	8
466	7
467	2
468	9
469	2
470	2
471	3
472	4
473	3
474	1
475	1
476	1
477	4
478	1
479	4
480	6
481	5
482	6
483	8
484	2
485	3
486	1
487	3
488	1
489	4
490	1
491	3
492	2
493	3
494	2
495	1
496	1
497	4
498	1
499	2
500	4
