p	ad_min	ad_max
1	0	0
2	0	1
3	0	0
4	0	5
5	0	9
6	0	0
7	0	8
8	0	6
9	0	0
10	0	0
11	0	13
12	0	2
13	0	0
14	9	10
15	8	8
16	4	4
17	6	6
18	8	8
19	2	4
20	6	6
21	0	5
22	2	2
23	7	9
24	9	9
25	9	13
26	5	5
27	10	10
28	11	11
29	8	11
30	11	12
31	2	2
32	4	4
33	12	12
34	0	4
35	11	11
36	4	4
37	8	8
38	8	10
39	7	7
40	1	2
41	7	7
42	7	7
43	8	8
44	10	10
45	5	12
46	0	1
47	3	3
48	9	9
49	4	4
50	11	11
51	10	10
52	3	3
53	2	2
54	9	9
55	5	5
56	11	11
57	9	9
58	6	6
59	1	6
60	10	10
61	12	12
62	5	5
63	1	1
64	0	0
65	0	1
66	13	13
67	1	1
68	2	2
69	7	7
70	1	9
71	5	5
72	3	3
73	7	7
74	4	4
75	7	7
76	7	7
77	5	7
78	9	9
79	4	4
80	8	8
81	8	8
82	13	13
83	1	4
84	9	9
85	12	12
86	4	9
87	1	1
88	8	9
89	6	8
90	0	0
91	0	0
92	1	6
93	13	13
94	5	5
95	8	8
96	13	13
97	4	4
98	3	3
99	2	7
100	7	7
101	12	12
102	5	5
103	2	2
104	4	4
105	1	1
106	11	11
107	3	11
108	5	9
109	7	11
110	13	13
111	3	5
112	7	12
113	1	1
114	5	5
115	9	9
116	3	3
117	11	11
118	6	6
119	1	1
120	10	10
121	9	10
122	4	4
123	11	11
124	0	0
125	9	9
126	4	4
127	3	3
128	13	13
129	12	12
130	5	7
131	5	11
132	5	5
133	3	3
134	13	13
135	5	5
136	9	10
137	0	10
138	6	6
139	9	9
140	1	1
141	4	5
142	1	4
143	13	13
144	2	4
145	4	6
146	9	9
147	2	2
148	10	10
149	6	8
150	8	10
151	9	9
152	4	4
153	13	13
154	10	10
155	11	11
156	1	10
157	1	4
158	8	8
159	11	11
160	13	13
161	8	8
162	8	11
163	9	9
164	8	8
165	6	6
166	4	4
167	11	11
168	12	12
169	4	4
170	6	6
171	6	6
172	0	0
173	8	8
174	0	0
175	6	13
176	2	5
177	5	5
178	13	13
179	4	10
180	8	12
181	2	4
182	12	12
183	10	10
184	5	5
185	10	10
186	8	8
187	9	9
188	3	3
189	0	11
190	7	7
191	8	8
192	0	3
193	13	13
194	12	12
195	8	8
196	5	12
197	0	0
198	6	6
199	6	7
200	13	13
201	4	4
202	5	5
203	12	12
204	4	7
205	7	7
206	0	7
207	5	5
208	7	7
209	5	5
210	7	7
211	8	8
212	7	7
213	0	2
214	0	0
215	1	1
216	4	6
217	7	7
218	9	9
219	3	3
220	1	7
221	4	5
222	8	9
223	10	10
224	9	9
225	0	6
226	13	13
227	8	8
228	9	11
229	4	4
230	9	9
231	1	11
232	4	10
233	3	3
234	10	10
235	2	2
236	10	10
237	8	8
238	0	0
239	5	5
240	10	10
241	5	6
242	4	11
243	12	12
244	4	4
245	9	9
246	1	4
247	11	11
248	1	1
249	10	10
250	0	6
