p	Fe	Ma
1	0	1
2	0	1
3	1	0
4	1	0
5	0	1
6	1	0
7	1	0
8	1	0
9	0	1
10	1	0
11	0	1
12	0	1
13	1	0
14	0	1
15	1	0
16	1	0
17	1	0
18	1	0
19	0	1
20	1	0
21	1	0
22	1	0
23	0	1
24	0	1
25	0	1
26	0	1
27	1	0
28	0	1
29	1	0
30	0	1
31	1	0
32	0	1
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
38	1	0
39	1	0
40	0	1
41	0	1
42	0	1
43	1	0
44	0	1
45	1	0
46	0	1
47	1	0
48	0	1
49	1	0
50	0	1
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	0	1
61	0	1
62	0	1
63	0	1
64	0	1
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	0	1
71	0	1
72	1	0
73	0	1
74	0	1
75	1	0
76	1	0
77	1	0
78	1	0
79	0	1
80	0	1
81	0	1
82	1	0
83	1	0
84	0	1
85	0	1
86	0	1
87	0	1
88	1	0
89	1	0
90	1	0
91	1	0
92	1	0
93	0	1
94	0	1
95	0	1
96	0	1
97	0	1
98	0	1
99	1	0
100	1	0
101	0	1
102	0	1
103	1	0
104	1	0
105	0	1
106	0	1
107	0	1
108	0	1
109	0	1
110	1	0
111	0	1
112	1	0
113	0	1
114	0	1
115	1	0
116	1	0
117	0	1
118	1	0
119	1	0
120	1	0
121	0	1
122	0	1
123	0	1
124	0	1
125	1	0
126	1	0
127	1	0
128	0	1
129	1	0
130	0	1
131	0	1
132	1	0
133	0	1
134	0	1
135	1	0
136	0	1
137	0	1
138	0	1
139	0	1
140	0	1
141	1	0
142	1	0
143	1	0
144	0	1
145	0	1
146	1	0
147	1	0
148	1	0
149	1	0
150	1	0
151	0	1
152	1	0
153	0	1
154	1	0
155	0	1
156	0	1
157	0	1
158	0	1
159	1	0
160	1	0
161	1	0
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
167	1	0
168	0	1
169	1	0
170	1	0
171	0	1
172	0	1
173	0	1
174	0	1
175	1	0
176	0	1
177	0	1
178	0	1
179	1	0
180	0	1
181	0	1
182	1	0
183	1	0
184	1	0
185	1	0
186	1	0
187	1	0
188	1	0
189	0	1
190	0	1
191	0	1
192	1	0
193	0	1
194	1	0
195	0	1
196	1	0
197	1	0
198	0	1
199	0	1
200	1	0
