p	L_p
1	5
2	2
3	2
4	2
5	3
6	6
7	3
8	3
9	3
10	3
11	3
12	5
13	3
14	2
15	4
16	5
17	2
18	4
19	5
20	5
21	2
22	2
23	7
24	4
25	6
26	2
27	10
28	2
29	2
30	8
31	3
32	9
33	9
34	9
35	3
36	2
37	4
38	10
39	10
40	1
41	4
42	1
43	8
44	6
45	9
46	1
47	9
48	1
49	10
50	1
51	1
52	3
53	2
54	2
55	2
56	1
57	2
58	6
59	4
60	7
61	2
62	3
63	4
64	1
65	3
66	8
67	3
68	1
69	1
70	1
71	1
72	4
73	6
74	1
75	3
76	1
77	8
78	3
79	3
80	10
81	5
82	3
83	5
84	4
85	3
86	10
87	1
88	8
89	4
90	7
91	2
92	3
93	8
94	8
95	2
96	3
97	6
98	2
99	9
100	4
