p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.26
1	7	0.15
2	1	1.00
2	2	1.00
2	3	0.49
2	4	0.31
3	1	1.00
3	2	1.00
3	3	0.89
3	4	0.82
4	1	1.00
4	2	1.00
4	3	0.38
4	4	0.21
5	1	1.00
5	2	1.00
5	3	1.00
5	4	0.85
5	5	0.57
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	0.68
6	8	0.16
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.62
7	5	0.31
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.42
8	5	0.15
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.64
9	5	0.57
10	1	1.00
10	2	1.00
10	3	1.00
10	4	0.66
10	5	0.40
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.12
11	5	0.10
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	0.63
12	7	0.62
13	1	1.00
13	2	1.00
13	3	1.00
13	4	0.35
13	5	0.14
14	1	1.00
14	2	1.00
14	3	0.73
14	4	0.59
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	0.10
15	6	0.07
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.55
16	7	0.35
17	1	1.00
17	2	1.00
17	3	0.74
17	4	0.55
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	0.96
18	6	0.18
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	0.38
19	7	0.35
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	0.28
20	7	0.21
21	1	1.00
21	2	1.00
21	3	0.36
21	4	0.33
22	1	1.00
22	2	1.00
22	3	0.27
22	4	0.21
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	1.00
23	7	1.00
23	8	0.11
23	9	0.06
24	1	1.00
