p	r	C_pr
1	1	30
1	2	70
1	3	60
1	4	20
1	5	40
1	6	70
1	7	90
1	8	50
2	1	70
2	2	70
2	3	50
2	4	70
2	5	70
2	6	70
2	7	70
2	8	0
3	1	80
3	2	70
3	3	60
3	4	50
3	5	70
3	6	70
3	7	70
3	8	0
4	1	10
4	2	50
4	3	80
4	4	40
4	5	0
4	6	50
4	7	50
4	8	70
5	1	80
5	2	70
5	3	60
5	4	70
5	5	90
5	6	70
5	7	90
5	8	0
6	1	60
6	2	50
6	3	60
6	4	50
6	5	50
6	6	50
6	7	70
6	8	0
7	1	80
7	2	70
7	3	60
7	4	70
7	5	90
7	6	70
7	7	90
7	8	0
8	1	60
8	2	50
8	3	80
8	4	70
8	5	70
8	6	50
8	7	90
8	8	20
9	1	30
9	2	70
9	3	60
9	4	20
9	5	40
9	6	70
9	7	70
9	8	50
10	1	50
10	2	50
10	3	70
10	4	70
10	5	50
10	6	50
10	7	70
10	8	20
11	1	0
11	2	50
11	3	70
11	4	20
11	5	20
11	6	50
11	7	70
11	8	70
12	1	60
12	2	60
12	3	60
12	4	50
12	5	60
12	6	60
12	7	60
12	8	0
13	1	0
13	2	50
13	3	50
13	4	0
13	5	20
13	6	50
13	7	50
13	8	50
14	1	0
14	2	50
14	3	50
14	4	0
14	5	20
14	6	50
14	7	70
14	8	50
15	1	20
15	2	70
15	3	50
15	4	20
15	5	40
15	6	70
15	7	90
15	8	50
16	1	50
16	2	50
16	3	50
16	4	50
16	5	70
16	6	50
16	7	70
16	8	0
17	1	60
17	2	50
17	3	60
17	4	70
17	5	70
17	6	50
17	7	50
17	8	0
18	1	30
18	2	70
18	3	60
18	4	20
18	5	40
18	6	70
18	7	90
18	8	50
19	1	10
19	2	50
19	3	60
19	4	0
19	5	20
19	6	50
19	7	90
19	8	50
20	1	30
20	2	70
20	3	60
20	4	0
20	5	40
20	6	70
20	7	90
20	8	50
21	1	60
21	2	60
21	3	60
21	4	50
21	5	80
21	6	60
21	7	80
21	8	0
22	1	80
22	2	70
22	3	60
22	4	70
22	5	90
22	6	70
22	7	90
22	8	0
23	1	60
23	2	60
23	3	80
23	4	70
23	5	80
23	6	60
23	7	100
23	8	20
24	1	10
24	2	60
24	3	80
24	4	20
24	5	10
24	6	60
24	7	80
24	8	70
25	1	10
25	2	60
25	3	60
25	4	0
25	5	10
25	6	60
25	7	80
25	8	50
26	1	70
26	2	70
26	3	50
26	4	70
26	5	70
26	6	70
26	7	70
26	8	0
27	1	30
27	2	70
27	3	60
27	4	20
27	5	40
27	6	70
27	7	90
27	8	50
28	1	30
28	2	80
28	3	60
28	4	0
28	5	70
28	6	80
28	7	100
28	8	50
29	1	30
29	2	70
29	3	60
29	4	0
29	5	60
29	6	70
29	7	90
29	8	50
30	1	10
30	2	60
30	3	60
30	4	0
30	5	50
30	6	60
30	7	80
30	8	50
31	1	0
31	2	50
31	3	70
31	4	20
31	5	0
31	6	50
31	7	50
31	8	70
32	1	10
32	2	50
32	3	60
32	4	20
32	5	20
32	6	50
32	7	70
32	8	50
33	1	60
33	2	60
33	3	60
33	4	50
33	5	100
33	6	60
33	7	80
33	8	0
34	1	10
34	2	60
34	3	60
34	4	20
34	5	30
34	6	60
34	7	60
34	8	50
35	1	10
35	2	50
35	3	60
35	4	20
35	5	0
35	6	50
35	7	50
35	8	50
36	1	60
36	2	60
36	3	60
36	4	50
36	5	100
36	6	60
36	7	100
36	8	0
37	1	60
37	2	60
37	3	60
37	4	70
37	5	80
37	6	60
37	7	80
37	8	0
38	1	60
38	2	60
38	3	80
38	4	90
38	5	80
38	6	60
38	7	80
38	8	20
39	1	60
39	2	50
39	3	80
39	4	70
39	5	90
39	6	50
39	7	70
39	8	20
40	1	30
40	2	70
40	3	60
40	4	0
40	5	20
40	6	70
40	7	90
40	8	50
41	1	30
41	2	70
41	3	60
41	4	20
41	5	40
41	6	70
41	7	90
41	8	50
42	1	30
42	2	80
42	3	60
42	4	20
42	5	50
42	6	80
42	7	120
42	8	50
43	1	70
43	2	70
43	3	50
43	4	50
43	5	110
43	6	70
43	7	90
43	8	0
44	1	10
44	2	50
44	3	60
44	4	0
44	5	0
44	6	50
44	7	70
44	8	50
45	1	50
45	2	50
45	3	70
45	4	90
45	5	70
45	6	50
45	7	70
45	8	20
46	1	80
46	2	80
46	3	60
46	4	70
46	5	100
46	6	80
46	7	100
46	8	0
47	1	10
47	2	60
47	3	80
47	4	40
47	5	30
47	6	60
47	7	60
47	8	70
48	1	80
48	2	70
48	3	60
48	4	70
48	5	90
48	6	70
48	7	90
48	8	0
49	1	80
49	2	70
49	3	60
49	4	50
49	5	70
49	6	70
49	7	70
49	8	0
50	1	10
50	2	50
50	3	80
50	4	40
50	5	20
50	6	50
50	7	50
50	8	70
51	1	50
51	2	50
51	3	70
51	4	70
51	5	70
51	6	50
51	7	90
51	8	20
52	1	60
52	2	50
52	3	80
52	4	90
52	5	50
52	6	50
52	7	70
52	8	20
53	1	30
53	2	70
53	3	60
53	4	20
53	5	60
53	6	70
53	7	90
53	8	50
54	1	60
54	2	50
54	3	60
54	4	70
54	5	50
54	6	50
54	7	70
54	8	0
55	1	30
55	2	70
55	3	60
55	4	0
55	5	40
55	6	70
55	7	90
55	8	50
56	1	0
56	2	50
56	3	70
56	4	20
56	5	20
56	6	50
56	7	70
56	8	70
57	1	10
57	2	50
57	3	60
57	4	0
57	5	40
57	6	50
57	7	90
57	8	50
58	1	20
58	2	70
58	3	50
58	4	0
58	5	20
58	6	70
58	7	70
58	8	50
59	1	0
59	2	50
59	3	70
59	4	20
59	5	0
59	6	50
59	7	50
59	8	70
60	1	50
60	2	50
60	3	50
60	4	50
60	5	90
60	6	50
60	7	70
60	8	0
61	1	50
61	2	50
61	3	50
61	4	70
61	5	70
61	6	50
61	7	70
61	8	0
62	1	60
62	2	50
62	3	60
62	4	70
62	5	50
62	6	50
62	7	50
62	8	0
63	1	20
63	2	70
63	3	50
63	4	20
63	5	60
63	6	70
63	7	90
63	8	50
64	1	20
64	2	70
64	3	50
64	4	20
64	5	60
64	6	70
64	7	90
64	8	50
65	1	30
65	2	70
65	3	60
65	4	0
65	5	40
65	6	70
65	7	70
65	8	50
66	1	70
66	2	70
66	3	50
66	4	70
66	5	90
66	6	70
66	7	110
66	8	0
67	1	80
67	2	80
67	3	60
67	4	70
67	5	80
67	6	80
67	7	80
67	8	0
68	1	50
68	2	50
68	3	70
68	4	90
68	5	70
68	6	50
68	7	70
68	8	20
69	1	60
69	2	50
69	3	60
69	4	50
69	5	50
69	6	50
69	7	70
69	8	0
70	1	60
70	2	50
70	3	60
70	4	50
70	5	70
70	6	50
70	7	50
70	8	0
71	1	10
71	2	50
71	3	60
71	4	0
71	5	0
71	6	50
71	7	50
71	8	50
72	1	60
72	2	50
72	3	60
72	4	70
72	5	70
72	6	50
72	7	90
72	8	0
73	1	50
73	2	50
73	3	70
73	4	90
73	5	90
73	6	50
73	7	70
73	8	20
74	1	10
74	2	50
74	3	60
74	4	0
74	5	40
74	6	50
74	7	70
74	8	50
75	1	10
75	2	60
75	3	60
75	4	20
75	5	50
75	6	60
75	7	80
75	8	50
76	1	50
76	2	50
76	3	50
76	4	50
76	5	70
76	6	50
76	7	50
76	8	0
77	1	20
77	2	70
77	3	50
77	4	0
77	5	40
77	6	70
77	7	90
77	8	50
78	1	20
78	2	70
78	3	50
78	4	0
78	5	20
78	6	70
78	7	70
78	8	50
79	1	60
79	2	60
79	3	80
79	4	90
79	5	60
79	6	60
79	7	60
79	8	20
80	1	30
80	2	70
80	3	60
80	4	20
80	5	60
80	6	70
80	7	90
80	8	50
81	1	60
81	2	60
81	3	60
81	4	70
81	5	80
81	6	60
81	7	100
81	8	0
82	1	80
82	2	70
82	3	60
82	4	70
82	5	70
82	6	70
82	7	90
82	8	0
83	1	30
83	2	80
83	3	60
83	4	20
83	5	50
83	6	80
83	7	100
83	8	50
84	1	80
84	2	70
84	3	60
84	4	70
84	5	70
84	6	70
84	7	70
84	8	0
85	1	10
85	2	60
85	3	80
85	4	20
85	5	50
85	6	60
85	7	100
85	8	70
86	1	80
86	2	70
86	3	60
86	4	70
86	5	110
86	6	70
86	7	90
86	8	0
87	1	80
87	2	70
87	3	60
87	4	70
87	5	90
87	6	70
87	7	90
87	8	0
88	1	30
88	2	70
88	3	60
88	4	0
88	5	60
88	6	70
88	7	110
88	8	50
89	1	10
89	2	50
89	3	60
89	4	0
89	5	0
89	6	50
89	7	70
89	8	50
90	1	60
90	2	50
