p	r	C_pr
1	1	60
1	2	60
1	3	30
1	4	50
1	5	60
1	6	10
1	7	0
1	8	60
2	1	50
2	2	80
2	3	60
2	4	50
2	5	10
2	6	80
2	7	50
2	8	80
3	1	20
3	2	90
3	3	110
3	4	70
3	5	20
3	6	90
3	7	70
3	8	60
4	1	30
4	2	100
4	3	120
4	4	70
4	5	30
4	6	100
4	7	70
4	8	60
5	1	50
5	2	80
5	3	100
5	4	50
5	5	0
5	6	80
5	7	50
5	8	100
6	1	20
6	2	90
6	3	90
6	4	70
6	5	20
6	6	90
6	7	70
6	8	50
7	1	90
7	2	70
7	3	20
7	4	50
7	5	50
7	6	20
7	7	0
7	8	70
8	1	10
8	2	60
8	3	100
8	4	50
8	5	10
8	6	60
8	7	50
8	8	80
9	1	30
9	2	80
9	3	100
9	4	50
9	5	0
9	6	80
9	7	50
9	8	60
10	1	10
10	2	80
10	3	80
10	4	70
10	5	20
10	6	80
10	7	70
10	8	60
11	1	20
11	2	70
11	3	70
11	4	50
11	5	0
11	6	70
11	7	50
11	8	70
12	1	20
12	2	50
12	3	50
12	4	50
12	5	0
12	6	50
12	7	50
12	8	100
13	1	50
13	2	80
13	3	80
13	4	50
13	5	10
13	6	80
13	7	50
13	8	80
14	1	0
14	2	70
14	3	90
14	4	70
14	5	20
14	6	70
14	7	70
14	8	70
15	1	80
15	2	100
15	3	70
15	4	70
15	5	80
15	6	50
15	7	20
15	8	60
16	1	30
16	2	60
16	3	100
16	4	50
16	5	10
16	6	60
16	7	50
16	8	80
17	1	0
17	2	70
17	3	90
17	4	70
17	5	20
17	6	70
17	7	70
17	8	80
18	1	50
18	2	80
18	3	100
18	4	50
18	5	10
18	6	80
18	7	50
18	8	80
19	1	80
19	2	80
19	3	30
19	4	50
19	5	50
19	6	30
19	7	0
19	8	80
20	1	10
20	2	60
20	3	60
20	4	50
20	5	0
20	6	60
20	7	50
20	8	60
21	1	0
21	2	70
21	3	70
21	4	70
21	5	20
21	6	70
21	7	70
21	8	50
22	1	10
22	2	60
22	3	80
22	4	50
22	5	0
22	6	60
22	7	50
22	8	60
23	1	80
23	2	80
23	3	10
23	4	50
23	5	50
23	6	30
23	7	0
23	8	60
24	1	40
24	2	70
24	3	90
24	4	50
24	5	0
24	6	70
24	7	50
24	8	70
25	1	30
25	2	80
25	3	100
25	4	50
25	5	0
25	6	80
25	7	50
25	8	60
26	1	0
26	2	50
26	3	50
26	4	50
26	5	0
26	6	50
26	7	50
26	8	80
27	1	60
27	2	80
27	3	50
27	4	70
27	5	70
27	6	30
27	7	20
27	8	60
28	1	30
28	2	100
28	3	100
28	4	70
28	5	20
28	6	100
28	7	70
28	8	60
29	1	20
29	2	90
29	3	110
29	4	70
29	5	20
29	6	90
29	7	70
29	8	50
30	1	70
30	2	90
30	3	40
30	4	70
30	5	70
30	6	40
30	7	20
30	8	50
31	1	10
31	2	80
31	3	120
31	4	70
31	5	30
31	6	80
31	7	70
31	8	60
32	1	70
32	2	70
32	3	20
32	4	50
32	5	50
32	6	20
32	7	0
32	8	70
33	1	70
33	2	70
33	3	20
33	4	50
33	5	50
33	6	20
33	7	0
33	8	80
34	1	10
34	2	60
34	3	100
34	4	50
34	5	10
34	6	60
34	7	50
34	8	80
35	1	80
35	2	60
35	3	50
35	4	50
35	5	60
35	6	10
35	7	0
35	8	100
36	1	80
36	2	60
36	3	10
36	4	50
36	5	50
36	6	10
36	7	0
36	8	80
37	1	50
37	2	50
37	3	20
37	4	50
37	5	50
37	6	0
37	7	0
37	8	60
38	1	80
38	2	80
38	3	30
38	4	50
38	5	60
38	6	30
38	7	0
38	8	80
39	1	50
39	2	50
39	3	20
39	4	50
39	5	50
39	6	0
39	7	0
39	8	60
40	1	50
40	2	50
40	3	20
40	4	50
40	5	50
40	6	0
40	7	0
40	8	70
41	1	70
41	2	50
41	3	20
41	4	50
41	5	50
41	6	0
41	7	0
41	8	80
42	1	30
42	2	80
42	3	60
42	4	50
42	5	10
42	6	80
42	7	50
42	8	60
43	1	10
43	2	80
43	3	80
43	4	70
43	5	20
43	6	80
43	7	70
43	8	80
44	1	50
44	2	70
44	3	20
44	4	70
44	5	70
44	6	20
44	7	20
44	8	70
45	1	70
45	2	50
45	3	40
45	4	50
45	5	50
45	6	0
45	7	0
45	8	70
46	1	90
46	2	70
46	3	40
46	4	50
46	5	50
46	6	20
46	7	0
46	8	90
47	1	50
47	2	50
47	3	20
47	4	50
47	5	50
47	6	0
47	7	0
47	8	80
48	1	70
48	2	90
48	3	60
48	4	70
48	5	70
48	6	40
48	7	20
48	8	60
49	1	40
49	2	70
49	3	70
49	4	50
49	5	0
49	6	70
49	7	50
49	8	90
50	1	60
50	2	60
50	3	30
50	4	50
50	5	50
50	6	10
50	7	0
50	8	80
