p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
3	1	0
3	2	1
3	3	1
3	4	1
3	5	1
3	6	1
3	7	1
3	8	0
4	1	0
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	0
5	1	0
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	0
6	1	0
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	0
7	1	0
7	2	1
7	3	1
7	4	1
7	5	1
7	6	1
7	7	1
7	8	0
8	1	0
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	0
9	1	0
9	2	1
9	3	1
9	4	1
9	5	1
9	6	1
9	7	1
9	8	0
10	1	0
10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
10	8	0
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	1
12	1	0
12	2	1
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	0
13	1	0
13	2	1
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	0
14	1	0
14	2	1
14	3	1
14	4	1
14	5	1
14	6	1
14	7	1
14	8	0
15	1	0
15	2	1
15	3	1
15	4	1
15	5	1
15	6	1
15	7	1
15	8	0
16	1	0
16	2	1
16	3	1
16	4	1
16	5	1
16	6	1
16	7	1
16	8	0
17	1	1
17	2	1
17	3	1
17	4	1
17	5	1
17	6	1
17	7	1
17	8	1
18	1	0
18	2	1
18	3	1
18	4	1
18	5	1
18	6	1
18	7	1
18	8	0
19	1	1
19	2	1
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	1
20	1	0
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	8	0
21	1	0
21	2	1
21	3	1
21	4	1
21	5	1
21	6	1
21	7	1
21	8	0
22	1	0
22	2	0
22	3	1
22	4	1
22	5	1
22	6	0
22	7	1
22	8	0
23	1	0
23	2	1
23	3	1
23	4	1
23	5	1
23	6	1
23	7	1
23	8	0
24	1	0
24	2	1
24	3	1
24	4	1
24	5	1
24	6	1
24	7	1
24	8	0
25	1	0
25	2	1
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	0
26	1	0
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	0
27	1	0
27	2	1
27	3	1
27	4	1
27	5	1
27	6	1
27	7	1
27	8	0
28	1	0
28	2	1
28	3	1
28	4	1
28	5	1
28	6	1
28	7	1
28	8	0
29	1	0
29	2	1
29	3	1
29	4	1
29	5	1
29	6	1
29	7	1
29	8	0
30	1	1
30	2	1
30	3	1
30	4	1
30	5	1
30	6	1
30	7	1
30	8	1
31	1	0
31	2	1
31	3	1
31	4	1
31	5	1
31	6	1
31	7	1
31	8	0
32	1	0
32	2	1
32	3	1
32	4	1
32	5	1
32	6	1
32	7	1
32	8	0
33	1	1
33	2	1
33	3	1
33	4	1
33	5	1
33	6	1
33	7	1
33	8	1
34	1	0
34	2	1
34	3	1
34	4	1
34	5	1
34	6	1
34	7	1
34	8	0
35	1	0
35	2	1
35	3	1
35	4	1
35	5	1
35	6	1
35	7	1
35	8	0
36	1	0
36	2	1
36	3	0
36	4	1
36	5	1
36	6	1
36	7	1
36	8	0
37	1	0
37	2	0
37	3	1
37	4	1
37	5	1
37	6	0
37	7	1
37	8	0
38	1	1
38	2	1
38	3	1
38	4	1
38	5	1
38	6	1
38	7	1
38	8	1
39	1	0
39	2	1
39	3	1
39	4	1
39	5	1
39	6	1
39	7	1
39	8	0
40	1	1
40	2	1
40	3	1
40	4	1
40	5	1
40	6	1
40	7	1
40	8	1
41	1	0
41	2	1
41	3	1
41	4	1
41	5	1
41	6	1
41	7	1
41	8	0
42	1	0
42	2	1
42	3	1
42	4	1
42	5	1
42	6	1
42	7	1
42	8	0
43	1	0
43	2	1
43	3	0
43	4	1
43	5	1
43	6	1
43	7	1
43	8	0
44	1	0
44	2	1
44	3	0
44	4	1
44	5	1
44	6	1
44	7	1
44	8	0
45	1	0
45	2	0
45	3	1
45	4	1
45	5	1
45	6	0
45	7	1
45	8	0
46	1	1
46	2	1
46	3	1
46	4	1
46	5	1
46	6	1
46	7	1
46	8	1
47	1	0
47	2	1
47	3	1
47	4	1
47	5	1
47	6	1
47	7	1
47	8	0
48	1	0
48	2	1
48	3	1
48	4	1
48	5	1
48	6	1
48	7	1
48	8	0
49	1	0
49	2	1
49	3	1
49	4	1
49	5	1
49	6	1
49	7	1
49	8	0
50	1	0
50	2	0
50	3	1
50	4	1
50	5	1
50	6	0
50	7	1
50	8	0
