p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	0.97
1	5	0.83
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.93
2	6	0.08
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	1.00
3	6	1.00
3	7	1.00
3	8	1.00
3	9	1.00
3	10	0.70
3	11	0.48
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	1.00
4	7	1.00
4	8	0.05
4	9	0.01
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	0.28
5	6	0.05
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	1.00
6	8	1.00
6	9	1.00
6	10	0.51
6	11	0.30
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	0.16
7	6	0.09
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	1.00
8	7	1.00
8	8	1.00
8	9	1.00
8	10	0.75
8	11	0.21
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.26
9	5	0.04
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.18
10	6	0.15
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.90
11	5	0.35
12	1	1.00
12	2	1.00
12	3	0.01
12	4	0.00
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.75
13	7	0.06
14	1	1.00
14	2	1.00
14	3	0.70
14	4	0.43
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.64
15	5	0.22
16	1	1.00
16	2	1.00
16	3	0.19
16	4	0.09
17	1	1.00
17	2	1.00
17	3	1.00
17	4	0.16
17	5	0.12
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	1.00
18	8	0.65
18	9	0.04
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.57
19	8	0.03
20	1	1.00
20	2	1.00
20	3	0.67
20	4	0.10
21	1	1.00
21	2	1.00
21	3	0.31
21	4	0.23
22	1	1.00
22	2	1.00
22	3	0.59
22	4	0.31
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.86
23	5	0.38
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	1.00
24	10	0.52
24	11	0.42
25	1	1.00
25	2	1.00
25	3	0.05
25	4	0.02
26	1	1.00
26	2	1.00
26	3	0.60
26	4	0.14
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.78
27	5	0.45
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.22
28	7	0.10
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	1.00
29	7	1.00
29	8	1.00
29	9	0.28
29	10	0.24
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.70
30	5	0.64
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	1.00
31	6	1.00
31	7	0.57
31	8	0.18
32	1	1.00
32	2	1.00
32	3	0.81
32	4	0.29
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	0.35
33	6	0.17
34	1	1.00
34	2	1.00
34	3	1.00
34	4	1.00
34	5	1.00
34	6	1.00
34	7	0.03
34	8	0.01
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
35	7	0.64
35	8	0.26
36	1	1.00
36	2	1.00
36	3	1.00
36	4	1.00
36	5	1.00
36	6	1.00
36	7	1.00
36	8	1.00
36	9	0.00
36	10	0.00
37	1	1.00
37	2	1.00
37	3	1.00
37	4	0.82
37	5	0.15
38	1	1.00
38	2	0.22
38	3	0.21
39	1	1.00
39	2	1.00
39	3	1.00
39	4	0.79
39	5	0.13
40	1	1.00
40	2	1.00
40	3	1.00
40	4	1.00
40	5	1.00
40	6	1.00
40	7	0.53
40	8	0.05
41	1	1.00
41	2	1.00
41	3	0.58
41	4	0.01
42	1	1.00
42	2	1.00
42	3	1.00
42	4	0.32
42	5	0.12
43	1	1.00
43	2	1.00
43	3	1.00
43	4	1.00
43	5	0.87
43	6	0.70
44	1	1.00
44	2	0.71
44	3	0.66
45	1	1.00
45	2	1.00
45	3	1.00
45	4	0.12
45	5	0.11
46	1	1.00
46	2	0.16
46	3	0.07
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	1.00
47	6	1.00
47	7	1.00
47	8	1.00
47	9	0.20
47	10	0.00
48	1	1.00
48	2	1.00
48	3	1.00
48	4	1.00
48	5	0.88
48	6	0.75
49	1	1.00
49	2	1.00
49	3	0.60
49	4	0.08
50	1	1.00
50	2	0.22
50	3	0.07
