p	d	Pr(p,d)
1	1	1.00
1	2	0.65
1	3	0.51
1	4	0.41
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.25
2	7	0.21
2	8	0.19
3	1	1.00
3	2	1.00
3	3	1.00
3	4	0.41
3	5	0.34
3	6	0.28
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.34
4	5	0.29
4	6	0.25
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	0.34
5	6	0.28
5	7	0.24
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	1.00
6	8	1.00
6	9	1.00
6	10	1.00
6	11	1.00
6	12	1.00
6	13	0.27
6	14	0.25
6	15	0.24
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	1.00
7	7	1.00
7	8	1.00
7	9	1.00
7	10	1.00
7	11	1.00
7	12	1.00
7	13	1.00
7	14	1.00
7	15	0.24
7	16	0.22
7	17	0.21
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	0.28
8	7	0.24
8	8	0.20
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	1.00
9	7	0.24
9	8	0.20
9	9	0.18
10	1	1.00
10	2	1.00
10	3	0.51
10	4	0.41
10	5	0.34
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	1.00
11	7	0.31
11	8	0.26
11	9	0.22
12	1	1.00
12	2	0.65
12	3	0.51
12	4	0.41
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.25
13	7	0.21
13	8	0.19
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	1.00
14	9	1.00
14	10	1.00
14	11	1.00
14	12	1.00
14	13	1.00
14	14	1.00
14	15	1.00
14	16	1.00
14	17	0.33
14	18	0.31
14	19	0.28
15	1	1.00
15	2	1.00
15	3	0.42
15	4	0.34
15	5	0.29
16	1	1.00
16	2	1.00
16	3	0.42
16	4	0.34
16	5	0.29
17	1	1.00
17	2	0.65
17	3	0.51
17	4	0.41
18	1	1.00
18	2	1.00
18	3	1.00
18	4	0.41
18	5	0.34
18	6	0.28
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	1.00
19	9	0.22
19	10	0.19
19	11	0.16
20	1	1.00
20	2	1.00
20	3	0.51
20	4	0.41
20	5	0.34
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	0.34
21	6	0.28
21	7	0.24
22	1	1.00
22	2	0.65
22	3	0.51
22	4	0.41
23	1	1.00
23	2	0.65
23	3	0.51
23	4	0.41
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	1.00
24	10	1.00
24	11	1.00
24	12	1.00
24	13	0.47
24	14	0.43
24	15	0.39
25	1	1.00
25	2	1.00
25	3	0.51
25	4	0.41
25	5	0.34
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.13
26	5	0.11
26	6	0.09
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.41
27	5	0.34
27	6	0.28
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	0.34
28	6	0.28
28	7	0.24
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	0.28
29	7	0.24
29	8	0.20
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	1.00
30	7	0.21
30	8	0.19
30	9	0.17
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	1.00
31	6	1.00
31	7	1.00
31	8	1.00
31	9	1.00
31	10	1.00
31	11	1.00
31	12	1.00
31	13	1.00
31	14	1.00
31	15	1.00
31	16	0.36
31	17	0.33
31	18	0.31
32	1	1.00
32	2	1.00
32	3	1.00
32	4	0.64
32	5	0.57
32	6	0.51
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	0.45
33	6	0.37
33	7	0.31
34	1	1.00
34	2	1.00
34	3	0.51
34	4	0.41
34	5	0.34
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	0.29
35	6	0.25
35	7	0.21
36	1	1.00
36	2	1.00
36	3	1.00
