p	Regist_p
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	14
33	17
34	5
35	16
36	3
37	4
38	14
39	1
40	11
41	0
42	6
43	19
44	0
45	12
46	10
47	1
48	0
49	11
50	5
51	5
52	26
53	1
54	10
55	16
56	13
57	1
58	4
59	1
60	2
61	14
62	2
63	3
64	8
65	4
66	6
67	0
68	12
69	22
70	5
71	6
72	9
73	17
74	0
75	4
76	1
77	9
78	3
79	13
80	2
81	10
82	3
83	1
84	0
85	5
86	8
87	1
88	10
89	0
90	21
91	0
92	5
93	16
94	9
95	1
96	11
97	0
98	4
99	2
100	15
101	9
102	1
103	6
104	7
105	22
106	12
107	11
108	10
109	7
110	8
111	12
112	10
113	13
114	0
115	8
116	7
117	1
118	0
119	10
120	5
121	22
122	0
123	0
124	3
125	9
126	2
127	0
128	3
129	12
130	0
131	9
132	21
133	10
134	0
135	10
136	11
137	2
138	0
139	7
140	3
141	0
142	18
143	0
144	17
145	20
146	4
147	7
148	9
149	26
150	15
151	8
152	6
153	4
154	6
155	18
156	4
157	4
158	0
159	18
160	0
161	0
162	17
163	8
164	0
165	0
166	12
167	8
168	16
169	8
170	19
171	5
172	21
173	2
174	13
175	14
176	3
177	0
178	0
179	22
180	3
181	2
182	7
183	5
184	2
185	16
186	8
187	6
188	0
189	4
190	13
191	15
192	2
193	5
194	2
195	2
196	22
197	0
198	10
199	14
200	0
201	9
202	24
203	1
204	21
205	8
206	0
207	1
208	5
209	3
210	6
211	13
212	6
213	0
214	9
215	6
216	27
217	0
218	18
219	2
220	1
221	3
222	10
223	4
224	5
225	0
226	9
227	17
228	15
229	11
230	0
231	5
232	1
233	14
234	2
235	13
236	8
237	9
238	7
239	11
240	17
241	2
242	5
243	5
244	7
245	5
246	4
247	15
248	9
249	7
250	2
251	4
252	7
253	4
254	0
255	1
256	2
257	2
258	0
259	19
260	3
261	1
262	1
263	0
264	0
265	4
266	16
267	6
268	10
269	1
270	10
271	3
272	0
273	0
274	2
275	14
276	4
277	0
278	2
279	1
280	3
281	2
282	9
283	0
284	3
285	19
286	3
287	12
288	7
289	0
290	2
291	20
292	9
293	10
294	9
295	0
296	2
297	21
298	1
299	2
300	21
301	26
302	1
303	7
304	0
305	0
306	17
307	13
308	5
309	3
310	1
311	0
312	8
313	4
314	25
315	4
316	17
317	0
318	8
319	1
320	2
321	2
322	2
323	22
324	14
325	10
326	13
327	2
328	6
329	0
330	3
331	4
332	24
333	5
334	7
335	8
336	4
337	10
338	2
339	5
340	17
341	0
342	1
343	11
344	2
345	4
346	15
347	12
348	3
349	9
350	19
351	17
352	10
353	3
354	8
355	24
356	2
357	0
358	19
359	3
360	1
361	13
362	10
363	2
364	1
365	5
366	11
367	2
368	1
369	12
370	0
371	1
372	2
373	19
374	13
375	7
376	2
377	6
378	1
379	8
380	12
381	2
382	0
383	12
384	10
385	16
386	0
387	9
388	3
389	14
390	18
391	4
392	0
393	4
394	4
395	14
396	5
397	0
398	6
399	5
400	0
401	3
402	4
403	0
404	0
405	14
406	7
407	16
408	9
409	0
410	0
411	18
412	18
413	18
414	7
415	1
416	3
417	0
418	19
419	4
420	5
421	1
422	2
423	0
424	0
425	19
426	18
427	0
428	22
429	0
430	3
431	10
432	9
433	7
434	7
435	26
436	2
437	1
438	0
439	3
440	19
441	4
442	1
443	1
444	0
445	11
446	0
447	8
448	11
449	5
450	20
451	18
452	13
453	6
454	3
455	6
456	9
457	3
458	12
459	8
460	5
461	11
462	0
463	2
464	7
465	1
466	1
467	1
468	17
469	0
470	0
471	13
472	13
473	4
474	7
475	5
476	24
477	12
478	1
479	1
480	4
481	16
482	12
483	3
484	4
485	17
486	0
487	6
488	2
489	9
490	5
491	0
492	4
493	13
494	13
495	3
496	23
497	10
498	6
499	0
500	20
501	3
502	3
503	8
504	25
505	15
506	0
507	7
508	0
509	3
510	12
511	11
512	1
513	4
514	0
515	5
516	14
517	8
518	26
519	2
520	7
521	6
522	4
523	0
524	5
525	20
526	5
527	0
528	11
529	4
530	8
531	0
532	20
533	24
534	17
535	9
536	9
537	5
538	9
539	0
540	23
541	27
542	7
543	4
544	17
545	10
546	18
547	6
548	14
549	2
550	18
551	6
552	6
553	0
554	0
555	4
556	9
557	6
558	19
559	8
560	9
561	11
562	20
563	12
564	18
565	8
566	5
567	1
568	5
569	14
570	13
571	1
572	4
573	3
574	8
575	2
576	0
577	1
578	6
579	0
580	17
581	14
582	9
583	0
584	3
585	5
586	3
587	5
588	1
589	0
590	26
591	6
592	5
593	0
594	7
595	4
596	14
597	9
598	3
599	3
600	15
601	3
602	16
603	22
604	0
605	5
606	13
607	20
608	3
609	5
610	6
611	26
612	4
613	19
614	13
615	5
616	6
617	15
618	0
619	11
620	3
621	11
622	1
623	7
624	2
