p	Fe	Ma
1	1	0
2	1	0
3	0	1
4	0	1
5	1	0
6	0	1
7	0	1
8	0	1
9	1	0
10	0	1
11	1	0
12	0	1
13	1	0
14	0	1
15	1	0
16	1	0
17	1	0
18	1	0
19	0	1
20	1	0
21	0	1
22	1	0
23	1	0
24	0	1
25	1	0
26	1	0
27	1	0
28	0	1
29	0	1
30	0	1
31	0	1
32	1	0
33	1	0
34	0	1
35	0	1
36	0	1
37	0	1
38	0	1
39	0	1
40	0	1
41	0	1
42	1	0
43	0	1
44	1	0
45	0	1
46	1	0
47	0	1
48	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	1	0
54	0	1
55	1	0
56	0	1
57	1	0
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
63	0	1
64	0	1
65	1	0
66	1	0
67	1	0
68	0	1
69	1	0
70	0	1
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	1	0
83	0	1
84	0	1
85	0	1
86	1	0
87	0	1
88	0	1
89	1	0
90	1	0
91	1	0
92	1	0
93	1	0
94	0	1
95	0	1
96	1	0
97	1	0
98	0	1
99	1	0
100	1	0
