p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	33
5	0	0
6	0	7
7	0	35
8	0	41
9	0	17
10	0	53
11	0	0
12	0	0
13	0	1
14	0	0
15	0	39
16	0	14
17	0	38
18	0	40
19	0	0
20	0	14
21	0	18
22	0	0
23	0	33
24	0	13
25	0	0
26	0	22
27	0	0
28	0	20
29	0	0
30	0	23
31	0	45
32	0	28
33	0	0
34	0	0
35	0	0
36	0	11
37	0	0
38	0	11
39	0	49
40	0	0
41	0	0
42	0	15
43	0	0
44	0	23
45	0	30
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	20	20
52	3	3
53	14	14
54	1	51
55	39	39
56	46	46
57	9	28
58	28	32
59	45	45
60	0	0
61	4	16
62	6	36
63	46	51
64	36	36
65	20	20
66	12	25
67	19	35
68	33	33
69	4	15
70	42	42
71	4	4
72	29	29
73	38	43
74	10	52
75	42	42
76	46	46
77	17	17
78	31	31
79	4	4
80	19	19
81	3	3
82	14	14
83	45	45
84	3	3
85	55	55
86	16	40
87	26	27
88	36	36
89	50	50
90	16	16
91	52	52
92	7	42
93	51	51
94	38	44
95	21	21
96	42	53
97	52	53
98	17	17
99	25	25
100	13	13
101	29	29
102	5	8
103	24	24
104	3	26
105	32	32
106	39	39
107	6	10
108	14	14
109	37	44
110	43	48
111	24	24
112	44	46
113	55	55
114	34	43
115	45	45
116	55	55
117	52	52
118	23	23
119	20	34
120	9	9
121	2	2
122	51	51
123	9	45
124	7	7
125	13	13
126	5	24
127	3	35
128	29	29
129	35	35
130	23	23
131	30	34
132	5	9
133	2	2
134	54	54
135	6	6
136	0	0
137	40	40
138	26	26
139	35	35
140	6	37
141	38	38
142	34	38
143	37	37
144	6	6
145	48	48
146	41	41
147	37	37
148	0	36
149	48	48
150	48	48
151	49	49
152	34	50
153	46	49
154	38	38
155	33	33
156	17	17
157	32	32
158	47	47
159	33	33
160	37	37
161	49	49
162	23	33
163	15	22
164	36	36
165	40	40
166	44	44
167	19	29
168	0	0
169	0	18
170	45	45
171	33	38
172	1	1
173	49	49
174	9	9
175	37	37
176	45	48
177	19	19
178	20	48
179	31	31
180	3	3
181	32	32
182	3	3
183	24	49
184	0	0
185	39	42
186	3	3
187	5	22
188	22	40
189	52	53
190	44	44
191	22	22
192	28	43
193	50	50
194	54	54
195	54	54
196	47	47
197	46	46
198	38	38
199	36	36
200	32	32
201	0	2
202	8	8
203	22	22
204	2	25
205	49	50
206	9	9
207	32	39
208	17	29
209	26	37
210	23	23
211	13	13
212	41	41
213	41	41
214	54	54
215	11	39
216	9	47
217	35	35
218	12	12
219	26	26
220	10	10
221	15	15
222	49	49
223	25	25
224	22	22
225	54	54
226	47	49
227	47	47
228	15	15
229	23	37
230	35	35
231	53	53
232	47	50
233	20	20
234	31	41
235	52	52
236	15	15
237	40	40
238	22	22
239	48	48
240	5	21
241	41	50
242	37	37
243	13	13
244	3	17
245	18	18
246	24	46
