p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	48
5	0	0
6	0	0
7	0	23
8	0	32
9	0	0
10	0	10
11	0	1
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	3
18	0	0
19	0	0
20	0	0
21	0	0
22	0	37
23	0	0
24	0	31
25	0	0
26	0	0
27	0	25
28	0	37
29	0	0
30	0	0
31	0	0
32	0	8
33	0	0
34	0	0
35	0	54
36	0	0
37	0	0
38	0	0
39	0	43
40	0	10
41	0	0
42	0	0
43	0	52
44	0	0
45	0	46
46	0	19
47	0	36
48	0	41
49	0	29
50	0	0
51	1	46
52	2	2
53	14	14
54	21	24
55	43	43
56	4	4
57	14	14
58	33	33
59	30	30
60	45	45
61	22	22
62	33	33
63	22	22
64	49	49
65	15	55
66	8	14
67	42	48
68	42	42
69	45	45
70	20	53
71	28	36
72	25	53
73	30	45
74	19	19
75	44	45
76	30	37
77	8	15
78	27	33
79	50	50
80	6	6
81	16	37
82	55	55
83	38	38
84	20	20
85	38	38
86	11	11
87	18	33
88	2	2
89	42	44
90	35	36
91	5	5
92	7	48
93	8	31
94	9	9
95	27	38
96	54	54
97	8	8
98	43	43
99	17	17
100	25	25
101	15	41
102	27	27
103	6	6
104	14	33
105	29	29
106	2	46
107	18	23
108	3	3
109	1	1
110	5	5
111	34	34
112	2	33
113	27	27
114	39	39
115	28	28
116	48	48
117	54	54
118	2	2
119	6	10
120	51	52
121	0	0
122	15	15
123	54	54
124	16	49
125	21	21
126	52	53
127	35	35
128	5	30
129	24	48
130	43	43
131	49	49
132	43	43
133	31	41
134	19	19
135	10	10
136	19	19
137	44	52
138	53	53
139	30	30
140	13	13
141	42	42
142	31	31
143	3	40
144	40	40
145	1	1
146	18	18
147	4	4
148	36	50
149	17	47
150	38	49
151	11	11
152	22	22
153	15	15
154	49	49
155	27	34
156	3	27
157	28	28
158	14	52
159	11	24
160	4	46
161	37	37
162	17	17
163	40	50
164	37	37
165	49	49
166	18	44
167	34	36
168	46	46
169	32	34
170	42	42
171	47	47
172	35	35
173	15	15
174	55	55
175	0	46
176	21	21
177	20	20
178	27	27
179	51	51
180	18	26
181	54	54
182	36	52
183	19	23
184	53	53
185	51	52
186	32	47
187	55	55
188	7	7
189	31	46
190	36	44
191	55	55
192	15	48
193	32	35
194	50	50
195	24	46
196	46	51
197	25	33
198	19	35
199	39	47
200	16	16
201	46	46
202	35	35
203	26	26
204	21	21
205	29	29
206	54	54
207	20	47
208	25	25
209	29	30
210	43	43
211	12	25
212	15	15
213	9	9
214	52	55
215	23	24
216	24	43
217	40	40
218	48	48
219	3	43
220	54	54
221	3	3
222	54	54
223	0	0
224	33	51
225	43	43
226	48	48
227	5	7
228	20	20
229	20	20
230	44	44
231	41	41
232	17	21
233	11	44
234	9	15
235	20	32
236	55	55
237	30	30
238	25	37
239	2	16
240	12	12
241	51	51
242	55	55
243	12	14
244	52	52
245	47	47
246	17	17
