p	d	Pr(p,d)
1	1	1.00
1	2	0.53
2	1	1.00
2	2	0.89
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.68
4	1	1.00
4	2	1.00
4	3	0.71
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.35
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	0.37
7	1	1.00
7	2	1.00
7	3	0.03
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	0.55
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.89
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.53
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.82
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	0.21
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	0.92
14	1	1.00
14	2	1.00
14	3	1.00
14	4	0.33
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	0.12
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	0.85
17	1	1.00
17	2	1.00
17	3	0.83
18	1	1.00
18	2	1.00
18	3	0.88
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.32
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	1.00
20	7	1.00
20	8	0.92
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	1.00
21	7	1.00
21	8	1.00
21	9	1.00
21	10	1.00
21	11	0.43
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.56
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.07
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.68
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	1.00
25	7	1.00
25	8	1.00
25	9	1.00
25	10	0.84
26	1	1.00
26	2	1.00
26	3	1.00
26	4	1.00
26	5	0.38
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	0.43
28	1	1.00
28	2	1.00
28	3	0.56
29	1	1.00
29	2	1.00
29	3	0.15
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	1.00
30	7	1.00
30	8	0.88
31	1	1.00
31	2	0.31
32	1	1.00
32	2	1.00
32	3	1.00
32	4	0.56
33	1	1.00
33	2	1.00
33	3	1.00
33	4	0.81
34	1	1.00
34	2	1.00
34	3	1.00
34	4	1.00
34	5	0.47
35	1	1.00
35	2	1.00
35	3	1.00
35	4	0.21
36	1	1.00
36	2	0.92
37	1	1.00
37	2	1.00
37	3	1.00
37	4	1.00
37	5	0.57
38	1	1.00
