p	L_p
1	3
2	5
3	4
4	2
5	3
6	5
7	4
8	3
9	2
10	4
11	10
12	10
13	8
14	10
15	9
16	2
17	1
18	2
19	8
20	3
21	1
22	6
23	2
24	5
25	7
26	8
27	1
28	3
29	8
30	1
31	5
32	5
33	6
34	3
35	9
36	3
37	1
38	4
39	2
40	4
41	3
42	2
43	3
44	3
45	3
46	2
47	1
48	2
49	9
50	6
51	3
52	7
53	2
54	2
55	1
56	1
57	1
58	2
59	2
60	3
61	9
62	4
63	4
64	1
65	1
66	10
67	3
68	2
69	2
70	6
71	6
72	3
73	10
74	10
75	3
76	10
77	7
78	1
79	5
80	4
81	10
82	8
83	1
84	10
85	5
86	3
87	3
88	4
89	3
90	9
91	10
92	1
93	5
94	4
95	1
96	4
97	9
98	2
99	10
100	5
101	5
102	3
103	4
104	4
105	2
106	3
107	3
108	2
109	2
110	6
111	4
112	8
113	1
114	1
115	1
116	3
117	5
118	7
119	3
120	8
121	1
122	4
123	4
124	3
125	10
126	3
127	8
128	5
129	1
130	6
131	7
132	2
133	2
134	1
135	6
136	1
137	5
138	5
139	3
140	4
141	3
142	2
143	6
144	8
145	3
146	3
147	2
148	1
149	2
150	3
151	3
152	1
153	1
154	3
155	8
156	9
157	10
158	2
159	9
160	2
161	1
162	9
163	2
164	8
165	7
166	7
167	7
168	10
169	7
170	9
171	3
172	2
173	2
174	3
175	2
176	5
177	5
178	3
179	2
180	5
181	2
182	3
183	6
184	3
185	9
186	1
187	3
188	1
189	3
190	2
191	1
192	1
193	2
194	5
195	10
196	3
197	9
198	4
199	2
200	3
