p	L_p
1	1
2	2
3	2
4	2
5	1
6	4
7	4
8	2
9	5
10	1
11	3
12	1
13	3
14	2
15	1
16	2
17	1
18	7
19	3
20	6
21	5
22	3
23	2
24	2
25	5
26	2
27	5
28	5
29	3
30	2
31	1
32	2
33	1
34	2
35	9
36	1
37	1
38	2
39	5
40	6
41	4
42	6
43	2
44	7
45	6
46	3
47	5
48	2
49	7
50	2
51	9
52	3
53	3
54	4
55	4
56	2
57	2
58	1
59	3
60	6
61	7
62	6
63	10
64	4
65	1
66	5
67	4
68	2
69	5
70	3
71	6
72	2
73	2
74	3
75	3
76	3
77	2
78	5
79	1
80	2
81	3
82	9
83	9
84	1
85	1
86	3
87	3
88	5
89	7
90	2
91	3
92	3
93	8
94	6
95	10
96	2
97	7
98	1
99	2
100	2
101	4
102	2
103	3
104	1
105	10
106	5
107	2
108	5
109	1
110	3
111	6
112	2
113	1
114	3
115	5
116	3
117	4
118	3
119	4
120	1
121	4
122	3
123	1
124	3
125	3
126	2
127	7
128	4
129	8
130	2
131	2
132	5
133	2
134	4
135	3
136	5
137	4
138	4
139	4
140	4
141	3
142	2
143	2
144	3
145	7
146	6
147	2
148	2
149	2
150	3
151	1
152	10
153	6
154	4
155	2
156	2
157	6
158	4
159	3
160	2
161	2
162	3
163	8
164	10
165	5
166	3
167	1
168	10
169	8
170	5
171	2
172	2
173	3
174	2
175	3
176	5
177	5
178	6
179	6
180	5
181	5
182	2
183	1
184	1
185	1
186	7
187	2
188	6
189	1
190	6
191	5
192	1
193	5
194	3
195	1
196	2
197	2
198	2
199	3
200	1
201	4
202	7
203	1
204	10
205	2
206	3
207	6
208	4
209	2
210	3
211	1
212	3
213	3
214	2
215	2
216	1
217	3
218	1
219	8
220	3
221	5
222	1
223	1
224	2
225	2
226	3
227	3
228	3
229	2
230	9
231	3
232	5
233	1
234	2
235	6
236	2
237	3
238	2
239	2
240	2
241	3
242	7
243	8
244	1
245	10
246	1
247	4
248	1
249	8
250	3
