p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	0
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	0
1	14	1
1	15	1
1	16	0
1	17	1
1	18	1
1	19	0
1	20	0
1	21	1
1	22	1
1	23	1
1	24	1
1	25	0
1	26	1
1	27	1
1	28	1
1	29	1
1	30	0
1	31	0
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	0
1	38	1
1	39	1
1	40	1
2	1	0
2	2	1
2	3	1
2	4	0
2	5	1
2	6	1
2	7	1
2	8	1
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	1
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	1
2	24	1
2	25	0
2	26	1
2	27	1
2	28	1
2	29	1
2	30	0
2	31	0
2	32	1
2	33	1
2	34	0
2	35	1
2	36	1
2	37	0
2	38	0
2	39	0
2	40	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	0
3	11	0
3	12	1
3	13	0
3	14	1
3	15	0
3	16	0
3	17	1
3	18	1
3	19	0
3	20	0
3	21	0
3	22	1
3	23	0
3	24	1
3	25	0
3	26	0
3	27	0
3	28	0
3	29	0
3	30	0
3	31	0
3	32	1
3	33	0
3	34	1
3	35	1
3	36	0
3	37	0
3	38	0
3	39	1
3	40	0
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	0
4	11	1
4	12	0
4	13	1
4	14	1
4	15	1
4	16	1
4	17	0
4	18	0
4	19	1
4	20	1
4	21	1
4	22	0
4	23	1
4	24	1
4	25	1
4	26	1
4	27	1
4	28	1
4	29	1
4	30	1
4	31	1
4	32	1
4	33	1
4	34	0
4	35	1
4	36	1
4	37	1
4	38	0
4	39	1
4	40	0
5	1	0
5	2	1
5	3	1
5	4	1
5	5	0
5	6	1
5	7	1
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	1
5	14	1
5	15	1
5	16	1
5	17	0
5	18	0
5	19	1
5	20	1
5	21	0
5	22	0
5	23	1
5	24	1
5	25	1
5	26	0
5	27	1
5	28	1
5	29	1
5	30	1
5	31	1
5	32	1
5	33	1
5	34	0
5	35	1
5	36	0
5	37	1
5	38	0
5	39	0
5	40	0
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	1
6	12	0
6	13	0
6	14	1
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	1
6	22	0
6	23	0
6	24	1
6	25	0
6	26	0
6	27	1
6	28	0
6	29	0
6	30	0
6	31	0
6	32	1
6	33	0
6	34	0
6	35	1
6	36	0
6	37	0
6	38	0
6	39	1
6	40	0
7	1	1
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	1
7	11	1
7	12	1
7	13	0
7	14	1
7	15	0
7	16	0
7	17	1
7	18	1
7	19	0
7	20	0
7	21	1
7	22	1
7	23	0
7	24	1
7	25	0
7	26	0
7	27	1
7	28	0
7	29	0
7	30	0
7	31	0
7	32	1
7	33	0
7	34	1
7	35	1
7	36	0
7	37	0
7	38	1
7	39	1
7	40	1
8	1	0
8	2	0
8	3	1
8	4	0
8	5	1
8	6	1
8	7	1
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	1
8	16	0
8	17	0
8	18	0
