p	r	C_pr
1	1	50
1	2	60
1	3	80
1	4	100
1	5	100
1	6	50
1	7	100
1	8	120
1	9	70
1	10	70
1	11	100
1	12	70
1	13	80
1	14	60
1	15	80
1	16	90
1	17	60
1	18	40
1	19	100
1	20	70
1	21	30
1	22	80
1	23	120
1	24	10
1	25	50
1	26	20
1	27	20
1	28	80
1	29	50
1	30	0
1	31	60
1	32	60
1	33	100
1	34	30
1	35	60
1	36	100
1	37	60
1	38	80
1	39	70
1	40	60
2	1	60
2	2	90
2	3	100
2	4	120
2	5	60
2	6	90
2	7	100
2	8	20
2	9	90
2	10	90
2	11	80
2	12	70
2	13	70
2	14	100
2	15	120
2	16	90
2	17	30
2	18	90
2	19	90
2	20	40
2	21	100
2	22	100
2	23	110
2	24	70
2	25	110
2	26	90
2	27	90
2	28	70
2	29	90
2	30	70
2	31	90
2	32	120
2	33	120
2	34	70
2	35	80
2	36	20
2	37	40
2	38	100
2	39	90
2	40	90
3	1	110
3	2	110
3	3	110
3	4	90
3	5	70
3	6	70
3	7	90
3	8	110
3	9	130
3	10	90
3	11	90
3	12	90
3	13	50
3	14	90
3	15	90
3	16	70
3	17	70
3	18	60
3	19	90
3	20	90
3	21	40
3	22	90
3	23	90
3	24	0
3	25	110
3	26	40
3	27	20
3	28	90
3	29	70
3	30	20
3	31	70
3	32	110
3	33	90
3	34	40
3	35	50
3	36	110
3	37	50
3	38	70
3	39	70
3	40	90
4	1	40
4	2	90
4	3	110
4	4	70
4	5	50
4	6	50
4	7	70
4	8	20
4	9	90
4	10	50
4	11	70
4	12	50
4	13	50
4	14	70
4	15	90
4	16	50
4	17	0
4	18	70
4	19	70
4	20	20
4	21	70
4	22	50
4	23	50
4	24	50
4	25	90
4	26	90
4	27	70
4	28	90
4	29	50
4	30	50
4	31	50
4	32	90
4	33	70
4	34	90
4	35	50
4	36	40
4	37	0
4	38	70
4	39	50
4	40	70
5	1	90
5	2	70
5	3	80
5	4	100
5	5	100
5	6	70
5	7	120
5	8	90
5	9	90
5	10	50
5	11	80
5	12	70
5	13	70
5	14	60
5	15	100
5	16	70
5	17	60
5	18	60
5	19	110
5	20	90
5	21	90
5	22	60
5	23	90
5	24	20
5	25	90
5	26	40
5	27	20
5	28	70
5	29	70
5	30	0
5	31	70
5	32	100
5	33	80
5	34	40
5	35	80
5	36	90
5	37	90
5	38	60
5	39	70
5	40	90
6	1	40
6	2	70
6	3	80
6	4	100
6	5	60
6	6	70
6	7	70
6	8	20
6	9	70
6	10	70
6	11	60
6	12	50
6	13	70
6	14	80
6	15	90
6	16	90
6	17	10
6	18	70
6	19	70
6	20	20
6	21	70
6	22	70
6	23	90
6	24	50
6	25	90
6	26	90
6	27	70
6	28	70
6	29	70
6	30	50
6	31	70
6	32	90
6	33	110
6	34	70
6	35	60
6	36	20
6	37	20
6	38	70
6	39	70
6	40	70
7	1	60
7	2	100
7	3	120
7	4	120
7	5	80
7	6	70
7	7	120
7	8	50
7	9	90
7	10	50
7	11	80
7	12	50
7	13	100
7	14	80
7	15	140
7	16	90
7	17	10
7	18	70
7	19	120
7	20	20
7	21	100
7	22	60
7	23	100
7	24	60
7	25	110
7	26	130
7	27	90
7	28	120
7	29	70
7	30	50
7	31	80
7	32	120
7	33	120
7	34	120
7	35	60
7	36	70
7	37	30
7	38	100
7	39	50
7	40	100
8	1	110
8	2	120
8	3	100
8	4	100
8	5	80
8	6	70
8	7	100
8	8	140
8	9	130
8	10	90
8	11	80
8	12	90
8	13	80
8	14	100
8	15	100
8	16	90
8	17	80
8	18	80
8	19	100
