p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	0.97
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.93
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	1.00
3	6	1.00
3	7	1.00
3	8	1.00
3	9	1.00
3	10	0.70
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	1.00
4	7	1.00
4	8	0.05
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	0.28
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	1.00
6	8	1.00
6	9	1.00
6	10	0.51
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	0.16
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	1.00
8	7	1.00
8	8	1.00
8	9	1.00
8	10	0.75
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.26
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.18
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.90
12	1	1.00
12	2	1.00
12	3	0.01
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.75
14	1	1.00
14	2	1.00
14	3	0.70
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.64
16	1	1.00
16	2	1.00
16	3	0.19
17	1	1.00
17	2	1.00
17	3	1.00
17	4	0.16
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	1.00
18	8	0.65
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.57
20	1	1.00
20	2	1.00
20	3	0.67
21	1	1.00
21	2	1.00
21	3	0.31
22	1	1.00
22	2	1.00
22	3	0.59
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.86
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	1.00
24	9	1.00
24	10	0.52
25	1	1.00
25	2	1.00
25	3	0.05
26	1	1.00
26	2	1.00
26	3	0.60
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.78
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.22
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	1.00
29	7	1.00
29	8	1.00
29	9	0.28
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.70
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	1.00
31	6	1.00
31	7	0.57
32	1	1.00
32	2	1.00
32	3	0.81
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	0.35
34	1	1.00
34	2	1.00
34	3	1.00
34	4	1.00
34	5	1.00
34	6	1.00
34	7	0.03
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
35	7	0.64
36	1	1.00
36	2	1.00
36	3	1.00
36	4	1.00
36	5	1.00
36	6	1.00
36	7	1.00
36	8	1.00
36	9	0.00
37	1	1.00
37	2	1.00
37	3	1.00
37	4	0.82
38	1	1.00
38	2	0.22
39	1	1.00
39	2	1.00
39	3	1.00
39	4	0.79
40	1	1.00
40	2	1.00
40	3	1.00
40	4	1.00
40	5	1.00
40	6	1.00
40	7	0.53
41	1	1.00
41	2	1.00
41	3	0.58
42	1	1.00
42	2	1.00
42	3	1.00
42	4	0.32
43	1	1.00
43	2	1.00
43	3	1.00
43	4	1.00
43	5	0.87
44	1	1.00
44	2	0.71
45	1	1.00
45	2	1.00
45	3	1.00
45	4	0.12
46	1	1.00
46	2	0.16
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	1.00
47	6	1.00
47	7	1.00
47	8	1.00
47	9	0.20
48	1	1.00
48	2	1.00
48	3	1.00
48	4	1.00
48	5	0.88
49	1	1.00
49	2	1.00
49	3	0.60
50	1	1.00
50	2	0.22
